polity_code,polity_name,source_used,match_name,has_geometry
LSO-1966-2025,Lesotho,CShapes 2.0 (1966-2019),Lesotho,True
GNQ-1968-2025,Equatorial Guinea,CShapes 2.0 (1968-2019),Equatorial Guinea,True
COM-1975-2025,Comoros,CShapes 2.0 (1975-2019),Comoros,True
DJI-1977-2025,Djibouti,CShapes 2.0 (1977-2019),Djibouti,True
EGY-1979-2025,Egypt,CShapes 2.0 (1979-2019),Egypt,True
MRT-1979-2025,Mauritania,CShapes 2.0 (1979-2019),Mauritania,True
MAR-1979-2025,Morocco,CShapes 2.0 (1979-2019),Morocco,True
ETH-1993-2025,Ethiopia,CShapes 2.0 (1993-2019),Ethiopia,True
SSD-2011-2025,South Sudan,CShapes 2.0 (2011-2019),South Sudan,True
SDN-2011-2025,Sudan,CShapes 2.0 (2011-2019),Sudan,True
ALG-1800-1902,Algeria (to 1902),CShapes 2.0 (1886-1901),Algeria,True
ANG-1800-1890,Angola (to 1890),CShapes 2.0 (1886-1890),Angola,True
BOT-1800-1890,Botswana (to 1890),CShapes 2.0 (1886-1890),Botswana,True
CON-1800-1898,Congo (to 1898),CShapes 2.0 (1886-1898),Congo,True
CON-1800-1891,Democratic Republic of the Congo (to 1891),CShapes 2.0 (1886-1891),"Congo, Democratic Republic of (Zaire)",True
EGY-1800-1899,Egypt (to 1899),CShapes 2.0 (1886-1899),Egypt,True
EGY-1800-1922,Egypt (to 1922),CShapes 2.0 (1886-1899),Egypt,True
ERI-1800-1889,Eritrea (to 1889),CShapes 2.0 (1886-1889),Eritrea,True
ETH-1800-1889,Ethiopia (to 1889),CShapes 2.0 (1898-1902),Ethiopia,True
GAB-1800-1912,Gabon (to 1912),CShapes 2.0 (1886-1903),Gabon,True
GHA-1800-1888,Ghana (to 1888),CShapes 2.0 (1886-1888),Ghana,True
LAG-1800-1906,Lagos (to 1906),CShapes 2.0 (1886-1906),Lagos,True
MAD-1800-1912,Madagascar (to 1912),CShapes 2.0 (1886-1896),Madagascar (Malagasy),True
MOR-1800-1904,Morocco (to 1904),CShapes 2.0 (1886-1902),Morocco,True
MOZ-1800-1891,Mozambique (to 1891),CShapes 2.0 (1886-1891),Mozambique,True
SIE-1800-1889,Sierra Leone (to 1889),CShapes 2.0 (1886-1889),Sierra Leone,True
ZAN-1800-1964,Zanzibar,CShapes 2.0 (1895-1963),Zanzibar,True
ORA-1848-1910,Orange Free State (to 1910),CShapes 2.0 (1900-1910),Orange Free State,True
GHA-1888-1898,Ghana (1888-1898),CShapes 2.0 (1888-1898),Ghana,True
KEN-1888-1891,Kenya (1888-1891),CShapes 2.0 (1888-1891),Kenya,True
COT-1889-1932,Côte d'Ivoire (1889-1932),CShapes 2.0 (1902-1932),Cote D'Ivoire,True
ETH-1889-1897,Ethiopia (1889-1897),CShapes 2.0 (1898-1902),Ethiopia,True
ZIM-1889-1891,Zimbabwe (1889-1891),CShapes 2.0 (1889-1891),Zimbabwe (Rhodesia),True
ANG-1890-1891,Angola (1890-1891),CShapes 2.0 (1890-1891),Angola,True
BOT-1890-1895,Botswana (1890-1895),CShapes 2.0 (1890-1895),Botswana,True
ZAN-1890-1964,Zanzibar (1890-1964),CShapes 2.0 (1895-1963),Zanzibar,True
ANG-1891-1905,Angola (1891-1905),CShapes 2.0 (1891-1905),Angola,True
CON-1891-1894,Democratic Republic of the Congo (1891-1894),CShapes 2.0 (1891-1894),"Congo, Democratic Republic of (Zaire)",True
KEN-1891-1894,Kenya (1891-1894),CShapes 2.0 (1891-1894),Kenya,True
ZIM-1891-1900,Zimbabwe (1891-1900),CShapes 2.0 (1891-1900),Zimbabwe (Rhodesia),True
CON-1894-1910,Democratic Republic of the Congo (1894-1910),CShapes 2.0 (1894-1908),"Congo, Democratic Republic of (Zaire)",True
KEN-1894-1902,Kenya (1894-1902),CShapes 2.0 (1894-1902),Kenya,True
UGA-1894-1902,Uganda (1894-1902),CShapes 2.0 (1894-1902),Uganda,True
BEN-1895-1898,Benin (1895-1898),CShapes 2.0 (1895-1897),Benin,True
ETH-1897-1902,Ethiopia (1897-1902),CShapes 2.0 (1898-1902),Ethiopia,True
CON-1898-1900,Congo (1898-1900),CShapes 2.0 (1898-1900),Congo,True
GHA-1898-1956,Ghana (1898-1956),CShapes 2.0 (1898-1956),Ghana,True
EGY-1899-1925,Egypt (1899-1925),CShapes 2.0 (1899-1914),Egypt,True
NOR-1899-1904,Northern Nigeria (1899-1904),CShapes 2.0 (1899-1902),Northern Nigeria,True
SOU-1899-1906,Southern Nigeria (1899-1906),CShapes 2.0 (1899-1906),Southern Nigeria,True
SUD-1899-1902,Sudan (1899-1902),CShapes 2.0 (1899-1902),Sudan,True
CHA-1900-1912,Chad (1900-1912),CShapes 2.0 (1900-1912),Chad,True
CON-1900-1906,Congo (1900-1906),CShapes 2.0 (1900-1906),Congo,True
NOR-1900-1911,Northeastern Rhodesia (1900-1911),CShapes 2.0 (1900-1911),Northeastern Rhodesia,True
NOR-1900-1905,Northwestern Rhodesia (1900-1905),CShapes 2.0 (1900-1905),Northwestern Rhodesia,True
ALG-1902-1919,Algeria (1902-1919),CShapes 2.0 (1902-1919),Algeria,True
ETH-1902-1907,Ethiopia (1902-1907),CShapes 2.0 (1902-1907),Ethiopia,True
KEN-1902-1906,Kenya (1902-1906),CShapes 2.0 (1902-1906),Kenya,True
SUD-1902-1910,Sudan (1902-1910),CShapes 2.0 (1902-1910),Sudan,True
UGA-1902-1910,Uganda (1902-1910),CShapes 2.0 (1902-1910),Uganda,True
MAU-1904-1912,Mauritania (1904-1912),CShapes 2.0 (1904-1912),Mauritania,True
MOR-1904-1956,Morocco (1904-1956),CShapes 2.0 (1912-1956),Morocco,True
NOR-1904-1913,Northern Nigeria (1904-1913),CShapes 2.0 (1904-1913),Northern Nigeria,True
MAL-1905-1919,Mali (1905-1919),CShapes 2.0 (1905-1913),Mali,True
NIG-1905-1932,Niger (1905-1932),CShapes 2.0 (1905-1926),Niger,True
NOR-1905-1911,Northwestern Rhodesia (1905-1911),CShapes 2.0 (1905-1911),Northwestern Rhodesia,True
CEN-1906-1912,Central African Republic (1906-1912),CShapes 2.0 (1906-1912),Central African Republic,True
CON-1906-1912,Congo (1906-1912),CShapes 2.0 (1906-1912),Congo,True
SOU-1906-1913,Southern Nigeria (1906-1913),CShapes 2.0 (1906-1913),Southern Nigeria,True
ETH-1907-1952,Ethiopia (1907-1952),CShapes 2.0 (1907-1936),Ethiopia,True
KEN-1907-1924,Kenya (1907-1924),CShapes 2.0 (1914-1920),Kenya,True
SUD-1910-1934,Sudan (1910-1934),CShapes 2.0 (1914-1934),Sudan,True
UGA-1910-1926,Uganda (1910-1926),CShapes 2.0 (1914-1926),Uganda,True
MAR-1911-1958,Morocco (to 1958),CShapes 2.0 (1912-1956),Morocco,True
CEN-1912-1919,Central African Republic (1912-1919),CShapes 2.0 (1912-1919),Central African Republic,True
CHA-1912-1919,Chad (1912-1919),CShapes 2.0 (1912-1919),Chad,True
CON-1912-1919,Congo (1912-1919),CShapes 2.0 (1912-1919),Congo,True
GAB-1912-1919,Gabon (1912-1919),CShapes 2.0 (1912-1919),Gabon,True
LIB-1912-1919,Libya (1912-1919),CShapes 2.0 (1912-1919),Libya,True
MAD-1912-1946,Madagascar (1912-1946),CShapes 2.0 (1912-1946),Madagascar (Malagasy),True
MAU-1912-1944,Mauritania (1912-1944),CShapes 2.0 (1920-1944),Mauritania,True
NIG-1914-1961,Nigeria (1914-1961),CShapes 2.0 (1914-1960),Nigeria,True
LIB-1919-1925,Libya (1919-1925),CShapes 2.0 (1919-1925),Libya,True
MAL-1919-1932,Mali (1919-1932),CShapes 2.0 (1919-1932),Mali,True
EGY-1922-1925,Egypt (1922-1925),CShapes 2.0 (1922-1925),Egypt,True
KEN-1924-1926,Kenya (1924-1926),CShapes 2.0 (1924-1926),Kenya,True
EGY-1925-1967,Egypt (1925-1967),CShapes 2.0 (1937-1958),Egypt,True
LIB-1925-1934,Libya (1925-1934),CShapes 2.0 (1925-1934),Libya,True
COT-1932-1947,Côte d'Ivoire (1932-1947),CShapes 2.0 (1933-1947),Cote D'Ivoire,True
MAL-1932-1944,Mali (1932-1944),CShapes 2.0 (1932-1944),Mali,True
NIG-1932-1947,Niger (1932-1947),CShapes 2.0 (1932-1947),Niger,True
SUD-1934-2011,Sudan (1934-2011),CShapes 2.0 (1956-2011),Sudan,True
MAL-1944-1947,Mali (1944-1947),CShapes 2.0 (1944-1947),Mali,True
MAU-1944-1975,Mauritania (1944-1975),CShapes 2.0 (1944-1960),Mauritania,True
MAL-1947-1959,Mali (1947-1959),CShapes 2.0 (1947-1959),Mali,True
ETH-1952-1993,Ethiopia (1952-1993),CShapes 2.0 (1952-1993),Ethiopia,True
MOR-1956-1958,Morocco (1956-1958),CShapes 2.0 (1956-1958),Morocco,True
SUD-1956-2011,Sudan (1956-2011),CShapes 2.0 (1956-2011),Sudan,True
MAR-1958-1975,Morocco (1958-1975),CShapes 2.0 (1958-1975),Morocco,True
SPA-1958-1975,Western Sahara (1958-1975),CShapes 2.0 (1958-1975),Spanish Sahara,True
MAL-1959-1960,Mali (1959-1960),CShapes 2.0 (1959-1960),Mali,True
CMR-1960-1961,Cameroon (1960-1961),CShapes 2.0 (1960-1961),Cameroon,True
MRT-1960-1975,Mauritania (1960-1975),CShapes 2.0 (1960-1975),Mauritania,True
NGA-1960-1961,Nigeria (1960-1961),CShapes 2.0 (1960-1961),Nigeria,True
EGY-1967-1979,Egypt (1967-1979),CShapes 2.0 (1967-1979),Egypt,True
MRT-1975-1979,Mauritania (1975-1979),CShapes 2.0 (1975-1979),Mauritania,True
MAR-1975-1979,Morocco (1975-1979),CShapes 2.0 (1975-1979),Morocco,True
BRI-1800-1895,British Bechuanaland (to 1895),CShapes 2.0 (1886-1890),British Bechuanaland,True
BRI-1800-1960,British Protectorate (British Somaliland) (to 1960),CShapes 2.0 (1886-1897),British Somaliland (Somaliland Republic),True
KAM-1800-1912,Cameroon (Kamerun) (to 1912),CShapes 2.0 (1919-1922),Cameroon,True
CAP-1800-1895,Cape Colony (to 1895),CShapes 2.0 (1886-1895),Cape Colony,True
NAT-1800-1895,Natal (to 1895),CShapes 2.0 (1886-1895),Natal,True
OIL-1800-1898,Oil Rivers Protectorate (to 1898),CShapes 2.0 (1886-1898),Oil Rivers Protectorate,True
SPA-1800-1982,Spanish North Africa,GADM 4.1 fallback,Spanish North Africa,True
SPA-1800-1912,Spanish West Africa (to 1912),CShapes 2.0 (1886-1900),Spanish West Africa,True
TRA-1856-1910,Transvaal (to 1910),CShapes 2.0 (1900-1910),Transvaal,True
FSO-1884-1977,French Somalia,GADM 4.1 fallback,French Somalia,True
GWA-1884-1914,German West Africa,GADM 4.1 fallback,German West Africa,True
BBE-1885-1895,British Bechuanaland,CShapes 2.0 (1890-1895),British Bechuanaland,True
GER-1887-1888,German Togoland (1887-1888),CShapes 2.0 (1887-1888),German Togoland,True
GER-1888-1896,German Togoland (1888-1896),CShapes 2.0 (1888-1896),German Togoland,True
ITA-1889-1924,Italian Somaliland (1889-1924),CShapes 2.0 (1897-1908),Italian Somaliland,True
CAP-1895-1910,Cape Colony (1895-1910),CShapes 2.0 (1895-1910),Cape Colony,True
FRE-1895-1898,French West Africa (1895-1898),CShapes 2.0 (1895-1898),French West Africa,True
NAT-1895-1910,Natal (1895-1910),CShapes 2.0 (1895-1910),Natal,True
GER-1897-1919,German Togoland (1897-1919),CShapes 2.0 (1897-1914),German Togoland,True
FRE-1898-1902,French West Africa (1898-1902),CShapes 2.0 (1898-1902),French West Africa,True
FRE-1902-1904,French West Africa (1902-1904),CShapes 2.0 (1902-1904),French West Africa,True
KAM-1912-1919,Cameroon (Kamerun) (1912-1919),CShapes 2.0 (1919-1922),Cameroon,True
SPA-1912-1956,Spanish Morocco (1912-1956),CShapes 2.0 (1912-1956),Spanish Morocco,True
SPA-1912-1958,Spanish West Africa (1912-1958),CShapes 2.0 (1912-1958),Spanish West Africa,True
GER-1919-1922,German Togoland (1919-1922),CShapes 2.0 (1919-1922),German Togoland,True
BRI-1922-1955,British Togoland (1922-1955),CShapes 2.0 (1922-1955),British Togoland,True
ITA-1924-1960,Italian Somaliland (1924-1960),CShapes 2.0 (1941-1950),Italian Somaliland,True
FED-1953-1964,Federation of Rhodesia and Nyasaland (1953-1964),CShapes 2.0 (1953-1964),Federation of Rhodesia and Nyasaland,True
SOU-1956-1958,Southern zone of Spanish Morocco (1956-1958),CShapes 2.0 (1956-1958),Southern zone of Spanish Morocco,True
CAN-1800-2025,Canary Islands,GADM 4.1,Canary Islands,True
CEU-1800-2025,Ceuta Y Melilla,GADM 4.1,Ceuta Y Melilla,True
SHN-1800-2025,"Saint Helena, Ascension and Tristan da Cunha",GADM 4.1,"Saint Helena, Ascension and Tristan da Cunha",True
ST.-1800-2025,St. Helena,GADM 4.1,St. Helena,True
REU-1816-2025,Réunion,GADM 4.1,Réunion,True
MYT-1843-1914,Mayotte and Noissi-be,GADM 4.1,Mayotte and Noissi-be,True
MYT-2002-2025,Mayotte,GADM 4.1,Mayotte,True
GEA-1884-2025,German East Africa (Tanganyika),CShapes 2.0 (1922-1961),Tanzania (Tanganyika),True
TAN-1891-1920,Tanzania (1891-1920),CShapes 2.0 (1891-1916),Tanzania (Tanganyika),True
BRI-1919-1961,British Cameroon (1919-1961),CShapes 2.0 (1922-1961),British Cameroons,True
CAM-1919-1961,Cameroon (1919-1961),CShapes 2.0 (1922-1959),Cameroon,True
RWA-1920-1962,Rwanda and Burundi (1920-1962),CShapes 2.0 (1922-1962),Rwanda-Urundi,True
TAN-1920-1922,Tanzania (1920-1922),CShapes 2.0 (1920-1922),Tanzania (Tanganyika),True
TAN-1922-1964,Tanzania (1922-1964),CShapes 2.0 (1922-1961),Tanzania (Tanganyika),True
TZA-1961-1964,Tanzania (1961-1964),CShapes 2.0 (1961-1964),Tanzania (Tanganyika),True
ESH-1800-2025,Western Sahara,CShapes 2.0 (1958-1975),Spanish Sahara,True
ETH-1800-2025,Ethiopia (old),CShapes 2.0 (1907-1936),Ethiopia,True
F62-1800-1993,Ethiopia PDR,CShapes 2.0 (1952-1993),Ethiopia,True
F206-1800-2011,Sudan (old),CShapes 2.0 (1902-1910),Sudan,True
GOL-1843-2025,Gold Coast,CShapes 2.0 (1898-1956),Ghana,True
SPA-1858-2025,Spanish Guinea,CShapes 2.0 (1900-1968),Equatorial Guinea,True
NGA-1861-2025,Nigeria (old),CShapes 2.0 (1914-1960),Nigeria,True
SUD-1882-2025,Sudan (Anglo-Egyptian),CShapes 2.0 (1934-1955),Sudan,True
BAS-1884-2025,Basutoland,CShapes 2.0 (1886-1966),Lesotho,True
BSO-1884-2025,British Protectorate (British Somaliland),GADM 4.1 fallback,British Protectorate (British Somaliland),True
CMR-1884-2025,Cameroon (Kamerun),CShapes 2.0 (1901-1912),Kamerun,True
BEC-1885-2025,Bechuanaland Protectorate,CShapes 2.0 (1890-1895),British Bechuanaland,True
BEL-1885-2025,Belgian Congo,CShapes 2.0 (1910-1960),"Congo, Democratic Republic of (Zaire)",True
FSM-1887-2025,French Somaliland,CShapes 2.0 (1900-1977),Djibouti,True
NYA-1891-2025,Nyasaland Protectorate (Malawi),CShapes 2.0 (1891-1953),Malawi,True
BEA-1895-2025,British East Africa,CShapes 2.0 (1926-1963),Kenya,True
FWA-1895-2025,French West Africa,CShapes 2.0 (1898-1902),French West Africa,True
ITS-1908-2025,Italian Somaliland,CShapes 2.0 (1924-1941),Italian Somaliland,True
FEA-1910-2025,French Equatorial Africa,CShapes 2.0 (1960-2019),Gabon,True
ITL-1911-2025,Italian Libia Cyrenaica (Lybia),CShapes 2.0 (1951-2019),Libya,True
BCA-1914-2025,British Cameroon,CShapes 2.0 (1922-1961),British Cameroons,True
RWB-1919-2025,Rwanda and Burundi,CShapes 2.0 (1922-1962),Rwanda-Urundi,True
ATA-1800-2025,Antarctica,GADM 4.1,Antarctica,True
BVT-1800-2025,Bouvet Island,GADM 4.1,Bouvet Island,True
DRO-1800-1982,Dronning Maud Land,UNMATCHED,,False
ATF-1800-2025,French Southern Territories,GADM 4.1,French Southern Territories,True
BHR-1800-2025,Bahrain,CShapes 2.0 (1971-2019),Bahrain,True
BTN-1800-2025,Bhutan,CShapes 2.0 (1886-1947),Bhutan,True
IRN-1800-2025,Iran,CShapes 2.0 (1886-2019),Iran (Persia),True
JPN-1800-2025,Japan,CShapes 2.0 (1886-1945),Japan,True
KWT-1800-2025,Kuwait,CShapes 2.0 (1961-2019),Kuwait,True
MDV-1800-2025,Maldives,CShapes 2.0 (1887-1965),Maldives,True
MMR-1800-2025,Myanmar,CShapes 2.0 (1948-2005),Myanmar (Burma),True
NPL-1800-2025,Nepal,CShapes 2.0 (1886-1919),Nepal,True
OMN-1800-2025,Oman,CShapes 2.0 (1892-1971),Oman,True
PHL-1800-2025,Philippines,CShapes 2.0 (1898-1946),Philippines,True
QAT-1800-2025,Qatar,CShapes 2.0 (1916-1971),Qatar,True
LKA-1800-2025,Sri Lanka,CShapes 2.0 (1886-1948),Sri Lanka (Ceylon),True
TLS-1800-2025,Timor-Leste,CShapes 2.0 (1886-1976),East Timor,True
CYP-1879-2025,Cyprus,CShapes 2.0 (1914-1960),Cyprus,True
BRN-1888-2025,Brunei Darussalam,CShapes 2.0 (1888-1983),Brunei,True
THA-1909-2025,Thailand,CShapes 2.0 (1909-2019),Thailand,True
MNG-1911-2025,Mongolia,CShapes 2.0 (1921-2019),Mongolia,True
JOR-1918-2025,Jordan,CShapes 2.0 (1946-2019),Jordan,True
AFG-1919-2025,Afghanistan,CShapes 2.0 (1919-2019),Afghanistan,True
IRQ-1921-2025,Iraq,CShapes 2.0 (1932-2019),Iraq,True
LBN-1944-2025,Lebanon,CShapes 2.0 (1946-2019),Lebanon,True
PRK-1948-2025,North Korea,CShapes 2.0 (1948-2019),"Korea, People's Republic of",True
KOR-1948-2025,South Korea,CShapes 2.0 (1949-2019),"Korea, Republic of",True
IND-1949-2025,India,CShapes 2.0 (1949-2019),India,True
KHM-1953-2025,Cambodia,CShapes 2.0 (1953-2019),Cambodia (Kampuchea),True
LAO-1954-2025,Laos,CShapes 2.0 (1954-2019),Laos,True
MYS-1965-2025,Malaysia,CShapes 2.0 (1965-2019),Malaysia,True
SGP-1965-2025,Singapore,CShapes 2.0 (1965-2019),Singapore,True
SYR-1967-2025,Syrian Arab Republic,CShapes 2.0 (1967-2019),Syria,True
BGD-1971-2025,Bangladesh,CShapes 2.0 (1971-2019),Bangladesh,True
PAK-1971-2025,Pakistan,CShapes 2.0 (1971-2019),Pakistan,True
ARE-1971-2025,United Arab Emirates,CShapes 2.0 (1971-2019),United Arab Emirates,True
VNM-1975-2025,Vietnam,CShapes 2.0 (1887-1893),Vietnam (Annam/Cochin China/Tonkin),True
ISR-1979-2025,Israel,CShapes 2.0 (1979-2019),Israel,True
ARM-1991-2025,Armenia,CShapes 2.0 (1991-2019),Armenia,True
AZE-1991-2025,Azerbaijan,CShapes 2.0 (1991-2019),Azerbaijan,True
GEO-1991-2025,Georgia,CShapes 2.0 (1991-2019),Georgia,True
KAZ-1991-2025,Kazakhstan,CShapes 2.0 (1997-2019),Kazakhstan,True
KGZ-1991-2025,Kyrgyzstan,CShapes 2.0 (1991-2019),Kyrgyz Republic,True
TJK-1991-2025,Tajikistan,CShapes 2.0 (1991-2019),Tajikistan,True
TKM-1991-2025,Turkmenistan,CShapes 2.0 (1991-2019),Turkmenistan,True
UZB-1991-2025,Uzbekistan,CShapes 2.0 (1991-2019),Uzbekistan,True
SAU-2000-2025,Saudi Arabia,CShapes 2.0 (2000-2019),Saudi Arabia,True
YEM-2000-2025,Yemen,CShapes 2.0 (2000-2019),Yemen (Arab Republic of Yemen),True
IDN-2002-2025,Indonesia,CShapes 2.0 (2002-2019),Indonesia,True
ABU-1800-1971,Abu Dhabi,GADM 4.1 fallback,Abu Dhabi,True
AFG-1800-1888,Afghanistan (to 1888),CShapes 2.0 (1886-1888),Afghanistan,True
AFG-1800-1893,Afghanistan (to 1893),CShapes 2.0 (1886-1888),Afghanistan,True
AJM-1800-1971,Ajman,GADM 4.1 fallback,Ajman,True
BAD-1800-1873,Badakhshan,GADM 4.1,Badakhshan,True
BUK-1800-1920,Bukhara,CShapes 2.0 (1886-1920),Bokhara,True
BOK-1800-1920,Bukhara (to 1920),CShapes 2.0 (1886-1920),Bokhara,True
CAM-1800-1904,Cambodia (to 1904),CShapes 2.0 (1886-1893),Cambodia (Kampuchea),True
CHN-1800-1895,China (to 1895),CShapes 2.0 (1886-1895),China,True
DAN-1800-1845,Danish India,UNMATCHED,,False
HER-1800-1862,Herat,GADM 4.1,Herat,True
IND-1800-1893,India (to 1893),CShapes 2.0 (1886-1893),India,True
IND-1800-1947,India (to 1947),CShapes 2.0 (1886-1893),India,True
IND-1800-1889,Indonesia (to 1889),CShapes 2.0 (1886-1889),Indonesia,True
KHI-1800-1873,Khiva,GADM 4.1,Khiva,True
KHI-1800-1920,Khiva (to 1920),CShapes 2.0 (1886-1920),Khiva,True
KOK-1800-1876,Kokand,GADM 4.1,Kokand,True
OKO-1800-1910,Korea (to 1910),CShapes 2.0 (1887-1905),Korea,True
OTT-1800-1912,Ottoman Empire,CShapes-Europe,Ottoman Empire,True
PER-1800-1896,Perak (to 1896),CShapes 2.0 (1886-1896),Perak,True
SEL-1800-1896,Selangore (to 1896),CShapes 2.0 (1886-1896),Selangore,True
THA-1800-1893,Thailand (to 1893),CShapes 2.0 (1887-1893),Thailand,True
VNM-1800-1893,Vietnam (to 1893),CShapes 2.0 (1887-1893),Vietnam (Annam/Cochin China/Tonkin),True
BRN-1816-1888,Brunei (greater),CShapes 2.0 (1888-1983),Brunei,True
CHE-1816-1857,Chechnya,CShapes-Europe fallback,Chechnya,True
CIR-1816-1861,Circassia,CShapes-Europe fallback,Circassia,True
YUN-1856-1871,Yunnan,GADM 4.1,Yunnan,True
PAH-1888-1896,Pahang (1888-1896),CShapes 2.0 (1888-1896),Pahang,True
IND-1889-1949,Indonesia (1889-1949),CShapes 2.0 (1889-1945),Indonesia,True
IND-1893-1914,India (1893-1914),CShapes 2.0 (1899-1914),India,True
THA-1893-1904,Thailand (1893-1904),CShapes 2.0 (1893-1904),Thailand,True
VIE-1893-1954,Vietnam (1893-1954),CShapes 2.0 (1893-1954),Vietnam (Annam/Cochin China/Tonkin),True
CHN-1895-1912,China (1895-1912),CShapes 2.0 (1899-1912),China,True
CAM-1904-1907,Cambodia (1904-1907),CShapes 2.0 (1904-1907),Cambodia (Kampuchea),True
THA-1904-1907,Thailand (1904-1907),CShapes 2.0 (1904-1907),Thailand,True
SOU-1905-1945,Southern Sakhalin Island (1905-1945),CShapes 2.0 (1905-1945),Southern Sakhalin Island,True
THA-1907-1909,Thailand (1907-1909),CShapes 2.0 (1907-1909),Thailand,True
CHN-1913-1914,China (1913-1914),CShapes 2.0 (1913-1914),China,True
TIB-1913-1914,Tibet (1913-1914),CShapes 2.0 (1913-1914),Tibet,True
CHN-1914-1921,China (1914-1921),CShapes 2.0 (1914-1921),China,True
IND-1914-1937,India (1914-1937),CShapes 2.0 (1914-1931),India,True
TIB-1914-1950,Tibet (1914-1950),CShapes 2.0 (1914-1950),Tibet,True
F246-1918-1990,North Yemen,CShapes 2.0 (1934-1990),Yemen (Arab Republic of Yemen),True
JOR-1920-1923,Jordan (1920-1923),CShapes 2.0 (1920-1923),Jordan,True
SYR-1920-1967,Syrian Arab Republic (1920-1967),CShapes 2.0 (1922-1945),Syria,True
CHN-1921-1945,China (1921-1945),CShapes 2.0 (1921-1945),China,True
SAU-1924-1932,Saudi Arabia (1924-1932),CShapes 2.0 (1927-1934),Saudi Arabia,True
SAU-1932-2000,Saudi Arabia (1932-2000),CShapes 2.0 (1935-2000),Saudi Arabia,True
IND-1937-1947,India (1937-1947),CShapes 2.0 (1937-1947),India,True
CHN-1945-1947,China (1945-1947),CShapes 2.0 (1945-1947),China,True
IDN-1945-1949,Indonesia (1945-1949),CShapes 2.0 (1945-1949),Indonesia,True
