polity_code,polity_name,source,stated_area_km2,statements,editions,source_labels,polygon_area_km2,ratio_polygon_over_stated,basis_flag,note
AUS-1901-2025,Australia,iia,7704022,9,1909;1925;1929;1932;1933;1938,AUSTRALIE;AUSTRALIE british;australie,7687109,0.998,agrees,
AUT-1800-1918,Austria (Cisleithania),iia,300004,3,1909;1925;1929,AUTRICHE;autriche,300304,1.001,agrees,
AUT-1919-2025,Austria,fao,81360,1,1952,Austria,84021,1.033,agrees,
AUT-1919-2025,Austria,iia,83845,6,1909;1925;1929;1932;1933;1938,AUTRICHE;autriche,84021,1.002,agrees,
BEL-1831-2025,Belgium,fao,30510,1,1952,Belgium,30692,1.006,agrees,
BEL-1831-2025,Belgium,iia,30444,9,1909;1925;1929;1932;1933;1938,BELGIQUE;belgique,30692,1.008,agrees,
BGR-1878-1913,Bulgaria (to 1913),iia,96345,1,1909,BULGARIE,93177,0.967,agrees,
BGR-1913-1918,Bulgaria (1913-1918),iia,111837,2,1925;1929,BULGARIE;bulgarie,111481,0.997,agrees,
BGR-1919-1940,Bulgaria (1919-1940),iia,103146,6,1909;1925;1929;1932;1933;1938,BULGARIE;bulgarie,103263,1.001,agrees,
BGR-1940-2025,Bulgaria (1940-2025),fao,110840,1,1952,Bulgaria,110980,1.001,agrees,
BLZ-1886-1970,British Honduras,fao,22970,1,1952,British Honduras,22076,0.961,agrees,
BLZ-1886-1970,British Honduras,iia,22268,9,1909;1925;1929;1932;1933;1938,HONDURAS BRITANNIQUE;honduras britannique,22076,0.991,agrees,
BNB-1881-1963,British North Borneo,fao,76110,1,1952,British Borneo North Borneo,72557,0.953,agrees,
BOL-1909-1938,Bolivia (1909-1938),iia,1332808,9,1909;1925;1929;1932;1933;1938,BOLIVIE;bolivie,1191848,0.894,agrees,
BOL-1938-2025,Bolivia,fao,1069100,1,1952,Bolivia,1086608,1.016,agrees,
BRA-1909-2025,Brazil,fao,8516040,1,1952,Brazil,8471741,0.995,agrees,
BRA-1909-2025,Brazil,iia,8511189,9,1909;1925;1929;1932;1933;1938,BRESIL;BRÉSIL;brésil,8471741,0.995,agrees,
BRN-1888-2025,Brunei Darussalam,fao,5770,1,1952,British Borneo Brunei,5685,0.985,agrees,
BSS-1884-1960,British Somaliland Protectorate (1884-1960),iia,497500,4,1925;1929;1932;1933,SOMALIE;SOMALIE italian;somalie,171627,0.345,review,"OURS IS RIGHT. British Somaliland is 176,120 km2 and our polygon is 171,633. IIA's 497,500 is roughly Italian + British Somaliland together, so the label reaches the wrong extent; FAO independently states 176,000, agreeing with us."
BSW-1841-1963,Sarawak (Brooke Raj / Crown Colony),fao,121910,1,1952,British Borneo Sarawak,124230,1.019,agrees,
BTL-1920-1957,British Togoland (1920-1957),iia,34200,1,1925,TOGOLAND british,26545,0.776,agrees,
BTN-1800-2025,Bhutan,fao,46600,1,1952,Bhutan,39799,0.854,agrees,
BTN-1800-2025,Bhutan,iia,51800,9,1909;1925;1929;1932;1933;1938,BOUTAN;boutan,39799,0.768,agrees,
CAN-1886-1949,Canada (to the Newfoundland accession),iia,9659653,9,1909;1925;1929;1932;1933;1938,CANADA;canada,9551195,0.989,agrees,
CAN-1949-2025,Canada,fao,9960560,1,1952,Canada,9949288,0.999,agrees,
CHE-1800-2025,Switzerland,fao,41300,1,1952,Switzerland,41472,1.004,agrees,
CHE-1800-2025,Switzerland,iia,41295,9,1909;1925;1929;1932;1933;1938,SUISSE;suisse,41472,1.004,agrees,
CHL-1902-2025,Chile,fao,741770,1,1952,Chile,742597,1.001,agrees,
CHL-1902-2025,Chile,iia,750572,9,1909;1925;1929;1932;1933;1938,CHILI;chili,742597,0.989,agrees,
CHN-1895-1913,China (1895-1913),iia,11080000,1,1909,CHINE,11110684,1.003,agrees,
CHN-1913-1914,China (1913-1914),iia,11080000,2,1925;1929,CHINE;chine,9224461,0.833,agrees,
CHN-1921-1932,China (1921-1932),iia,11080000,3,1909;1925;1929,CHINE;chine,7496474,0.677,agrees,"SCOPE. IIA states 11,080,000 km2 for China against our 7,496,467. China's own claimed area including Outer Mongolia and Tibet was routinely given as ~11m in this period; the 1938 edition drops to 9,870,000 once Mongolia is excluded. Our polygon is effective Republican control, which is the right basis for production data."
CHN-1932-1945,China (1932-1945),iia,11084000,3,1932;1933;1938,CHINE,6710151,0.605,review,"same as CHN-1921-1932, against the 1932 edition's 11,084,000."
CHN-1947-1949,China (1947-1949),fao,9736290,1,1952,China,7593571,0.780,agrees,
COD-1910-1960,DR Congo (1910-1960),fao,2365000,1,1952,Belgian Congo,2326790,0.984,agrees,
COD-1910-1960,DR Congo (1910-1960),iia,2385120,9,1909;1925;1929;1932;1933;1938,CONGO BELGE;congo belge,2326790,0.976,agrees,
COL-1903-1922,Colombia (1903-1922),iia,1195870,4,1909;1925;1929,COLOMBIE;colombie,1093417,0.914,agrees,
COL-1922-2025,Colombia,fao,1139160,1,1952,Colombia,1135199,0.997,agrees,
COL-1922-2025,Colombia,iia,1150220,5,1925;1929;1932;1933;1938,COLOMBIE;colombie,1135199,0.987,agrees,
CPV-1886-1975,Cape Verde (Portuguese colony),iia,3928,9,1909;1925;1929;1932;1933;1938,CAP VERT;CAP VERT portuguese;cap vert,3939,1.003,agrees,
CRI-1800-2025,Costa Rica,fao,50800,1,1952,Costa Rica,51141,1.007,agrees,
CRI-1800-2025,Costa Rica,iia,54000,9,1909;1925;1929;1932;1933;1938,COSTA-RICA;costa-rica,51141,0.947,agrees,
CUB-1800-2025,Cuba,fao,114520,1,1952,Cuba,109074,0.952,agrees,
CUB-1800-2025,Cuba,iia,118831,9,1909;1925;1929;1932;1933;1938,CUBA;cuba,109074,0.918,agrees,
CYP-1879-2025,Cyprus,fao,9250,1,1952,Cyprus,9123,0.986,agrees,
CYP-1879-2025,Cyprus,iia,9282,9,1909;1925;1929;1932;1933;1938,CHYPRE;chypre,9123,0.983,agrees,
CZN-1903-1979,Panama Canal Zone (US-administered),fao,1430,1,1952,Panama Canal Zone,1172,0.819,agrees,
DEU-1920-1938,Germany (1920-1938),iia,470692,6,1909;1925;1929;1932;1933;1938,ALLEMAGNE;allemagne,470825,1.000,agrees,
DNK-1864-1920,Denmark (to 1920),iia,38971,3,1909;1925;1929,DANEMARK;danemark,38601,0.991,agrees,
DNK-1920-2025,Denmark,fao,42930,1,1952,Denmark,42638,0.993,agrees,
DNK-1920-2025,Denmark,iia,42931,6,1909;1925;1929;1932;1933;1938,DANEMARK;danemark,42638,0.993,agrees,
DOM-1800-2025,Dominican Republic,fao,49540,1,1952,Dominican Republic,48333,0.976,agrees,
DOM-1800-2025,Dominican Republic,iia,50070,9,1909;1925;1929;1932;1933;1938,REPUBLIQUE DOMINICAINE;RÉPUBLIQUE DOMINICAINE;république dominicaine,48333,0.965,agrees,
DZA-1902-1919,Algeria (1902-1919),iia,575511,3,1909;1925;1929,ALGÉRIE;ALGÉRIE french;algérie,2442683,4.244,review,"SCOPE, and the more interesting direction. IIA states 575,511 km2 -- NORTHERN Algeria, the three civil departments -- while our polygon is 2,442,844 including the Southern Territories. Both are 'Algeria'; only one is the basis French agricultural statistics were collected on. A per-km2 denominator using our polygon understates by 4.2x for any series the yearbook drew from the civil departments."
DZA-1919-1962,Algeria (1919-1962),fao,2204860,1,1952,Algeria,2318386,1.051,agrees,
DZA-1919-1962,Algeria (1919-1962),iia,2195696,6,1909;1925;1929;1932;1933;1938,ALGÉRIE;ALGÉRIE french;algérie,2318386,1.056,agrees,
ECU-1800-1942,Ecuador (to 1942),iia,307243,9,1909;1925;1929;1932;1933;1938,EQUATEUR;equateur,341715,1.112,agrees,
ECU-1942-2025,Ecuador,fao,275000,1,1952,Ecuador,255241,0.928,agrees,
EGY-1899-1925,Egypt (1899-1925),iia,1027996,4,1909;1925;1929,EGYPTE;egypte,1517113,1.476,agrees,"SCOPE, verified by containment rather than assumed. Our polygon is 1,517,144 km2 against IIA's 1,027,996 and a modern Egypt of 1,001,450 -- but Cairo, Aswan and Sinai are inside it while Wadi Halfa, Khartoum and Port Sudan are OUTSIDE, so it is not silently carrying Sudan. The extra ~500,000 km2 is the Libyan Desert: Egypt's western boundary with Cyrenaica was undefined until 1925 and CShapes encodes the maximal claim. IIA states the administered territory, which is the basis its agricultural figures were collected on."
EGY-1925-1967,Egypt (1925-1967),fao,1000000,1,1952,Egypt,998328,0.998,agrees,
EGY-1925-1967,Egypt (1925-1967),iia,1020000,5,1925;1929;1932;1933;1938,EGYPTE;egypte,998328,0.979,agrees,
ERI-1889-1952,"Eritrea (colony/administration, 1889-1952)",fao,124320,1,1952,Eritrea,120803,0.972,agrees,
ERI-1889-1952,"Eritrea (colony/administration, 1889-1952)",iia,119000,8,1909;1925;1929;1932;1933,ERYTHREE;ERYTHREE italian;ERYTHRÉE;erythrée,120803,1.015,agrees,
ESP-1800-2025,Spain,fao,503060,1,1952,Spain,506132,1.006,agrees,
ESP-1800-2025,Spain,iia,505208,9,1909;1925;1929;1932;1933;1938,ESPAGNE;espagne,506132,1.002,agrees,
EST-1918-1940,Estonia (interwar republic),iia,47549,6,1909;1925;1929;1932;1933;1938,ESTHONIE;ESTONIE;estonie,49303,1.037,agrees,
ETH-1907-1936,Ethiopia (1907-1936),iia,900000,8,1909;1925;1929;1932;1933,ETHIOPIE;FTHIOPIE;ethiopie,1127539,1.253,agrees,"OURS IS RIGHT. Ethiopia is ~1,104,300 km2 and our polygon is 1,127,533. IIA's 900,000 is a pre-survey estimate from before the interior was mapped."
ETH-1941-1952,Ethiopia (1941-1952),fao,1060000,1,1952,Ethiopia,1127539,1.064,agrees,
F228-1945-1991,USSR (1945-1991),fao,22270000,1,1952,USSR,22065490,0.991,agrees,
F248-1920-1947,Yugoslavia (1920-1947),iia,248491,6,1909;1925;1929;1932;1933;1938,ETAT SERBE-CROATE-SLOVENE;VOUGOSLAVIE;YOUGOSLAVIE;yougoslavie,255147,1.027,agrees,
F248-1947-1991,Yugoslavia (1947-1991),fao,256880,1,1952,Yugoslavia,255147,0.993,agrees,
F249-1918-1990,Yemen (combined reporting: YAR and PDR Yemen),fao,195000,1,1952,Yemen,423783,2.173,review,"SCOPE MISMATCH, not an error. FAO's `Yemen` for 1947 is 195,000 km2 -- NORTH Yemen alone -- while F249-1918-1990 is the combined YAR + PDR reporting unit at 423,668. The routing question (should a pre-1990 `Yemen` label reach the combined row or a North-Yemen one?) is the pre-1990 Yemen gap already known from the production/trade review; it is not answerable by area."
F51-1918-1938,Czechoslovakia (1918-1938),iia,140491,6,1909;1925;1929;1932;1933;1938,TCHÉCOSLOVAQUIE;tchécoslovaquie,140306,0.999,agrees,
F51-1947-1993,Czechoslovakia (1947-1993),fao,126480,1,1952,Czechoslovakia,127598,1.009,agrees,
F77-1949-1990,East Germany,fao,107180,1,1952,Germany Eastern,109271,1.020,agrees,
FCM-1920-1960,French Cameroon (1920-1960),fao,440900,1,1952,French Cameroons,422964,0.959,agrees,
FID-1887-1954,French Indochina,iia,740400,9,1909;1925;1929;1932;1933;1938,INDOCHINE;indochine,753049,1.017,agrees,
FIN-1917-1940,Finland (1917-1940),iia,388217,6,1909;1925;1929;1932;1933;1938,FINLANDE;finlande,388750,1.001,agrees,
FIN-1940-2025,Finland (1940-2025),fao,337010,1,1952,Finland,335207,0.995,agrees,
FJI-1800-2025,Fiji,fao,18230,1,1952,Fiji,18649,1.023,agrees,
FLK-1833-2025,Falkland Islands,fao,15720,1,1952,Falkland Islands,12208,0.777,agrees,
FRA-1871-1919,"France (without Alsace-Lorraine, 1871-1919)",iia,536464,3,1909;1925;1929,FRANCE;france,532305,0.992,agrees,
FRA-1919-2025,France,fao,551600,1,1952,France,548058,0.994,agrees,
FRA-1919-2025,France,iia,550986,6,1909;1925;1929;1932;1933;1938,FRANCE;france,548058,0.995,agrees,
FRIN-1816-1954,French India (Établissements français dans l'Inde),fao,510,1,1952,French India,547,1.072,agrees,
FRS-1884-1977,French Somaliland,fao,23000,1,1952,French Somaliland,21481,0.934,agrees,
FRS-1884-1977,French Somaliland,iia,22000,9,1909;1925;1929;1932;1933;1938,COTE DES SOMALIS;COTE DES SOMALIS french;CÔTE DES SOMALIS;côte des somalis,21481,0.976,agrees,
FTO-1920-1960,French Togoland (1920-1960),fao,55000,1,1952,French Togoland,57137,1.039,agrees,
GBR-1800-1921,United Kingdom (to 1921),iia,230616,3,1909;1925;1929,GRANDE-BRETAGNE;grande-bretagne,313550,1.360,agrees,"THE LABEL IS NARROWER THAN THE POLITY. IIA's `royaume uni` states 230,616 km2, which is GREAT BRITAIN without Ireland. Our 313,550 includes all of Ireland, which is correct for the United Kingdom of 1800-1921. Ours is right; the label needs a separate GB row if any data actually arrives under it."
GBR-1921-2025,United Kingdom,fao,244010,1,1952,United Kingdom,243964,1.000,agrees,
GBR-1921-2025,United Kingdom,iia,230893,6,1909;1925;1929;1932;1933;1938,GRANDE-BRETAGNE;ROYAUME-UNI;grande-bretagne,243964,1.057,agrees,
GIB-1800-2025,Gibraltar,fao,60,1,1952,Gibraltar,7,0.119,review,
GIB-1800-2025,Gibraltar,iia,5,7,1909;1925;1932;1933;1938,GIBRALTAR,7,1.430,agrees,
GKM-1884-1912,German Kamerun (1884-1912),iia,790000,1,1909,CAMEROUN,510433,0.646,review,"VINTAGE. IIA states 790,000 km2, which is German Kamerun AFTER the 1911 Neukamerun cession from French Equatorial Africa; our 510,422 is the pre-1911 colony. The row spans 1884-1912, so both are inside it and the polygon represents most of the span."
GKM-1912-1916,German Kamerun (1912-1916),iia,789312,2,1925;1929,CAMEROUN german;cameroun,799945,1.013,agrees,
GLP-1816-2025,Guadeloupe,fao,1780,1,1952,Guadeloupe,1650,0.927,agrees,
GMB-1800-2025,Gambia,fao,10360,1,1952,Gambia,10628,1.026,agrees,
GMB-1800-2025,Gambia,iia,10539,9,1909;1925;1929;1932;1933;1938,GAMBIE;GAMBIE british;gambie,10628,1.008,agrees,
GRC-1881-1913,Greece (1881–1913),iia,119050,3,1909;1925;1929,GRECE;GRÈCE;grèce,63612,0.534,review,"PERIOD MISMATCH IN THE SOURCE, not in us. IIA's 1925 edition states 119,050 km2 under the data year 1913 -- post-Balkan-Wars Greece -- while this row ends in 1913 and covers the 63,211 km2 kingdom. Our 63,612 is right for the row. The yearbook is labelling a 1913 column with the territory Greece held after the treaties of that year."
GRC-1919-1947,Greece (1919-1947),iia,130199,6,1909;1925;1929;1932;1933;1938,GRECE;GRÈCE;grèce,129841,0.997,agrees,
GRC-1947-2025,Greece (1947-2025),fao,132560,1,1952,Greece,129841,0.979,agrees,
GRL-1800-2025,Greenland,fao,2176000,1,1952,Greenland,2148910,0.988,agrees,
GRL-1800-2025,Greenland,iia,88100,7,1909;1925;1932;1933;1938,GROENLAND,2148910,24.392,source_figure_suspect,
GTM-1821-2025,Guatemala,fao,108890,1,1952,Guatemala,109118,1.002,agrees,
GTM-1821-2025,Guatemala,iia,109960,9,1909;1925;1929;1932;1933;1938,GUATEMALA;GUATÉMALA;guatémala,109118,0.992,agrees,
GUF-1816-1946,French Guiana (Colony),iia,88240,9,1909;1925;1929;1932;1933;1938,GUYANE FRANÇAISE;GUYANE FRANÇAISE ET ININI;guyane française,83660,0.948,agrees,
GUF-1946-2025,French Guiana (Overseas Department),fao,90000,1,1952,French Guiana,83660,0.930,agrees,
GUM-1950-2025,Guam (US Territory),fao,540,1,1952,Guam,550,1.019,agrees,
HAWI-1898-1959,Territory of Hawaii,fao,16590,1,1952,Hawaii,16632,1.003,agrees,
HAWI-1898-1959,Territory of Hawaii,iia,16703,9,1909;1925;1929;1932;1933;1938,HAWAI;HAWAI usa;hawai,16632,0.996,agrees,
HKG-1842-2025,Hong Kong,fao,1010,1,1952,Hong Kong,1128,1.117,agrees,
HKG-1842-2025,Hong Kong,iia,1013,9,1909;1925;1929;1932;1933;1938,HONG-KONG;hong-kong,1128,1.114,agrees,
HND-1800-2025,Honduras,fao,115200,1,1952,Honduras,112280,0.975,agrees,
HND-1800-2025,Honduras,iia,114672,9,1909;1925;1929;1932;1933;1938,HONDURAS;honduras,112280,0.979,agrees,
HTI-1800-2025,Haiti,fao,27750,1,1952,Haiti,27093,0.976,agrees,
HTI-1800-2025,Haiti,iia,26435,9,1909;1925;1929;1932;1933;1938,HAITI;haiti,27093,1.025,agrees,
HUN-1920-1938,Hungary (1920-1938),iia,93058,6,1909;1925;1929;1932;1933;1938,HONGRIE;hongrie,93004,0.999,agrees,
HUN-1947-2025,Hungary (1947-2025),fao,93010,1,1952,Hungary,93004,1.000,agrees,
IDN-1945-1949,Indonesia (1945-1949),fao,1904350,1,1952,Indonesia,1876795,0.986,agrees,
IND-1893-1914,India (1893-1914),iia,4659226,5,1909;1925;1929,INDE BRITANNIQUE;INDE BRITANNIQUE:;indes britanniques,4815028,1.033,agrees,
IND-1914-1937,India (1914-1937),iia,4667376,7,1909;1925;1929;1932;1933,INDE BRITANNIQUE;INDE BRITANNIQUE:;INDES BRITANNIQUES;indes britanniques,4889739,1.048,agrees,
IND-1937-1947,India (1937-1947),iia,4071311,1,1938,INDE,4223063,1.037,agrees,
IND-1949-2025,India,fao,3281170,1,1952,India,3151797,0.961,agrees,
IRL-1921-2025,Ireland,fao,70280,1,1952,Ireland,69565,0.990,agrees,
IRL-1921-2025,Ireland,iia,68895,5,1925;1929;1932;1933;1938,ETAT LIBRE D'IRLANDE;ETAT LIBRE DIRLANDE;IRLANDE;IRLANDE (ETAT;irlande (etat,69565,1.010,agrees,
IRN-1828-2025,Iran,fao,1648000,1,1952,Iran,1621559,0.984,agrees,
IRN-1828-2025,Iran,iia,1645000,9,1909;1925;1929;1932;1933;1938,IRAN;PERSE;perse,1621559,0.986,agrees,
IRQ-1921-1932,Iraq (British Mandate for Mesopotamia),iia,336379,2,1925;1929,IRAK;irak,436195,1.297,agrees,"OURS IS RIGHT. Iraq is 438,317 km2 and our polygon is 436,200. IIA's 336,379 predates the 1926 settlement of the Mosul vilayet boundary with Turkey."
IRQ-1932-2025,Iraq,fao,444440,1,1952,Iraq,436195,0.981,agrees,
IRQ-1932-2025,Iraq,iia,371000,3,1932;1933;1938,IRAK,436195,1.176,agrees,
ISL-1800-2025,Iceland,fao,103500,1,1952,Iceland,102734,0.993,agrees,
ISL-1800-2025,Iceland,iia,102819,3,1932;1933;1938,ISLANDE,102734,0.999,agrees,
ISR-1948-1967,Israel (1948-1967),fao,20590,1,1952,Israel,20786,1.010,agrees,
ITA-1870-1919,Italy (1870-1919),iia,286610,3,1909;1925;1929,ITALIE;italie,284848,0.994,agrees,
ITA-1919-2025,Italy,fao,301050,1,1952,Italy,300310,0.998,agrees,
ITA-1919-2025,Italy,iia,310086,6,1909;1925;1929;1932;1933;1938,ITALIE;italie,300310,0.968,agrees,
ITS-1908-1960,Italian Somaliland (1908-1960),iia,357000,2,1909,SOMALIE ITALIENNE,464286,1.301,agrees,"OURS IS CLOSER. Italian Somaliland is ~502,000 km2; our 464,286 against IIA's 357,000. The IIA figure predates the 1925 Jubaland transfer from Kenya."
JAM-1800-2025,Jamaica,fao,1420,1,1952,British West Indies Jamaica,11001,7.747,review,"THE LABEL IS NOT THE POLITY. `British West Indies Jamaica` states 1,420 km2 against Jamaica's 10,991, and IIA's equivalent sub-label states 231-271 km2 -- BOTH sources give a small figure, so this is a sub-unit inside a BWI section rather than the island. The alias routing it to JAM-1800-2025 is what needs revisiting, not the polygon."
JOR-1946-2025,Jordan,fao,91110,1,1952,Jordan,89270,0.980,agrees,
JPN-1945-1952,Japan (occupied),fao,368480,1,1952,Japan,371147,1.007,agrees,
KEN-1907-1924,Kenya (1907-1924),iia,637128,4,1909;1925;1929,KENIA (ex-Afrique orient;KENIA (ex-Afrique orient british;kénia,635652,0.998,agrees,
KEN-1924-1926,Kenya (1924-1926),iia,541942,1,1925,KENIA (ex-Afrique orient british,541484,0.999,agrees,
KEN-1926-1963,Kenya (1926-1963),fao,582650,1,1952,Kenya and Prot,581930,0.999,agrees,
KEN-1926-1963,Kenya (1926-1963),iia,583000,4,1929;1932;1933;1938,KENIA;KENYA;kénia,581930,0.998,agrees,
KHM-1907-1953,Cambodia (1907-1953),fao,176000,1,1952,Indochina Cambodia,181798,1.033,agrees,
KOR-1800-1945,Korea (to 1945),iia,220741,9,1909;1925;1929;1932;1933;1938,COREE;COREE jap;CORÉE;corée,219372,0.994,agrees,
KWT-1800-2025,Kuwait,fao,20720,1,1952,Kuwait,16798,0.811,agrees,
LAO-1893-1954,Laos (1893-1954),fao,236800,1,1952,Indochina Laos,229987,0.971,agrees,
LBN-1944-2025,Lebanon,fao,10380,1,1952,Lebanon,10199,0.983,agrees,
LBR-1847-2025,Liberia,fao,111370,1,1952,Liberia,95990,0.862,agrees,
LBR-1847-2025,Liberia,iia,100000,9,1909;1925;1929;1932;1933;1938,LIBERIA;LIBÉRIA;libéria,95990,0.960,agrees,
LBY-1919-1925,Libya (1919-1925),iia,1250000,1,1909,LYBIE,1006284,0.805,agrees,
LBY-1934-1943,Libya (1934-1943),iia,1759540,1,1938,LIBYE,1617898,0.920,agrees,
LBY-1951-2025,Libya,fao,1759500,1,1952,Libya,1617898,0.920,agrees,
LIE-1800-2025,Liechtenstein,fao,160,1,1952,Liechtenstein,177,1.106,agrees,
LIE-1800-2025,Liechtenstein,iia,159,9,1909;1925;1929;1932;1933;1938,LIECHTENSTEIN;liechtenstein,177,1.113,agrees,
LTU-1918-1940,Lithuania (interwar republic),iia,55670,6,1909;1925;1929;1932;1933;1938,LITHUANIE;lithuanie,55904,1.004,agrees,
LUX-1839-2025,Luxembourg,fao,2590,1,1952,Luxembourg,2591,1.000,agrees,
LUX-1839-2025,Luxembourg,iia,2586,9,1909;1925;1929;1932;1933;1938,LUXEMBOURG;luxembourg,2591,1.002,agrees,
LVA-1918-1940,Latvia (interwar republic),iia,65791,6,1909;1925;1929;1932;1933;1938,LETTONIE;lettonie,65978,1.003,agrees,
MAN-1932-1945,Manchukuo (1932-1945),iia,1303143,1,1938,MANDCHOUKOUO,791708,0.608,review,"SCOPE. IIA states 1,303,143 km2 for Manchukuo, which includes Jehol and the Inner Mongolian leagues; our 791,708 is the three north-eastern provinces. build_man_1932_1945() documents that choice, and this is the first external evidence of what it costs."
MAR-1911-1958,Morocco (to 1958),fao,390800,1,1952,French Morocco,350268,0.896,agrees,
MAR-1911-1958,Morocco (to 1958),iia,415000,9,1909;1925;1929;1932;1933;1938,MAROC FRANÇAIS;maroc français,350268,0.844,agrees,
MCO-1800-2025,Monaco,fao,2,1,1952,Monaco,2,1.192,agrees,
MCO-1800-2025,Monaco,iia,21,9,1909;1925;1929;1932;1933;1938,MONACO;monaco,2,0.114,review,
MDG-1882-2025,Madagascar,fao,590000,1,1952,Madagascar,592875,1.005,agrees,
MDG-1882-2025,Madagascar,iia,609753,9,1909;1925;1929;1932;1933;1938,MADAGASCAR;MADAGASCAR ET DÉPENDACES;MADAGASCAR ET DÉPENDANCES;MADAGASCAR et dependences french;madagascar,592875,0.972,agrees,
MEX-1848-2025,Mexico,fao,1970000,1,1952,Mexico,1956564,0.993,agrees,
MEX-1848-2025,Mexico,iia,1969154,9,1909;1925;1929;1932;1933;1938,MEXIQUE;mexique,1956564,0.994,agrees,
MLT-1800-2025,Malta,fao,320,1,1952,Malta,292,0.912,agrees,
MMR-1885-2025,Myanmar,fao,678020,1,1952,Burma,675971,0.997,agrees,
MMR-1885-2025,Myanmar,iia,604733,1,1938,BIRMANIE,675971,1.118,agrees,
MNE-1878-1913,Montenegro (to 1913),iia,9080,1,1909,MONTÉNÉGRO,9944,1.095,agrees,
MNE-1913-1918,Montenegro (1913-1918),iia,14512,2,1925;1929,MONTÉNÉGRO;monténégro,15922,1.097,agrees,
MNG-1921-2025,Mongolia,fao,1621200,1,1952,Mongolian People's Republic,1563034,0.964,agrees,
MOZ-1891-1975,Mozambique (1891-1975),fao,771130,1,1952,Mozambique,786364,1.020,agrees,
MOZ-1891-1975,Mozambique (1891-1975),iia,771547,7,1909;1929;1932;1933;1938,MOZAMBIQUE;mozambique,786364,1.019,agrees,
MTQ-1816-2025,Martinique,fao,1100,1,1952,Martinique,1127,1.024,agrees,
MTQ-1816-2025,Martinique,iia,987,9,1909;1925;1929;1932;1933;1938,MARTINIQUE;martinique,1127,1.142,agrees,
MUS-1800-2025,Mauritius,fao,2090,1,1952,Mauritius,2106,1.008,agrees,
MWI-1891-1953,Nyasaland (1891-1953),fao,125470,1,1952,Nyasaland,118359,0.943,agrees,
MWI-1891-1953,Nyasaland (1891-1953),iia,102492,9,1909;1925;1929;1932;1933;1938,NVASSALAND;NYASSALAND;NYASSALAND british;nyassaland,118359,1.155,agrees,
MYS-1946-1957,Malayan Union / Federation of Malaya (1946-1957),fao,131290,1,1952,Malaya Federation of,131452,1.001,agrees,
NCL-1800-2025,New Caledonia,fao,18600,1,1952,New Caledonia,18798,1.011,agrees,
NCL-1800-2025,New Caledonia,iia,18653,9,1909;1925;1929;1932;1933;1938,NOUV-CALÉDONIE et dependences;NOUVELLE-CALEDONIE et dependences french;NOUVELLE-CALÉDONIE (et;NOUv-CALEDONIE et dependences;NOuv-CALEDONIE et dependences;nouvelle-calédonie (et dependences,18798,1.008,agrees,
NFK-1914-2025,Norfolk Island (Australian Territory),fao,350,1,1952,Norfolk Islands,41,0.116,review,"A UNIT ERROR IN THE SOURCE. FAO states 350 km2 for Norfolk Island, which is 35 km2 -- exactly 10x, i.e. a figure in km2 recorded under the `1000 hectares` heading. Our 37 is right."
