source,source_label,item,year_start,year_end,correct_label,polity_code,observed_rows,issue,evidence
iia,greece,grapes,1933,1935,Italian Islands of the Aegean (Dodecanese),ITAEG-1912-1947,3,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, checked 2026-09-24. Layer-B iia `greece` grapes (tonnes) carries raw `italian dodecanese islands` `vineyards: grapes, raisins` production at 1933 (1,600), 1934 (3,300), 1935 (5,600) and 1937 (3,300), all iia_1938_39 -- values two orders of magnitude below Greece's own table-grape crop in the same volume (1936 680,100 = 595,000 + 45,100 + 40,000, 1938 672,500), which stays on Greece. The Dodecanese were Italian 1912-1947 and are not in pre-war Greece (fao1952 prints them separately for the same reason; source_conventions.csv). Two more Dodecanese cells cannot be taken by a year-range rule and are recorded, not moved (data_errors.csv, iia-greece-grapes-dodecanese-period-cells): the 1928-1932 average (3,600) shares its years with Greece's 229,000 ha vineyard-area average under the same item, and the 1934-1938 average (4,500) straddles Greece's 1936 and 1938 rows. ITAEG-1912-1947 has no polygon and is already baselined in validate_data_without_geometry.py for exactly this kind of row; the alternative is leaving an Aegean colony's grapes on Greece. No collision: layer B carries no iia Dodecanese label."
iia,greece,grapes,1937,1937,Italian Islands of the Aegean (Dodecanese),ITAEG-1912-1947,1,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, checked 2026-09-24. Layer-B iia `greece` grapes (tonnes) carries raw `italian dodecanese islands` `vineyards: grapes, raisins` production at 1933 (1,600), 1934 (3,300), 1935 (5,600) and 1937 (3,300), all iia_1938_39 -- values two orders of magnitude below Greece's own table-grape crop in the same volume (1936 680,100 = 595,000 + 45,100 + 40,000, 1938 672,500), which stays on Greece. The Dodecanese were Italian 1912-1947 and are not in pre-war Greece (fao1952 prints them separately for the same reason; source_conventions.csv). Two more Dodecanese cells cannot be taken by a year-range rule and are recorded, not moved (data_errors.csv, iia-greece-grapes-dodecanese-period-cells): the 1928-1932 average (3,600) shares its years with Greece's 229,000 ha vineyard-area average under the same item, and the 1934-1938 average (4,500) straddles Greece's 1936 and 1938 rows. ITAEG-1912-1947 has no polygon and is already baselined in validate_data_without_geometry.py for exactly this kind of row; the alternative is leaving an Aegean colony's grapes on Greece. No collision: layer B carries no iia Dodecanese label."
iia,egypt,"beans, dry",1934,1938,sudan,SUD-1934-1956,4,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, checked 2026-09-24. All four layer-B iia `egypt` `beans, dry` rows are raw `british-egyptian sudan` `beans: dried` production, to the digit: 1934-1938 9,600 (iia_1939_45), 1935 13,200, 1936 8,100, 1937 7,900 (iia_1938_39). Raw `egypt` prints no dry-bean production at all in the extract, so there is no Egyptian series these could be. The Condominium is SUD-1934-1956 over these years, which is where the `sudan` label already resolves for iia; layer B carries no iia `sudan` label, so nothing is double counted."
iia,jamaica,cotton lint,1934,1945,british west indies federation,UNROUTED,16,687,"UNROUTED, NOT RELABELLED ONTO A TERRITORY. Checked 2026-09-24 against the raw IIA extract. Every layer-B iia `jamaica` cotton row from 1934 is raw `british west indies federation` from iia_1939_45, not Jamaica: seed (tonnes and ha) equals the raw BWI `cottonseed` rows exactly (1934-1938 2,400 t / 8,000 ha; 1939 2,900 t ... 1945 2,300 t), and lint is EXACTLY 2.00x raw BWI `cotton: ginned` on both axes (1934-1938 1,800 t / 16,000 ha against 900 / 8,000; 1941 3,400 / 20,000 against 1,700 / 10,000). The doubling is in the raw extract, not the source: every BWI `cotton: ginned` row is present TWICE, identical, from the same reviewed sheet (reviewed_163_170_algodon_desmotado_sup_prod_rend.xlsx), and the layer-B build sums them (data_errors.csv, iia-bwi-ginned-cotton-duplicated-rows). fao1952 corroborates the single figure: `British West Indies` 1934-1938 cotton lint 8 thousand ha, 1 thousand t. Raw `british jamaica` prints no cotton after 1927. The rows cannot go to BWI-1833-1962 either: iia `barbados` carries its own cotton lint and seed rows 1934-1945, routed to BRB-1800-2025, and the BWI total contains Barbados, so the whole would be summed beside its part. `british west indies federation` resolves to no polity for iia; this gate checks that it keeps doing so."
iia,jamaica,cotton seed,1934,1945,british west indies federation,UNROUTED,16,687,"UNROUTED, NOT RELABELLED ONTO A TERRITORY. Checked 2026-09-24 against the raw IIA extract. Every layer-B iia `jamaica` cotton row from 1934 is raw `british west indies federation` from iia_1939_45, not Jamaica: seed (tonnes and ha) equals the raw BWI `cottonseed` rows exactly (1934-1938 2,400 t / 8,000 ha; 1939 2,900 t ... 1945 2,300 t), and lint is EXACTLY 2.00x raw BWI `cotton: ginned` on both axes (1934-1938 1,800 t / 16,000 ha against 900 / 8,000; 1941 3,400 / 20,000 against 1,700 / 10,000). The doubling is in the raw extract, not the source: every BWI `cotton: ginned` row is present TWICE, identical, from the same reviewed sheet (reviewed_163_170_algodon_desmotado_sup_prod_rend.xlsx), and the layer-B build sums them (data_errors.csv, iia-bwi-ginned-cotton-duplicated-rows). fao1952 corroborates the single figure: `British West Indies` 1934-1938 cotton lint 8 thousand ha, 1 thousand t. Raw `british jamaica` prints no cotton after 1927. The rows cannot go to BWI-1833-1962 either: iia `barbados` carries its own cotton lint and seed rows 1934-1945, routed to BRB-1800-2025, and the BWI total contains Barbados, so the whole would be summed beside its part. `british west indies federation` resolves to no polity for iia; this gate checks that it keeps doing so."
mitchell,ghana,cattle,1939,1952,Gold Coast and British Togoland,GCT-1919-1956,9,688,"FOOTNOTE, WITH A CONTROL. Mitchell's C11 (Africa: numbers of livestock) heads its Ghana column `Ghana2`, and note 2 reads 'Including British Togoland from 1939 to 1952.' Cattle, sheep-and-goats and pigs appear under mitchell `ghana` only in that table (`page_40_table_1`), so the item selects exactly the footnoted series. The rows in these years are the Gold Coast plus the British mandate, which is GCT-1919-1956's territory, not GHA-1898-1957's (Gold Coast Colony alone). 1919-1938 in the same series are Gold Coast only and stay. The label's cocoa (C5) and groundnuts (C4) have no such note, which is why this is an item-scoped rule and not an alias on `ghana`. Measured on the Mitchell PDF text and consolidated_layer_b.parquet, 2026-09-24; issue 688."
mitchell,ghana,sheep and goats,1939,1952,Gold Coast and British Togoland,GCT-1919-1956,6,688,"FOOTNOTE, WITH A CONTROL. Mitchell's C11 (Africa: numbers of livestock) heads its Ghana column `Ghana2`, and note 2 reads 'Including British Togoland from 1939 to 1952.' Cattle, sheep-and-goats and pigs appear under mitchell `ghana` only in that table (`page_40_table_1`), so the item selects exactly the footnoted series. The rows in these years are the Gold Coast plus the British mandate, which is GCT-1919-1956's territory, not GHA-1898-1957's (Gold Coast Colony alone). 1919-1938 in the same series are Gold Coast only and stay. The label's cocoa (C5) and groundnuts (C4) have no such note, which is why this is an item-scoped rule and not an alias on `ghana`. Measured on the Mitchell PDF text and consolidated_layer_b.parquet, 2026-09-24; issue 688."
mitchell,ghana,swine / pigs,1939,1952,Gold Coast and British Togoland,GCT-1919-1956,6,688,"FOOTNOTE, WITH A CONTROL. Mitchell's C11 (Africa: numbers of livestock) heads its Ghana column `Ghana2`, and note 2 reads 'Including British Togoland from 1939 to 1952.' Cattle, sheep-and-goats and pigs appear under mitchell `ghana` only in that table (`page_40_table_1`), so the item selects exactly the footnoted series. The rows in these years are the Gold Coast plus the British mandate, which is GCT-1919-1956's territory, not GHA-1898-1957's (Gold Coast Colony alone). 1919-1938 in the same series are Gold Coast only and stay. The label's cocoa (C5) and groundnuts (C4) have no such note, which is why this is an item-scoped rule and not an alias on `ghana`. Measured on the Mitchell PDF text and consolidated_layer_b.parquet, 2026-09-24; issue 688."
mitchell,ghana,"cassava, fresh",1919,1955,Gold Coast and British Togoland,GCT-1919-1956,6,688,"FOOTNOTE, ON BOTH AXES. Mitchell footnotes its Ghana column in C1 (Africa: area of main arable food crops, `Ghana3`) and in C2 (output of main arable food crops, `Ghana11`) with the same words: 'Including British Togoland to 1958.' Under mitchell `ghana` this item comes only from those two tables (area `page_7_table_1`, output `page_16_table_1`). So both its ha and its tonnes rows are Gold Coast plus British Togoland, which is GCT-1919-1956's territory. 1956 is left on GHA-1898-1957 only because GCT-1919-1956's end year is exclusive; 1957 onward is independent Ghana, which includes British Togoland, so it stays on GHA-1957-2025. Groundnuts (C4) and cocoa (C5) carry no such note and are not relabelled. Measured on the Mitchell PDF text and consolidated_layer_b.parquet, 2026-09-24; issue 688."
mitchell,ghana,maize,1919,1955,Gold Coast and British Togoland,GCT-1919-1956,9,688,"FOOTNOTE, ON BOTH AXES. Mitchell footnotes its Ghana column in C1 (Africa: area of main arable food crops, `Ghana3`) and in C2 (output of main arable food crops, `Ghana11`) with the same words: 'Including British Togoland to 1958.' Under mitchell `ghana` this item comes only from those two tables (area `page_7_table_1`, output `page_16_table_1`). So both its ha and its tonnes rows are Gold Coast plus British Togoland, which is GCT-1919-1956's territory. 1956 is left on GHA-1898-1957 only because GCT-1919-1956's end year is exclusive; 1957 onward is independent Ghana, which includes British Togoland, so it stays on GHA-1957-2025. Groundnuts (C4) and cocoa (C5) carry no such note and are not relabelled. Measured on the Mitchell PDF text and consolidated_layer_b.parquet, 2026-09-24; issue 688."
mitchell,ghana,millet and sorghum,1919,1955,Gold Coast and British Togoland,GCT-1919-1956,4,688,"FOOTNOTE, ON BOTH AXES. Mitchell footnotes its Ghana column in C1 (Africa: area of main arable food crops, `Ghana3`) and in C2 (output of main arable food crops, `Ghana11`) with the same words: 'Including British Togoland to 1958.' Under mitchell `ghana` this item comes only from those two tables (area `page_7_table_1`, output `page_16_table_1`). So both its ha and its tonnes rows are Gold Coast plus British Togoland, which is GCT-1919-1956's territory. 1956 is left on GHA-1898-1957 only because GCT-1919-1956's end year is exclusive; 1957 onward is independent Ghana, which includes British Togoland, so it stays on GHA-1957-2025. Groundnuts (C4) and cocoa (C5) carry no such note and are not relabelled. Measured on the Mitchell PDF text and consolidated_layer_b.parquet, 2026-09-24; issue 688."
mitchell,ghana,sorghum,1919,1955,Gold Coast and British Togoland,GCT-1919-1956,3,688,"FOOTNOTE, ON BOTH AXES. Mitchell footnotes its Ghana column in C1 (Africa: area of main arable food crops, `Ghana3`) and in C2 (output of main arable food crops, `Ghana11`) with the same words: 'Including British Togoland to 1958.' Under mitchell `ghana` this item comes only from those two tables (area `page_7_table_1`, output `page_16_table_1`). So both its ha and its tonnes rows are Gold Coast plus British Togoland, which is GCT-1919-1956's territory. 1956 is left on GHA-1898-1957 only because GCT-1919-1956's end year is exclusive; 1957 onward is independent Ghana, which includes British Togoland, so it stays on GHA-1957-2025. Groundnuts (C4) and cocoa (C5) carry no such note and are not relabelled. Measured on the Mitchell PDF text and consolidated_layer_b.parquet, 2026-09-24; issue 688."
mitchell,syrian arab republic,"tobacco, unmanufactured",1945,1951,Syria and Lebanon,SYL-1944-1953,7,688,"FOOTNOTE, WITH THE SIBLING AS CONTROL. Mitchell C9 (Asia: output of tobacco) heads its Syria column `Syria 8`, and note 8 reads 'Including Lebanon to 1951.' Mitchell's own `lebanon` tobacco series begins in 1952 (1,700 t in 1952 and 1953), the year after the note stops applying, so nothing is double-counted and nothing is missing. Relabelled to `Syria and Lebanon`, which routes mitchell to SYL-1944-1953, the combined statistical unit fao1952 already uses. Syria's tobacco before 1945 sits outside SYL's span and stays; the SYL extension to 1920 that Mitchell's other 'Including Lebanon to 1938/1939/1940' notes need is issue 688. Measured on the Mitchell PDF text and consolidated_layer_b.parquet, 2026-09-24."
iia,viet nam,"coffee, green",1925,1944,Tonkin (within French Indochina),VNM-TON-1887-1945,30,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT (harmonized_data.xlsx), checked 2026-09-24. Every layer-B iia `viet nam` cell of this item, area and production alike, matches raw `french tonkin` on the exact (unit, year or period, value). Nine items are 100% Tonkin in both units (coffee, cotton lint, cotton seed, groundnuts, jute, the mis-coded 'other berries', sesame, tea, tobacco; 256 cells), and dry beans' two cells both match it. Silk-worm cocoons and raw sugar match `french cochinchina` and castor beans' area cell does not match Tonkin, so those items stay on VNM-1887-1954: the label mixes territories by item, which is why this is item-scoped and not an alias."
iia,viet nam,cotton lint,1925,1944,Tonkin (within French Indochina),VNM-TON-1887-1945,34,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT (harmonized_data.xlsx), checked 2026-09-24. Every layer-B iia `viet nam` cell of this item, area and production alike, matches raw `french tonkin` on the exact (unit, year or period, value). Nine items are 100% Tonkin in both units (coffee, cotton lint, cotton seed, groundnuts, jute, the mis-coded 'other berries', sesame, tea, tobacco; 256 cells), and dry beans' two cells both match it. Silk-worm cocoons and raw sugar match `french cochinchina` and castor beans' area cell does not match Tonkin, so those items stay on VNM-1887-1954: the label mixes territories by item, which is why this is item-scoped and not an alias."
iia,viet nam,cotton seed,1925,1944,Tonkin (within French Indochina),VNM-TON-1887-1945,32,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT (harmonized_data.xlsx), checked 2026-09-24. Every layer-B iia `viet nam` cell of this item, area and production alike, matches raw `french tonkin` on the exact (unit, year or period, value). Nine items are 100% Tonkin in both units (coffee, cotton lint, cotton seed, groundnuts, jute, the mis-coded 'other berries', sesame, tea, tobacco; 256 cells), and dry beans' two cells both match it. Silk-worm cocoons and raw sugar match `french cochinchina` and castor beans' area cell does not match Tonkin, so those items stay on VNM-1887-1954: the label mixes territories by item, which is why this is item-scoped and not an alias."
iia,viet nam,"groundnuts, with shell",1925,1944,Tonkin (within French Indochina),VNM-TON-1887-1945,33,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT (harmonized_data.xlsx), checked 2026-09-24. Every layer-B iia `viet nam` cell of this item, area and production alike, matches raw `french tonkin` on the exact (unit, year or period, value). Nine items are 100% Tonkin in both units (coffee, cotton lint, cotton seed, groundnuts, jute, the mis-coded 'other berries', sesame, tea, tobacco; 256 cells), and dry beans' two cells both match it. Silk-worm cocoons and raw sugar match `french cochinchina` and castor beans' area cell does not match Tonkin, so those items stay on VNM-1887-1954: the label mixes territories by item, which is why this is item-scoped and not an alias."
iia,viet nam,jute,1925,1944,Tonkin (within French Indochina),VNM-TON-1887-1945,23,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT (harmonized_data.xlsx), checked 2026-09-24. Every layer-B iia `viet nam` cell of this item, area and production alike, matches raw `french tonkin` on the exact (unit, year or period, value). Nine items are 100% Tonkin in both units (coffee, cotton lint, cotton seed, groundnuts, jute, the mis-coded 'other berries', sesame, tea, tobacco; 256 cells), and dry beans' two cells both match it. Silk-worm cocoons and raw sugar match `french cochinchina` and castor beans' area cell does not match Tonkin, so those items stay on VNM-1887-1954: the label mixes territories by item, which is why this is item-scoped and not an alias."
iia,viet nam,other berries and fruits of the genus vaccinium n.e.c.,1925,1944,Tonkin (within French Indochina),VNM-TON-1887-1945,24,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT (harmonized_data.xlsx), checked 2026-09-24. Every layer-B iia `viet nam` cell of this item, area and production alike, matches raw `french tonkin` on the exact (unit, year or period, value). Nine items are 100% Tonkin in both units (coffee, cotton lint, cotton seed, groundnuts, jute, the mis-coded 'other berries', sesame, tea, tobacco; 256 cells), and dry beans' two cells both match it. Silk-worm cocoons and raw sugar match `french cochinchina` and castor beans' area cell does not match Tonkin, so those items stay on VNM-1887-1954: the label mixes territories by item, which is why this is item-scoped and not an alias."
iia,viet nam,sesame seed,1925,1944,Tonkin (within French Indochina),VNM-TON-1887-1945,19,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT (harmonized_data.xlsx), checked 2026-09-24. Every layer-B iia `viet nam` cell of this item, area and production alike, matches raw `french tonkin` on the exact (unit, year or period, value). Nine items are 100% Tonkin in both units (coffee, cotton lint, cotton seed, groundnuts, jute, the mis-coded 'other berries', sesame, tea, tobacco; 256 cells), and dry beans' two cells both match it. Silk-worm cocoons and raw sugar match `french cochinchina` and castor beans' area cell does not match Tonkin, so those items stay on VNM-1887-1954: the label mixes territories by item, which is why this is item-scoped and not an alias."
iia,viet nam,tea,1925,1944,Tonkin (within French Indochina),VNM-TON-1887-1945,29,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT (harmonized_data.xlsx), checked 2026-09-24. Every layer-B iia `viet nam` cell of this item, area and production alike, matches raw `french tonkin` on the exact (unit, year or period, value). Nine items are 100% Tonkin in both units (coffee, cotton lint, cotton seed, groundnuts, jute, the mis-coded 'other berries', sesame, tea, tobacco; 256 cells), and dry beans' two cells both match it. Silk-worm cocoons and raw sugar match `french cochinchina` and castor beans' area cell does not match Tonkin, so those items stay on VNM-1887-1954: the label mixes territories by item, which is why this is item-scoped and not an alias."
iia,viet nam,"tobacco, unmanufactured",1925,1944,Tonkin (within French Indochina),VNM-TON-1887-1945,32,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT (harmonized_data.xlsx), checked 2026-09-24. Every layer-B iia `viet nam` cell of this item, area and production alike, matches raw `french tonkin` on the exact (unit, year or period, value). Nine items are 100% Tonkin in both units (coffee, cotton lint, cotton seed, groundnuts, jute, the mis-coded 'other berries', sesame, tea, tobacco; 256 cells), and dry beans' two cells both match it. Silk-worm cocoons and raw sugar match `french cochinchina` and castor beans' area cell does not match Tonkin, so those items stay on VNM-1887-1954: the label mixes territories by item, which is why this is item-scoped and not an alias."
iia,viet nam,"beans, dry",1925,1944,Tonkin (within French Indochina),VNM-TON-1887-1945,2,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT (harmonized_data.xlsx), checked 2026-09-24. Every layer-B iia `viet nam` cell of this item, area and production alike, matches raw `french tonkin` on the exact (unit, year or period, value). Nine items are 100% Tonkin in both units (coffee, cotton lint, cotton seed, groundnuts, jute, the mis-coded 'other berries', sesame, tea, tobacco; 256 cells), and dry beans' two cells both match it. Silk-worm cocoons and raw sugar match `french cochinchina` and castor beans' area cell does not match Tonkin, so those items stay on VNM-1887-1954: the label mixes territories by item, which is why this is item-scoped and not an alias."
iia,cameroon,"cacao, beans",1920,1945,British and French Cameroons (combined reporting unit),BFCM-1920-1960,21,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, checked 2026-09-24. The raw extract carries three Cameroon headings (`french cameroon`, `british cameroon`, `british-french cameroon`) and this item's layer-B iia `cameroon` cells are the COMBINED one: sesame 40/40, groundnuts 16/16, tobacco production 4/4, cacao dated area 15/15; cotton lint and seed carry round values but the raw extract has no French-only or British-only cotton series at all. Cacao production control: fao1952 1934-38 French 24.8 + British 4.6 = 29.4 thousand t against iia 30.6 (4%), French alone 23% lower. Coffee and rubber match `french cameroon` and stay on FCM-1920-1960."
iia,cameroon,cotton lint,1920,1945,British and French Cameroons (combined reporting unit),BFCM-1920-1960,11,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, checked 2026-09-24. The raw extract carries three Cameroon headings (`french cameroon`, `british cameroon`, `british-french cameroon`) and this item's layer-B iia `cameroon` cells are the COMBINED one: sesame 40/40, groundnuts 16/16, tobacco production 4/4, cacao dated area 15/15; cotton lint and seed carry round values but the raw extract has no French-only or British-only cotton series at all. Cacao production control: fao1952 1934-38 French 24.8 + British 4.6 = 29.4 thousand t against iia 30.6 (4%), French alone 23% lower. Coffee and rubber match `french cameroon` and stay on FCM-1920-1960."
iia,cameroon,cotton seed,1920,1945,British and French Cameroons (combined reporting unit),BFCM-1920-1960,27,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, checked 2026-09-24. The raw extract carries three Cameroon headings (`french cameroon`, `british cameroon`, `british-french cameroon`) and this item's layer-B iia `cameroon` cells are the COMBINED one: sesame 40/40, groundnuts 16/16, tobacco production 4/4, cacao dated area 15/15; cotton lint and seed carry round values but the raw extract has no French-only or British-only cotton series at all. Cacao production control: fao1952 1934-38 French 24.8 + British 4.6 = 29.4 thousand t against iia 30.6 (4%), French alone 23% lower. Coffee and rubber match `french cameroon` and stay on FCM-1920-1960."
