polity_name,start_year,end_year,population,notes
Bolivia,1825,NA,1802,until 1825 Spanish colony (Viceroyalty de la Plata)
Brazil,NA,NA,26158,NA
British Guiana,NA,NA,309,"Including Berbice, Demerara and Essequebio (independent colonies 1802-1831); now Guyana"
British Honduras (Belize),NA,NA,41,"quasi independent  until 1862, then British colony. Present-day Belize"
Canada,1866,NA,7852,"Sum of Canada (Ports of Quebec and Montreal), Nova Scotia and Cape Breton, New Brunswick and Prince Edward Island from 1827-1867."
British Columbia,1858,1866,NA,Joint estimate with Canada
Chile,1810,NA,3680,Until 1810 Spanish colony (viceroyalty de Peru)
Colombia,NA,NA,5817,until 1811 spanish colony (Viceroyalty New Granada)
Costa Rica,NA,NA,372,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America
Cuba,NA,NA,2431,NA
Danish Virgin Islands,NA,NA,27,NA
Dominican Republic,NA,NA,741,NA
Dutch Guayana,NA,NA,114,present-day Suriname
Dutch West Indies (Netherland Antilles),NA,NA,57,"Islands Aruba, Bonaire and Curacao and minor ones"
Ecuador,NA,NA,1689,NA
El Salvador,1821,NA,2025,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America
Falkland Islands,1833,NA,3,1816-1833 Argentina
French Guiana,NA,NA,48,NA
Grenada,NA,1833,67,British Windward colony after 1833
Guadeloupe,NA,NA,170,NA
Guatemala,1821,NA,2025,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America
Haiti,NA,NA,1746,NA
Honduras,NA,NA,631,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America
Jamaica,NA,NA,837,Including Cayman islands
"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)",NA,NA,86,"in 1816 it was divided in two, with Antigua, Barbuda and Montserrat in one colony, and Saint Christopher, Nevis, Anguilla, and the Virgin Islands in another"
Lower Quebec,NA,1866,NA,Joint estimate with Canada
Martinique,NA,NA,187,NA
Mexico,NA,NA,16125,NA
New Brunswick,NA,1866,NA,Joint estimate with Canada
Newfoundland,1816,NA,244,NA
Nicaragua,NA,NA,698,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America
Nova Scotia  Cape Breton Isl.,NA,1866,NA,Joint estimate with Canada
Ontario,NA,1866,NA,Joint estimate with Canada
Panama,1906,NA,348,until 1821 Spanish colony; until 1905 part of Colombia
Paraguay,1811,NA,713,NA
Peru,1825,NA,4006,until 1824 Spanish colony (viceroyalty of Peru)
Prince Edward Island,NA,1866,NA,Joint estimate with Canada
Puerto Rico,NA,NA,2431,since 1901 trade of Porto Rico is included in the United States  statistics.
St. Lucía,NA,1838,49,British Windward colony after 1833
St Martin and St Barthélemy,1816,1878,2,population 1870; 1878-1938 part of Guadaloupe
St Pierre & Miquelon,NA,NA,4,NA
St. Vincent,NA,1833,42,British Windward colony after 1833
Trinidad and Tobago,NA,NA,340,Tobago independent colony until 1889
Turks and Caicos Islands,NA,NA,NA,NA
United States,NA,NA,97225,NA
Vancouver´s Island,1849,1866,NA,Joint estimate with Canada
Uruguay,1828,NA,1189,until 1814 Spanish colony (Viceroyalty Rio de la Plata); 1816-1825 Brazil;
Venezuela,1821,NA,2443,until 1821 Spanish colony (viceroyalty New granada)
Abu Dhabi,NA,NA,NA,NA
Aden,1839,NA,48,NA
Afghanistan,NA,NA,5799,NA
Ajman,NA,NA,NA,NA
Badakhshan,NA,1873,NA,1873-1938 Afghanistan; joint estimate with Afghanistan
Bahrain,NA,NA,104,NA
Bhutan,NA,NA,250,NA
Bonin island,1846,1873,NA,1876-1938 Japan; joint estimate with Japan
British Malaya,1922,NA,2776,"Created 1922 unifying Strait Settlements, Federated Malay states and Unfederated Malay States (all Briish colonies or protectorates)"
Brunei,NA,NA,23,NA
Bukhara,NA,1920,NA,1920-1938 USSR
Burma (Myammar),NA,NA,NA,Joint estimate with India
Ceylon (Sri Lanka),NA,NA,4262,NA
China,NA,NA,437140,NA
Danish India,NA,1845,NA,1846-1938 British India
Dutch East Indies (Indonesia),NA,NA,48751,NA
Federated Malay States,1895,1922,NA,1922-1938 British Malaya; Joint estimate with British Malaya
Formosa (Taiwan),1896,NA,3477,1800-1895 China
French India,NA,NA,280,NA
French Indochina,1887,NA,17400,NA
Fujairah,1886,NA,NA,1816-1886 Sharjah
Herat,NA,1862,NA,1863-1938 Afghanistan; joint estimate with Afghanistan
Hong-Kong,1841,NA,500,1816-1839 China
India,NA,NA,315876,NA
Iraq,1921,NA,2613,1800-1918 Ottoman Empire
Japan,NA,NA,51672,NA
Jordan,1918,NA,NA,1800-1918 Ottoman Empire; joint estimate with Palestine
Khiva,NA,1873,NA,1873-1938 Russia and Soviet Union
Kiautchou,1898,1922,175,1800-1898 and 1922-1938 China; joint estimate with China
Kokand,NA,1883,NA,1873-1938 Russia and Soviet Union
Korea,NA,NA,15486,NA
Kuwait,NA,NA,50,population in 1920
Kwang-Chou-Wan,1898,NA,206,population in 1926; 1800-1898 and 1922-1938 China; joint estimate with China
Kwantung (Port Arthur),1898,NA,596,"1800-1898  China, 1898-1905 Russia, 1905-1938 Japan"
Maldive,NA,NA,72,NA
Manchukuo,1932,NA,NA,1800-1932 China
Mongolia,1911,NA,725,1800-1911 China
Nepal,NA,NA,5639,NA
North Yemen,1918,NA,3236,1871-1918 Ottoman Empire; 1918-1938 Included with Saudi Arabia
Oman,NA,NA,444,NA
Ottoman Empire/Turkey,NA,NA,24000,NA
Palestine/Jordan,1918,NA,730,population in 1920; 1800-1918 Ottoman Empire
Persia (Iran),NA,NA,10994,NA
Philippines,NA,NA,9384,NA
Portuguese India,NA,NA,550,NA
Quatar,NA,NA,13,1871-1916 Ottoman Empire
Ras al Khaimah,1919,NA,NA,1900-1919 Sharjah
Sabah (British Borneo),1888,NA,210,1816-1888 Brunei
Sarawak,1841,NA,500,NA
Saudi Arabia,1924,NA,2676,1800-1918 Ottoman Empire
Sharjah,NA,NA,NA,NA
Siam (Thailand),NA,NA,8689,NA
Sikkim,NA,NA,NA,NA
Straits Settlement,1826,1922,NA,1922-1938 British Malaya; joint estimate with British Malaya
Syria and Lebanon,1918,NA,2104,population 1919; 1800-1918 Ottoman Empire
Tibet,NA,NA,NA,Estimated inside China
Timor,NA,NA,345,NA
Umm al Qawain,1892,NA,NA,NA
Yunnan,1856,1871,NA,1800-1857 and 1872-1938 China; joint estimate with China
Albania,1913,NA,800,1800-1913 Ottoman Empire
Andorra,NA,NA,5,NA
Austria,1918,NA,6767,1800-1918 Austria-Hungary
Austria-Hungary,NA,1918,52786,NA
Belgium,1831,NA,7605,NA
Bulgaria,1878,NA,4828,1800-1878 Ottoman Empire
Crete,1898,1913,310,1800-1897 Ottoman Empire; 1914-1938 Greece
Cyprus,1879,NA,286,"1800-1878 Ottoman Empire, then British colony"
Czechoslovakia,1918,1937,13245,1800-1918 Austria-Hungary
Denmark,NA,NA,2983,NA
Dodecanese Is.,1912,NA,NA,"1800-1912 Ottoman Empire, then Italian colony"
Duchy Modena,NA,1860,NA,1861-1938 Italy; joint estimation with Italy
Duchy Parma,NA,1860,NA,1861-1938 Italy; joint estimation with Italy
Estonia,1918,NA,986,1800-1918 Russia
Faroe Is,NA,NA,18,NA
Finland,1917,NA,3027,1800-1812 Russia
France,NA,NA,39771,NA
Germany/Zollverein,NA,NA,66978,NA
Gibraltar,NA,NA,18,NA
Iceland,NA,NA,88,NA
Ionian islands,1815,1862,NA,1864-1938 Greece
Ireland,1921,NA,4346,1800-1921 United Kingdom
Italy,1861,NA,35355,NA
Kingdom Two sicilies,NA,1860,NA,1861-1938 Italy; joint estimation with Italy
Latvia,1918,NA,2552,1800-1918 Russia
Lithuania,1918,NA,2916,1800-1918 Russia
Luxembourg,NA,NA,260,NA
Malta,NA,NA,212,NA
Monaco,NA,NA,23,NA
Montenegro,1878,1918,516,1800-1878 Ottoman Empire; 1918-1938 Yugoslavia
Netherlands,NA,NA,6164,NA
Norway,NA,NA,2447,NA
Papal States,NA,1870,NA,1871-1938 Italy; joint estimation with Italy
Poland,1918,NA,28300,"1800-1918 divided between  Russia,  Austria-Hungary and  Germany"
Portugal,NA,NA,5972,NA
Romania,1859,NA,7656,1800-1876 Ottoman Empire
Russia/USSR,NA,NA,162352,NA
Sardinia,NA,1860,NA,1861-1938 Italy; joint estimation with Italy
Serbia/Yugoslavia,1816,NA,4796,1800-1815 Ottoman Empire
Spain,NA,NA,20263,NA
Sweden,NA,NA,5621,NA
Switzerland,NA,NA,3864,NA
Tuscany,NA,1860,NA,1861-1938 Italy; joint estimation with Italy
Two Sicilies,NA,1860,NA,1861-1938 Italy; joint estimation with Italy
United Kingdom,NA,NA,NA,NA
American Samoa,1900,NA,NA,Joint estimate US settlement Oceania
Australia Commonwealth,1901,NA,4821,NA
British New Guinea,1884,NA,NA,Joint estimation british settlement Oceania; since 1905 administered by Australia; now Papua New Guinea
British settlement Oceania,1839,NA,358,NA
Caroline Island,1885,NA,NA,Spanish colony 1885-1899; German 1899-1914; Japan mandate 1914-1938; joint estimation with German colonies Oceania
Cook Island,1893,1901,NA,1901-1938 New Zealand; Joint estimation New Zealand
Dutch new Guinea,1898,NA,NA,Present-day Indonesia
Fiji,1874,NA,NA,Joint estimation British settlement Oceania
French Settlements in Oceania,1844,NA,31,"Polities included: New Caledonia, Polynesia"
Gambier Island,1881,1903,NA,Joint estimation French Settlements Oceania
German colonies Oceania,1884,NA,570,1915-1938 mandate Ldn (different colonial powers(
Gilbert and Ellice Island,1892,NA,NA,Joint estimation British settlement Oceania
Mariana Island,NA,NA,NA,Spanish colony 1800-1898; German colony 1898-1914;Japanese mandate 1914-1938; joint estimate with German colonies Oceania
Marquesas Island,1844,1903,NA,Joint estimation with French settlements Oceania
Marshall Island,1874,NA,NA,Spanish colony 1870-1898; German colony 1898-1914;Japanese mandate 1914-1938; joint estimate with German colonies Oceania
Midway Island,1859,NA,NA,Joint estimation with US Settlement Oceania
Nauru,1888,NA,NA,British-Australian mandate 1914-1938; Joint estimation with German colonies Oceania
New Caledonia,1853,NA,NA,Joint estimation with French settlements Oceania
New Guinea,1884,NA,NA,German colony 1884; Australian mandate 1914-1938; Joint estimation with German colonies Oceania
New Hebrides,1906,NA,NA,British-French condominium;  joint estimates British settlement Oceania; present-day Vanuatu
Niue Island,1900,1901,NA,annexed to New Zealand 1901-1938; Joint estimation New Zealand
Norfolk Island,NA,1901,NA,annexed to Australia; joint estimate with Australia
Palmyra Island,1889,1912,NA,1862-1898 Hawaii then USA; joint estimate with Hawaii
Pitcairn Island,1839,NA,NA,UK colony; joint estimation British settlement Oceania
Queensland,1859,1900,NA,Joint estimation with Australia; 1800-1858 part of New South Wales
Society Islands  (Tahiti),1844,1903,NA,independent Kingdom to 1844; French protectorate 1844-1881; then French colony joint estimate with French settlement Oceania
Solomon Islands,1885,NA,NA,German colony 1885-1900; British 1900-1938; Joint estimation with British settlement Oceania
South Australia,1838,1900,NA,Joint estimation with Australia
Tokelau Island,1877,NA,NA,British colony; administered New Zealand after 1926 Joint estimation with British Settlement Oceania
Tongan Islands,NA,NA,NA,Quasi independent kingdom; joit estimate with British settlment Oceania
US settlement Oceania,1859,NA,NA,NA
Van Diemen's Land (Tasmania),1828,1900,NA,Joint estimation with Australia; 1800-1825 New South Wales;
Victoria,1853,1900,NA,Joint estimation with Australia; 1800-1852 New South Wales;
Wake Island,1898,NA,NA,Joint estimation with US settlement Oceania
Wallis and Futuna Island,1842,NA,NA,Joint estimation with French Polinesia
Western Australia,1838,1900,NA,Joint estimation with Australia
Western Samoa,1900,NA,NA,German colony 1899-1915; New Zealand mandate; joint estimate with German colonies Oceania
