original_name,source,common_name
Argentina,faostat,Argentina
Argentina,federico_tena,Argentina (to 1899)
Argentina,m49,Argentina
Argentina (1899-1902),cshapes,Argentina (1899-1902)
Argentina (to 1899),cshapes,Argentina (to 1899)
Armenia,cshapes,Armenia
Armenia,faostat,Armenia
Armenia,m49,Armenia
Aruba,faostat,Aruba
Aruba,gadm,Aruba
Aruba,m49,Aruba
"Ascension, Saint Helena and Tristan da Cunha",faostat,"Saint Helena, Ascension and Tristan da Cunha"
Asia,faostat,Asia
Australia,cshapes,Australia
Australia,faostat,Australia
Australia,m49,Australia
Australia Commonwealth,federico_tena,Australia
Australia and New Zealand,faostat,Australia and New Zealand
Austria,cshapes,Austria
Austria,faostat,Austria
Austria,federico_tena,Austria
Austria,m49,Austria
Austria (1918-1919),cshapes,Austria (1918-1919)
Austria-Hungary,federico_tena,Austria-Hungary (to 1908)
Austria-Hungary (1908-1918),cshapes,Austria-Hungary (1908-1918)
Austria-Hungary (to 1908),cshapes,Austria-Hungary (to 1908)
Austria-Hungary (to 1908),whep,Austria-Hungary (to 1908)
Azerbaijan,cshapes,Azerbaijan
Azerbaijan,faostat,Azerbaijan
Azerbaijan,m49,Azerbaijan
Badakhshan,federico_tena,Badakhshan
Badakhshan,gadm,Badakhshan
Baden,cshapes_europe,Baden
Baden,whep,Baden
Bahamas,cshapes,Bahamas
Bahamas,faostat,Bahamas
Bahamas,federico_tena,Bahamas
Bahamas,m49,Bahamas
Bahrain,cshapes,Bahrain
Bahrain,faostat,Bahrain
Bahrain,federico_tena,Bahrain
Bahrain,m49,Bahrain
Bangladesh,cshapes,Bangladesh
Bangladesh,faostat,Bangladesh
Bangladesh,m49,Bangladesh
Barbados,cshapes,Barbados
Barbados,faostat,Barbados
Barbados,federico_tena,Barbados
Barbados,m49,Barbados
Basutoland,federico_tena,Basutoland
Basutoland,gadm,Basutoland
Bavaria,cshapes_europe,Bavaria
Bavaria,whep,Bavaria
Bechuanaland Protectorate,federico_tena,Bechuanaland Protectorate
Bechuanaland Protectorate,gadm,Bechuanaland Protectorate
Belarus,faostat,Belarus
Belarus,m49,Belarus
Belarus (Byelorussia),cshapes,Belarus
Belgian Congo,federico_tena,Belgian Congo
Belgian Congo,gadm,Belgian Congo
Belgium,cshapes,Belgium
Belgium,faostat,Belgium
Belgium,federico_tena,Belgium
Belgium,m49,Belgium
Belgium-Luxembourg,faostat,Belgium-Luxembourg
Belize,cshapes,Belize
Belize,faostat,Belize
Belize,m49,Belize
Benin,cshapes,Benin
Benin,faostat,Benin
Benin,m49,Benin
Benin,whep,Benin
Benin (1895-1898),cshapes,Benin (1895-1898)
Bermuda,faostat,Bermuda
Bermuda,federico_tena,Bermuda
Bermuda,gadm,Bermuda
Bermuda,m49,Bermuda
Bhutan,cshapes,Bhutan
Bhutan,faostat,Bhutan
Bhutan,federico_tena,Bhutan
Bhutan,m49,Bhutan
Bokhara (to 1920),cshapes,Bukhara (to 1920)
Bolivia,cshapes,Bolivia
Bolivia,federico_tena,Bolivia (to 1903)
Bolivia (1903-1909),cshapes,Bolivia (1903-1909)
Bolivia (1909-1938),cshapes,Bolivia (1909-1938)
Bolivia (Plurinational State of),faostat,Bolivia
Bolivia (Plurinational State of),m49,Bolivia
Bolivia (to 1903),cshapes,Bolivia (to 1903)
"Bonaire, Sint Eustatius and Saba",faostat,"Bonaire, Sint Eustatius and Saba"
"Bonaire, Sint Eustatius and Saba",gadm,"Bonaire, Sint Eustatius and Saba"
"Bonaire, Sint Eustatius and Saba",m49,"Bonaire, Sint Eustatius and Saba"
Bonin island,federico_tena,Bonin island
Bonin island,gadm,Bonin island
Bosnia (to 1908),cshapes,Bosnia (to 1908)
Bosnia and Herzegovina,faostat,Bosnia and Herzegovina
Bosnia and Herzegovina,m49,Bosnia and Herzegovina
Bosnia-Herzegovina,cshapes,Bosnia and Herzegovina
Botswana,cshapes,Botswana
Botswana,faostat,Botswana
Botswana,m49,Botswana
Botswana,whep,Botswana
Botswana (1890-1895),cshapes,Botswana (1890-1895)
Botswana (to 1890),cshapes,Botswana (to 1890)
Bouvet Island,faostat,Bouvet Island
Bouvet Island,gadm,Bouvet Island
Bouvet Island,m49,Bouvet Island
Brazil,cshapes,Brazil
Brazil,faostat,Brazil
Brazil,federico_tena,Brazil (to 1903)
Brazil,m49,Brazil
Brazil (1903-1909),cshapes,Brazil (1903-1909)
Brazil (to 1903),cshapes,Brazil (to 1903)
Bremen (city-state),cshapes_europe,Bremen (city-state)
Bremen (city-state),whep,Bremen (city-state)
British Bechuanaland,federico_tena,British Bechuanaland
British Bechuanaland (to 1895),cshapes,British Bechuanaland (to 1895)
British Cameroon,federico_tena,British Cameroon
British Cameroon,gadm,British Cameroon
British Cameroons (1919-1961),cshapes,British Cameroon (1919-1961)
British Columbia,federico_tena,British Columbia
British Columbia,gadm,British Columbia
British East Africa,federico_tena,British East Africa
British East Africa,gadm,British East Africa
British Guiana,federico_tena,Guyana
British Honduras (Belize),federico_tena,Belize
British Indian Ocean Territory,gadm,British Indian Ocean Territory
British Indian Ocean Territory,m49,British Indian Ocean Territory
British Malaya,federico_tena,British Malaya
British Malaya,gadm,British Malaya
British New Guinea,federico_tena,British New Guinea
British New Guinea,gadm,British New Guinea
British Protectorate (British Somaliland),federico_tena,British Protectorate (British Somaliland)
British Protectorate (British Somaliland),gadm,British Protectorate (British Somaliland)
British Somaliland (Somaliland Republic) (to 1960),cshapes,British Protectorate (British Somaliland) (to 1960)
British Togoland (1922-1955),cshapes,British Togoland (1922-1955)
British Virgin Islands,faostat,British Virgin Islands
British Virgin Islands,gadm,British Virgin Islands
British settlement Oceania,federico_tena,British settlement Oceania
Brunei,cshapes,Brunei Darussalam
Brunei,federico_tena,Brunei Darussalam
Brunei,whep,Brunei Darussalam
Brunei (greater),gadm,Brunei (greater)
Brunei (greater),whep,Brunei (greater)
Brunei Darussalam,faostat,Brunei Darussalam
Brunei Darussalam,m49,Brunei Darussalam
Bukhara,federico_tena,Bukhara
Bukhara,gadm,Bukhara
Bulgaria,cshapes,Bulgaria
Bulgaria,faostat,Bulgaria
Bulgaria,federico_tena,Bulgaria (to 1913)
Bulgaria,m49,Bulgaria
Bulgaria (1913-1918),cshapes,Bulgaria (1913-1918)
Bulgaria (1918-1919),cshapes,Bulgaria (1918-1919)
Bulgaria (1919-1940),cshapes,Bulgaria (1919-1940)
Bulgaria (to 1913),cshapes,Bulgaria (to 1913)
Burkina Faso,faostat,Burkina Faso
Burkina Faso,m49,Burkina Faso
Burkina Faso,whep,Burkina Faso
Burkina Faso (Upper Volta),cshapes,Burkina Faso
Burma (Myammar),federico_tena,Myanmar
Burundi,cshapes,Burundi
Burundi,faostat,Burundi
Burundi,m49,Burundi
Cabo Verde,faostat,Cabo Verde
Cabo Verde,m49,Cabo Verde
Cambodia,faostat,Cambodia
Cambodia,m49,Cambodia
Cambodia,whep,Cambodia
Cambodia (Kampuchea),cshapes,Cambodia
Cambodia (Kampuchea) (1904-1907),cshapes,Cambodia (1904-1907)
Cambodia (Kampuchea) (to 1904),cshapes,Cambodia (to 1904)
Cameroon,cshapes,Cameroon
Cameroon,faostat,Cameroon
Cameroon,m49,Cameroon
Cameroon (1919-1961),cshapes,Cameroon (1919-1961)
Cameroon (1960-1961),gadm,Cameroon (1960-1961)
Cameroon (1960-1961),whep,Cameroon (1960-1961)
Cameroon (Kamerun),federico_tena,Cameroon (Kamerun)
Cameroon (Kamerun),gadm,Cameroon (Kamerun)
Canada,cshapes,Canada
Canada,faostat,Canada
Canada,federico_tena,Canada (to 1948)
Canada,m49,Canada
Canada (to 1948),cshapes,Canada (to 1948)
Canary Islands,federico_tena,Canary Islands
Canary Islands,gadm,Canary Islands
Canton and Enderbury Islands,m49,Canton and Enderbury Islands
Cape Colony (1895-1910),cshapes,Cape Colony (1895-1910)
Cape Colony (to 1895),cshapes,Cape Colony (to 1895)
Cape Verde,cshapes,Cabo Verde
CapoVerde,federico_tena,Cabo Verde
Caribbean,faostat,Caribbean
Caroline Island,federico_tena,Caroline Island
Caroline Island,gadm,Caroline Island
Caucasus and Central Asia,faostat,Caucasus and Central Asia
Cayman Islands,faostat,Cayman Islands
Cayman Islands,gadm,Cayman Islands
Cayman Islands,m49,Cayman Islands
Central African Republic,cshapes,Central African Republic
Central African Republic,faostat,Central African Republic
Central African Republic,m49,Central African Republic
Central African Republic,whep,Central African Republic
Central African Republic (1906-1912),cshapes,Central African Republic (1906-1912)
Central African Republic (1912-1919),cshapes,Central African Republic (1912-1919)
Central America,faostat,Central America
Central Asia,faostat,Central Asia
Central Asia,m49,Central Asia
Central Asia and Southern Asia,faostat,South-Central Asia
Ceuta Y Melilla,federico_tena,Ceuta Y Melilla
Ceuta Y Melilla,gadm,Ceuta Y Melilla
Ceylon (Sri Lanka),federico_tena,Sri Lanka
Chad,cshapes,Chad
Chad,faostat,Chad
Chad,m49,Chad
Chad,whep,Chad
Chad (1900-1912),cshapes,Chad (1900-1912)
Chad (1912-1919),cshapes,Chad (1912-1919)
Chagos Archipelago,faostat,British Indian Ocean Territory
Channel Islands,faostat,Channel Islands
Channel Islands,gadm,Channel Islands
Channel Islands,m49,Channel Islands
Chechnya,cshapes_europe,Chechnya
Chechnya,whep,Chechnya
Chile,cshapes,Chile
Chile,faostat,Chile
Chile,federico_tena,Chile (to 1899)
Chile,m49,Chile
Chile (1899-1902),cshapes,Chile (1899-1902)
Chile (to 1899),cshapes,Chile (to 1899)
China,cshapes,China
China,faostat,China
China,federico_tena,"China, mainland"
China,m49,"China, mainland"
China (1895-1912),cshapes,China (1895-1912)
China (1913-1914),cshapes,China (1913-1914)
China (1914-1921),cshapes,China (1914-1921)
China (1921-1945),cshapes,China (1921-1945)
China (1945-1947),cshapes,China (1945-1947)
China (1947-1949),cshapes,China (1947-1949)
China (1949-1950),cshapes,China (1949-1950)
China (to 1895),cshapes,China (to 1895)
"China, Hong Kong SAR",faostat,Hong Kong
"China, Macao SAR",faostat,Macao
"China, Taiwan Province of",faostat,Taiwan
"China, mainland",faostat,"China, mainland"
"China, mainland",gadm,"China, mainland"
Christmas Island,faostat,Christmas Island
Christmas Island,gadm,Christmas Island
Christmas Island,m49,Christmas Island
Circassia,cshapes_europe,Circassia
Circassia,whep,Circassia
Cocos (Keeling) Islands,faostat,Cocos (Keeling) Islands
Cocos (Keeling) Islands,m49,Cocos (Keeling) Islands
Colombia,cshapes,Colombia
Colombia,faostat,Colombia
Colombia,federico_tena,Colombia (to 1903)
Colombia,m49,Colombia
Colombia (1903-1922),cshapes,Colombia (1903-1922)
Colombia (to 1903),cshapes,Colombia (to 1903)
Comoros,cshapes,Comoros
Comoros,faostat,Comoros
Comoros,m49,Comoros
Comoros,whep,Comoros
Congo,cshapes,Congo
Congo,faostat,Congo
Congo,m49,Congo
Congo,whep,Congo
Congo (1898-1900),cshapes,Congo (1898-1900)
Congo (1900-1906),cshapes,Congo (1900-1906)
Congo (1906-1912),cshapes,Congo (1906-1912)
Congo (1912-1919),cshapes,Congo (1912-1919)
Congo (to 1898),cshapes,Congo (to 1898)
"Congo, Democratic Republic of (Zaire)",cshapes,Democratic Republic of the Congo
"Congo, Democratic Republic of (Zaire) (1891-1894)",cshapes,Democratic Republic of the Congo (1891-1894)
"Congo, Democratic Republic of (Zaire) (1894-1910)",cshapes,Democratic Republic of the Congo (1894-1910)
"Congo, Democratic Republic of (Zaire) (to 1891)",cshapes,Democratic Republic of the Congo (to 1891)
"Congo, Democratic Republic of the",m49,Democratic Republic of the Congo
Cook Island,federico_tena,Cook Islands
Cook Islands,faostat,Cook Islands
Cook Islands,gadm,Cook Islands
Cook Islands,m49,Cook Islands
Cook Islands,whep,Cook Islands
Costa Rica,cshapes,Costa Rica
Costa Rica,faostat,Costa Rica
Costa Rica,federico_tena,Costa Rica
Costa Rica,m49,Costa Rica
Cote D'Ivoire,cshapes,Côte d'Ivoire
Cote D'Ivoire (1889-1932),cshapes,Côte d'Ivoire (1889-1932)
Cote D'Ivoire (1932-1947),cshapes,Côte d'Ivoire (1932-1947)
Cracow (Free City),cshapes_europe,Cracow (Free City)
Cracow (Free City),whep,Cracow (Free City)
Crete,federico_tena,Crete
Crete,gadm,Crete
Croatia,cshapes,Croatia
Croatia,faostat,Croatia
Croatia,m49,Croatia
Cuba,cshapes,Cuba
Cuba,faostat,Cuba
Cuba,federico_tena,Cuba
Cuba,m49,Cuba
Curaçao,faostat,Curaçao
Curaçao,gadm,Curaçao
Curaçao,m49,Curaçao
Cyprus,cshapes,Cyprus
Cyprus,faostat,Cyprus
Cyprus,federico_tena,Cyprus
Cyprus,m49,Cyprus
Czech Republic,cshapes,Czechia
Czechia,faostat,Czechia
Czechia,m49,Czechia
Czechoslovakia,faostat,Czechoslovakia (1947-1993)
Czechoslovakia,federico_tena,Czechoslovakia (1918-1938)
Czechoslovakia,m49,Czechoslovakia (1947-1993)
Czechoslovakia (1918-1938),cshapes,Czechoslovakia (1918-1938)
Czechoslovakia (1938-1945),cshapes,Czechoslovakia (1938-1945)
Czechoslovakia (1945-1947),cshapes,Czechoslovakia (1945-1947)
Czechoslovakia (1947-1992),cshapes,Czechoslovakia (1947-1992)
Czechoslovakia (1947-1993),whep,Czechoslovakia (1947-1993)
Côte d'Ivoire,faostat,Côte d'Ivoire
Côte d'Ivoire,m49,Côte d'Ivoire
Côte d'Ivoire,whep,Côte d'Ivoire
Danish India,federico_tena,Danish India
Danish Virgin Islands,federico_tena,Danish Virgin Islands
Danish Virgin Islands,gadm,Danish Virgin Islands
Danzig (1919-1938),cshapes,Danzig (1919-1938)
Democratic People's Republic of Korea,faostat,North Korea
Democratic Republic of the Congo,faostat,Democratic Republic of the Congo
Democratic Republic of the Congo,whep,Democratic Republic of the Congo
Democratic Yemen,m49,South Yemen
Denmark,cshapes,Denmark
Denmark,faostat,Denmark
Denmark,federico_tena,Denmark (to 1920)
Denmark,m49,Denmark
Denmark (to 1920),cshapes,Denmark (to 1920)
Developed regions,m49,Developed regions
Developing regions,m49,Developing regions
Djibouti,cshapes,Djibouti
Djibouti,faostat,Djibouti
Djibouti,m49,Djibouti
Djibouti,whep,Djibouti
Dodecanese Is.,federico_tena,Dodecanese Is.
Dodecanese Is.,gadm,Dodecanese Is.
Dominica,faostat,Dominica
Dominica,gadm,Dominica
Dominica,m49,Dominica
Dominican Republic,cshapes,Dominican Republic
Dominican Republic,faostat,Dominican Republic
Dominican Republic,federico_tena,Dominican Republic
Dominican Republic,m49,Dominican Republic
Dronning Maud Land,m49,Dronning Maud Land
Duchy Modena,cshapes_europe,Duchy Modena
Duchy Modena,federico_tena,Duchy Modena
Duchy Parma,cshapes_europe,Duchy Parma
Duchy Parma,federico_tena,Duchy Parma
Dutch East Indies (Indonesia),federico_tena,Dutch East Indies (Indonesia)
Dutch Guayana,federico_tena,Dutch Guayana
Dutch Guayana,gadm,Dutch Guayana
Dutch West Indies (Netherland Antilles),federico_tena,Dutch West Indies (Netherland Antilles)
Dutch West Indies (Netherland Antilles),gadm,Dutch West Indies (Netherland Antilles)
Dutch new Guinea,federico_tena,Dutch new Guinea
Dutch new Guinea,gadm,Dutch new Guinea
East Aden Protectorate (1937-1962),cshapes,East Aden Protectorate (1937-1962)
East Berlin,gadm,East Berlin
East Germany,whep,East Germany
East Timor,cshapes,Timor-Leste
Eastern Africa,faostat,Eastern Africa
Eastern Asia,faostat,Eastern Asia
Eastern Asia (excluding Japan and China),faostat,Eastern Asia (excluding Japan and China)
Eastern Asia and South-eastern Asia,faostat,Eastern Asia and South-eastern Asia
Eastern Europe,faostat,Eastern Europe
Ecuador,cshapes,Ecuador
Ecuador,faostat,Ecuador
Ecuador,federico_tena,Ecuador (to 1942)
Ecuador,m49,Ecuador
Ecuador (to 1942),cshapes,Ecuador (to 1942)
Egypt,cshapes,Egypt
Egypt,faostat,Egypt
Egypt,federico_tena,Egypt (to 1922)
Egypt,m49,Egypt
Egypt (1899-1925),cshapes,Egypt (1899-1925)
Egypt (1922-1925),gadm,Egypt (1922-1925)
Egypt (1922-1925),whep,Egypt (1922-1925)
Egypt (1925-1967),cshapes,Egypt (1925-1967)
Egypt (1967-1979),cshapes,Egypt (1967-1979)
Egypt (to 1899),cshapes,Egypt (to 1899)
Egypt (to 1922),gadm,Egypt (to 1922)
Egypt (to 1922),whep,Egypt (to 1922)
El Salvador,cshapes,El Salvador
El Salvador,faostat,El Salvador
El Salvador,federico_tena,El Salvador
El Salvador,m49,El Salvador
Equatorial Guinea,cshapes,Equatorial Guinea
Equatorial Guinea,faostat,Equatorial Guinea
Equatorial Guinea,m49,Equatorial Guinea
Equatorial Guinea,whep,Equatorial Guinea
Eritrea,cshapes,Eritrea
Eritrea,faostat,Eritrea
Eritrea,federico_tena,Eritrea
Eritrea,m49,Eritrea
Eritrea (to 1889),cshapes,Eritrea (to 1889)
Estonia,cshapes,Estonia
Estonia,faostat,Estonia
Estonia,federico_tena,Estonia (1918-1940)
Estonia,m49,Estonia
Estonia (1918-1940),cshapes,Estonia (1918-1940)
Eswatini,faostat,Eswatini
Eswatini,m49,Eswatini
Ethiopia,cshapes,Ethiopia
Ethiopia,faostat,Ethiopia
Ethiopia,federico_tena,Ethiopia (old)
Ethiopia,m49,Ethiopia
Ethiopia (1889-1897),cshapes,Ethiopia (1889-1897)
Ethiopia (1897-1902),cshapes,Ethiopia (1897-1902)
Ethiopia (1902-1907),cshapes,Ethiopia (1902-1907)
Ethiopia (1907-1952),cshapes,Ethiopia (1907-1952)
Ethiopia (1952-1993),cshapes,Ethiopia (1952-1993)
Ethiopia (old),gadm,Ethiopia (old)
Ethiopia (old),m49,Ethiopia PDR
Ethiopia (to 1889),cshapes,Ethiopia (to 1889)
Ethiopia PDR,faostat,Ethiopia PDR
Europe,faostat,Europe
"Europe, Northern America, Australia and New Zealand",faostat,"Europe, Northern America, Australia and New Zealand"
European Union (27),faostat,European Union (27)
"FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1)",faostat,"FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1)"
"FAO Major Fishing Area: Atlantic, Northeast (14.4.1)",faostat,"FAO Major Fishing Area: Atlantic, Northeast (14.4.1)"
"FAO Major Fishing Area: Atlantic, Northwest (14.4.1)",faostat,"FAO Major Fishing Area: Atlantic, Northwest (14.4.1)"
"FAO Major Fishing Area: Atlantic, Southeast (14.4.1)",faostat,"FAO Major Fishing Area: Atlantic, Southeast (14.4.1)"
"FAO Major Fishing Area: Atlantic, Southwest (14.4.1)",faostat,"FAO Major Fishing Area: Atlantic, Southwest (14.4.1)"
"FAO Major Fishing Area: Atlantic, Western Central (14.4.1)",faostat,"FAO Major Fishing Area: Atlantic, Western Central (14.4.1)"
"FAO Major Fishing Area: Indian Ocean, Eastern (14.4.1)",faostat,"FAO Major Fishing Area: Indian Ocean, Eastern (14.4.1)"
"FAO Major Fishing Area: Indian Ocean, Western (14.4.1)",faostat,"FAO Major Fishing Area: Indian Ocean, Western (14.4.1)"
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1),faostat,FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1)
"FAO Major Fishing Area: Pacific, Eastern Central (14.4.1)",faostat,"FAO Major Fishing Area: Pacific, Eastern Central (14.4.1)"
"FAO Major Fishing Area: Pacific, Northeast (14.4.1)",faostat,"FAO Major Fishing Area: Pacific, Northeast (14.4.1)"
"FAO Major Fishing Area: Pacific, Northwest (14.4.1)",faostat,"FAO Major Fishing Area: Pacific, Northwest (14.4.1)"
"FAO Major Fishing Area: Pacific, Southeast (14.4.1)",faostat,"FAO Major Fishing Area: Pacific, Southeast (14.4.1)"
"FAO Major Fishing Area: Pacific, Southwest (14.4.1)",faostat,"FAO Major Fishing Area: Pacific, Southwest (14.4.1)"
"FAO Major Fishing Area: Pacific, Western Central (14.4.1)",faostat,"FAO Major Fishing Area: Pacific, Western Central (14.4.1)"
Falkland Islands,federico_tena,Falkland Islands
Falkland Islands (Malvinas),faostat,Falkland Islands
Falkland Islands (Malvinas),m49,Falkland Islands
Faroe Is,federico_tena,Faroe Islands
Faroe Islands,faostat,Faroe Islands
Faroe Islands,m49,Faroe Islands
Federal Republic of Germany,m49,West Germany
Federated Malay States,federico_tena,Federated Malay States
Federated Malay States,gadm,Federated Malay States
Federated Malay States (1896-1909),cshapes,Federated Malay States (1896-1909)
Federated Malay States (1909-1946),cshapes,Federated Malay States (1909-1946)
Federation of Rhodesia and Nyasaland (1953-1964),cshapes,Federation of Rhodesia and Nyasaland (1953-1964)
Federation of South Arabia (1962-1967),cshapes,Federation of South Arabia (1962-1967)
Fiji,cshapes,Fiji
Fiji,faostat,Fiji
Fiji,federico_tena,Fiji
Fiji,m49,Fiji
Finland,cshapes,Finland
Finland,faostat,Finland
Finland,federico_tena,Finland (1917-1940)
Finland,m49,Finland
Finland (1917-1940),cshapes,Finland (1917-1940)
Formosa (Taiwan),federico_tena,Taiwan
France,cshapes,France
France,faostat,France
France,federico_tena,France (to 1919)
France,m49,France
France (to 1919),cshapes,France (to 1919)
"France, Metropolitan",m49,"France, Metropolitan"
Frankfurt (Free City),cshapes_europe,Frankfurt (Free City)
Frankfurt (Free City),whep,Frankfurt (Free City)
French Equatorial Africa,federico_tena,French Equatorial Africa
French Guiana,faostat,French Guiana
French Guiana,federico_tena,French Guiana
French Guiana,m49,French Guiana
French Guyana,cshapes,French Guiana
French Guyana (1930-1946),cshapes,French Guiana (1930-1946)
French Guyana (to 1930),cshapes,French Guiana (to 1930)
French India,federico_tena,French India
French Indochina,federico_tena,French Indochina
French Polynesia,cshapes,French Polynesia
French Polynesia,faostat,French Polynesia
French Polynesia,m49,French Polynesia
French Polynesia,whep,French Polynesia
French Settlements in Oceania,federico_tena,French Settlements in Oceania
French Somalia,gadm,French Somalia
French Somalia,whep,French Somalia
French Somaliland,federico_tena,French Somaliland
French Southern Territories,faostat,French Southern Territories
French Southern Territories,gadm,French Southern Territories
French Southern and Antarctic Territories,m49,French Southern Territories
French West Africa,federico_tena,French West Africa
French West Africa (1895-1898),cshapes,French West Africa (1895-1898)
French West Africa (1898-1902),cshapes,French West Africa (1898-1902)
French West Africa (1902-1904),cshapes,French West Africa (1902-1904)
Fujairah,federico_tena,Fujairah
Fujairah,gadm,Fujairah
Gabon,cshapes,Gabon
Gabon,faostat,Gabon
Gabon,m49,Gabon
Gabon,whep,Gabon
Gabon (1912-1919),cshapes,Gabon (1912-1919)
Gabon (to 1912),cshapes,Gabon (to 1912)
Gambia,cshapes,Gambia
Gambia,faostat,Gambia
Gambia,federico_tena,Gambia
Gambia,m49,Gambia
Gambier Island,federico_tena,Gambier Island
Gambier Island,gadm,Gambier Island
Gaza (1948-1967),cshapes,Gaza Strip (1948-1967)
Gaza Strip,gadm,Gaza Strip
Gaza Strip,m49,Gaza Strip
Georgia,cshapes,Georgia
Georgia,faostat,Georgia
Georgia,m49,Georgia
German Democratic Republic,m49,East Germany
German Democratic Republic (1945-1990),cshapes,East Germany
"German Democratic Republic, Berlin",m49,East Berlin
German East Africa (Tanganyika),federico_tena,German East Africa (Tanganyika)
German East Africa (Tanganyika),gadm,German East Africa (Tanganyika)
German Federal Republic,cshapes,Germany
German Federal Republic (1945-1990),cshapes,West Germany
German Solomon Islands (to 1899),cshapes,German Solomon Islands (to 1899)
German South West Africa,federico_tena,Namibia
German Togoland (1887-1888),cshapes,German Togoland (1887-1888)
German Togoland (1888-1896),cshapes,German Togoland (1888-1896)
German Togoland (1897-1919),cshapes,German Togoland (1897-1919)
German Togoland (1919-1922),cshapes,German Togoland (1919-1922)
German West Africa,federico_tena,German West Africa
German West Africa,gadm,German West Africa
German colonies Oceania,federico_tena,German colonies Oceania
Germany,faostat,Germany
Germany,m49,Germany
Germany (Prussia) (1919-1920),cshapes,Germany (1919-1920)
Germany (Prussia) (1920-1938),cshapes,Germany (1920-1938)
Germany (Prussia) (1938-1945),cshapes,Germany (1938-1945)
Germany (Prussia) (to 1919),cshapes,Germany (to 1919)
Germany Fr,faostat,West Germany
Germany Nl,faostat,East Germany
"Germany, West Berlin",m49,West Berlin
Germany/Zollverein,federico_tena,Germany/Zollverein
Germany/Zollverein,gadm,Germany/Zollverein
Ghana,cshapes,Ghana
Ghana,faostat,Ghana
Ghana,m49,Ghana
Ghana,whep,Ghana
Ghana (1888-1898),cshapes,Ghana (1888-1898)
Ghana (1898-1956),cshapes,Ghana (1898-1956)
Ghana (to 1888),cshapes,Ghana (to 1888)
Gibraltar,faostat,Gibraltar
Gibraltar,federico_tena,Gibraltar
Gibraltar,gadm,Gibraltar
Gibraltar,m49,Gibraltar
Gilbert and Ellice Island,federico_tena,Gilbert and Ellice Island
Gilbert and Ellice Island,gadm,Gilbert and Ellice Island
Gold Coast,federico_tena,Gold Coast
Gold Coast,gadm,Gold Coast
Greece,cshapes,Greece
Greece,faostat,Greece
Greece,m49,Greece
Greece (1913-1919),cshapes,Greece (1913-1919)
Greece (to 1913),cshapes,Greece (to 1913)
Greenland,faostat,Greenland
Greenland,gadm,Greenland
Greenland,m49,Greenland
Grenada,faostat,Grenada
Grenada,federico_tena,Grenada
Grenada,gadm,Grenada
Grenada,m49,Grenada
Guadeloupe,cshapes,Guadeloupe
Guadeloupe,faostat,Guadeloupe
Guadeloupe,federico_tena,Guadeloupe
Guadeloupe,m49,Guadeloupe
Guam,faostat,Guam
