polity_name,polity_code,prefix,start_year,end_year,duration_years,verification_status,notes
Eastern Asia (excluding Japan and China),F5829-1800-2025,F5829,1800,2025,225,REGION,
Eastern Asia and South-eastern Asia,F5307-1800-2025,F5307,1800,2025,225,REGION,
Eastern Europe,F5401-1800-2025,F5401,1800,2025,225,REGION,
Ecuador (to 1942),ECU-1800-1942,ECU,1800,1942,142,VERIFIED,
Egypt (to 1922),EGY-1800-1922,EGY,1800,1922,122,VERIFIED,
Ethiopia (old),ETH-1800-2025,ETH,1800,2025,225,VERIFIED,
Ethiopia (to 1889),ETH-1800-1889,ETH,1800,1889,89,VERIFIED,
Ethiopia PDR,F62-1800-1993,F62,1800,1993,193,REGION,
Europe,F5400-1800-2025,F5400,1800,2025,225,REGION,
"Europe, Northern America, Australia and New Zealand",EUR-1800-2025,EUR,1800,2025,225,VERIFIED,
European Union (27),F5707-1800-2025,F5707,1800,2025,225,REGION,
"FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1)",F99029-1800-2025,F99029,1800,2025,225,REGION,
"FAO Major Fishing Area: Atlantic, Northeast (14.4.1)",F99024-1800-2025,F99024,1800,2025,225,REGION,
"FAO Major Fishing Area: Atlantic, Northwest (14.4.1)",F99023-1800-2025,F99023,1800,2025,225,REGION,
"FAO Major Fishing Area: Atlantic, Southeast (14.4.1)",F99026-1800-2025,F99026,1800,2025,225,REGION,
"FAO Major Fishing Area: Atlantic, Southwest (14.4.1)",F99030-1800-2025,F99030,1800,2025,225,REGION,
"FAO Major Fishing Area: Atlantic, Western Central (14.4.1)",F99028-1800-2025,F99028,1800,2025,225,REGION,
"FAO Major Fishing Area: Indian Ocean, Eastern (14.4.1)",F99025-1800-2025,F99025,1800,2025,225,REGION,
"FAO Major Fishing Area: Indian Ocean, Western (14.4.1)",F99027-1800-2025,F99027,1800,2025,225,REGION,
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1),F99032-1800-2025,F99032,1800,2025,225,REGION,
"FAO Major Fishing Area: Pacific, Eastern Central (14.4.1)",F99018-1800-2025,F99018,1800,2025,225,REGION,
"FAO Major Fishing Area: Pacific, Northeast (14.4.1)",F99019-1800-2025,F99019,1800,2025,225,REGION,
"FAO Major Fishing Area: Pacific, Northwest (14.4.1)",F99020-1800-2025,F99020,1800,2025,225,REGION,
"FAO Major Fishing Area: Pacific, Southeast (14.4.1)",F99031-1800-2025,F99031,1800,2025,225,REGION,
"FAO Major Fishing Area: Pacific, Southwest (14.4.1)",F99022-1800-2025,F99022,1800,2025,225,REGION,
"FAO Major Fishing Area: Pacific, Western Central (14.4.1)",F99021-1800-2025,F99021,1800,2025,225,REGION,
Faroe Islands,FRO-1800-2025,FRO,1800,2025,225,REGION,
France (to 1919),FRA-1800-1919,FRA,1800,1919,119,REGION,
"France, Metropolitan",FRA-1800-1982,FRA,1800,1982,182,REGION,
French Guiana,GUF-1800-2025,GUF,1800,2025,225,VERIFIED,
French India,FRI-1800-2025,FRI,1800,2025,225,REGION,
French Polynesia,PYF-1800-2025,PYF,1800,2025,225,VERIFIED,
French Southern Territories,ATF-1800-2025,ATF,1800,2025,225,VERIFIED,
Gambia,GMB-1800-2025,GMB,1800,2025,225,VERIFIED,
Gaza Strip,GAZ-1800-1982,GAZ,1800,1982,182,VERIFIED,
Germany (to 1919),DEU-1800-1919,DEU,1800,1919,119,VERIFIED,
Germany/Zollverein,GER-1800-2025,GER,1800,2025,225,VERIFIED,
Gibraltar,GIB-1800-2025,GIB,1800,2025,225,VERIFIED,
Greece (to 1913),GRC-1800-1913,GRC,1800,1913,113,VERIFIED,
Greenland,GRL-1800-2025,GRL,1800,2025,225,VERIFIED,
Grenada,GRD-1800-1833,GRD,1800,1833,33,VERIFIED,
Guadeloupe,GLP-1800-2025,GLP,1800,2025,225,VERIFIED,
Guam,GUM-1800-2025,GUM,1800,2025,225,VERIFIED,
Guyana,GUY-1800-2025,GUY,1800,2025,225,VERIFIED,
Haiti,HTI-1800-2025,HTI,1800,2025,225,VERIFIED,
Heard Island and McDonald Islands,HMD-1800-2025,HMD,1800,2025,225,VERIFIED,
Herat,HER-1800-1862,HER,1800,1862,62,VERIFIED,
High-income economies,F9010-1800-2025,F9010,1800,2025,225,REGION,
Holy See,VAT-1800-2025,VAT,1800,2025,225,VERIFIED,
Honduras,HND-1800-2025,HND,1800,2025,225,VERIFIED,
Iceland,ISL-1800-2025,ISL,1800,2025,225,VERIFIED,
India (to 1947),IND-1800-1947,IND,1800,1947,147,VERIFIED,
International Centres (FAO) (2.5.1.a),F5823-1800-2025,F5823,1800,2025,225,REGION,
Iran,IRN-1800-2025,IRN,1800,2025,225,VERIFIED,
Isle of Man,IMN-1800-2025,IMN,1800,2025,225,VERIFIED,
Jamaica,JAM-1800-2025,JAM,1800,2025,225,VERIFIED,
Japan,JPN-1800-2025,JPN,1800,2025,225,VERIFIED,
Johnston Island,JTN-1800-1982,JTN,1800,1982,182,VERIFIED,
Khiva,KHI-1800-1873,KHI,1800,1873,73,VERIFIED,
Kiribati,KIR-1800-2025,KIR,1800,2025,225,VERIFIED,
Kokand,KOK-1800-1876,KOK,1800,1876,76,FIXED: end 1883->1876,
Korea (to 1910),OKO-1800-1910,OKO,1800,1910,110,VERIFIED,
Kuwait,KWT-1800-2025,KWT,1800,2025,225,VERIFIED,
Land Locked Developing Countries (LLDCs),F5802-1800-2025,F5802,1800,2025,225,REGION,
Latin America,F348-1800-2025,F348,1800,2025,225,REGION,
Latin America and the Caribbean,F5205-1800-2025,F5205,1800,2025,225,REGION,
Least Developed Countries (LDCs),F5801-1800-2025,F5801,1800,2025,225,REGION,
"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)",LEE-1800-2025,LEE,1800,2025,225,VERIFIED,
Liechtenstein,LIE-1800-2025,LIE,1800,2025,225,VERIFIED,
Low Income Food Deficit Countries (LIFDCs),F5815-1800-2025,F5815,1800,2025,225,REGION,
Low-income economies,F5858-1800-2025,F5858,1800,2025,225,REGION,
Lower Quebec,LOW-1800-1866,LOW,1800,1866,66,VERIFIED,
Lower-middle-income economies,F5859-1800-2025,F5859,1800,2025,225,REGION,
Luxembourg (old),LUO-1800-2025,LUO,1800,2025,225,VERIFIED,
Macao,MAC-1800-2025,MAC,1800,2025,225,VERIFIED,
Maldives,MDV-1800-2025,MDV,1800,2025,225,VERIFIED,
Malta,MLT-1800-2025,MLT,1800,2025,225,VERIFIED,
Mariana Island,MRI-1800-2025,MRI,1800,2025,225,VERIFIED,
Martinique,MTQ-1800-2025,MTQ,1800,2025,225,VERIFIED,
Mauritius,MUS-1800-2025,MUS,1800,2025,225,VERIFIED,
Melanesia,F5502-1800-2025,F5502,1800,2025,225,REGION,
Mexico,MEX-1800-2025,MEX,1800,2025,225,VERIFIED,
Micronesia (Oceania region),F5503-1800-2025,F5503,1800,2025,225,REGION,
Middle Africa,F5102-1800-2025,F5102,1800,2025,225,REGION,
Monaco,MCO-1800-2025,MCO,1800,2025,225,VERIFIED,
Montserrat,MSR-1800-2025,MSR,1800,2025,225,VERIFIED,
Myanmar,MMR-1800-2025,MMR,1800,2025,225,VERIFIED,
Nepal,NPL-1800-2025,NPL,1800,2025,225,VERIFIED,
Net Food Importing Developing Countries (NFIDCs),F5817-1800-2025,F5817,1800,2025,225,REGION,
Netherlands,NLD-1800-2025,NLD,1800,2025,225,VERIFIED,
Netherlands (old),NET-1800-2025,NET,1800,2025,225,VERIFIED,
Netherlands Antilles (original),NET-1800-1986,NET,1800,1986,186,VERIFIED,
Neutral Zone,NEU-1800-1982,NEU,1800,1982,182,VERIFIED,
New Brunswick,NBW-1800-1866,NBW,1800,1866,66,VERIFIED,
Nicaragua,NIC-1800-2025,NIC,1800,2025,225,VERIFIED,
Non-Annex I countries,F5849-1800-2025,F5849,1800,2025,225,REGION,
Norfolk Island,NFK-1800-1901,NFK,1800,1901,101,VERIFIED,
North and Central America,F336-1800-2025,F336,1800,2025,225,REGION,
Northern Africa,F5103-1800-2025,F5103,1800,2025,225,REGION,
Northern Africa (excluding Sudan),F429-1800-2025,F429,1800,2025,225,REGION,
Northern America,F5203-1800-2025,F5203,1800,2025,225,REGION,
Northern America and Europe,F5208-1800-2025,F5208,1800,2025,225,REGION,
Northern Europe,F5402-1800-2025,F5402,1800,2025,225,REGION,
Norway,NOR-1800-2025,NOR,1800,2025,225,VERIFIED,
Nova Scotia  Cape Breton Isl.,NOV-1800-1866,NOV,1800,1866,66,VERIFIED,
OECD,F5873-1800-2025,F5873,1800,2025,225,REGION,
Oceania,F5500-1800-2025,F5500,1800,2025,225,REGION,
Oceania excluding Australia and New Zealand,F5807-1800-2025,F5807,1800,2025,225,REGION,
Oman,OMN-1800-2025,OMN,1800,2025,225,VERIFIED,
Ontario,ONT-1800-1866,ONT,1800,1866,66,VERIFIED,
Pacific Islands Trust Territory,F164-1800-1990,F164,1800,1990,190,REGION,
Panama (before Canal Zone),PAN-1800-1979,PAN,1800,1979,179,VERIFIED,
Papal States,PAP-1800-1870,PAP,1800,1870,70,VERIFIED,
Philippines,PHL-1800-2025,PHL,1800,2025,225,VERIFIED,
Polynesia,F5504-1800-2025,F5504,1800,2025,225,REGION,
Portugal,PRT-1800-2025,PRT,1800,2025,225,VERIFIED,
Portuguese India,POR-1800-2025,POR,1800,2025,225,VERIFIED,
Prince Edward Island,PRI-1800-1866,PRI,1800,1866,66,VERIFIED,
Puerto Rico,PRI-1800-2025,PRI,1800,2025,225,VERIFIED,
Qatar,QAT-1800-2025,QAT,1800,2025,225,VERIFIED,
Regional Centres (FAO) (2.5.1.a),F5822-1800-2025,F5822,1800,2025,225,REGION,
Ryukyu Islands,RYU-1800-1982,RYU,1800,1982,182,VERIFIED,
"Saint Helena, Ascension and Tristan da Cunha",SHN-1800-2025,SHN,1800,2025,225,VERIFIED,
Saint Kitts and Nevis,KNA-1800-2025,KNA,1800,2025,225,VERIFIED,
Saint Kitts-Nevis-Anguilla,SAI-1800-1982,SAI,1800,1982,182,VERIFIED,
Saint Lucia,LCA-1800-2025,LCA,1800,2025,225,VERIFIED,
Saint Pierre and Miquelon,SPM-1800-2025,SPM,1800,2025,225,VERIFIED,
Saint Vincent and the Grenadines,VCT-1800-2025,VCT,1800,2025,225,VERIFIED,
San Marino,SMR-1800-2025,SMR,1800,2025,225,VERIFIED,
Sao Tome and Principe,STP-1800-2025,STP,1800,2025,225,VERIFIED,
Sardinia,SAR-1800-1860,SAR,1800,1860,60,VERIFIED,
Sharjah,SHA-1800-2025,SHA,1800,2025,225,VERIFIED,
Sierra Leone,SLE-1800-2025,SLE,1800,2025,225,VERIFIED,
Sikkim,SIK-1800-2025,SIK,1800,2025,225,VERIFIED,
Small Island Developing States (SIDS),F5803-1800-2025,F5803,1800,2025,225,REGION,
South America,F5207-1800-2025,F5207,1800,2025,225,REGION,
South Georgia and the South Sandwich Islands,SGS-1800-2025,SGS,1800,2025,225,VERIFIED,
South-Central Asia,F5306-1800-2005,F5306,1800,2005,205,REGION,
South-eastern Asia,F5304-1800-2025,F5304,1800,2025,225,REGION,
Southern Africa,F5104-1800-2025,F5104,1800,2025,225,REGION,
Southern Asia (excluding India),F5855-1800-2025,F5855,1800,2025,225,REGION,
Southern Europe,F5403-1800-2025,F5403,1800,2025,225,REGION,
Spain,ESP-1800-2025,ESP,1800,2025,225,VERIFIED,
Spanish North Africa,SPA-1800-1982,SPA,1800,1982,182,VERIFIED,
Sri Lanka,LKA-1800-2025,LKA,1800,2025,225,VERIFIED,
St. Helena,ST.-1800-2025,ST.,1800,2025,225,VERIFIED,
St. Lucía,ST.-1800-1838,ST.,1800,1838,38,VERIFIED,
St. Vincent,ST.-1800-1833,ST.,1800,1833,33,VERIFIED,
Sub-Saharan Africa (including Sudan),F5810-1800-2025,F5810,1800,2025,225,REGION,
Sudan (old),F206-1800-2011,F206,1800,2011,211,REGION,
Svalbard and Jan Mayen,SJM-1800-2025,SJM,1800,2025,225,VERIFIED,
Sweden,SWE-1800-2025,SWE,1800,2025,225,VERIFIED,
Sweden (to 1905),SWE-1800-1905,SWE,1800,1905,105,VERIFIED,
Switzerland,CHE-1800-2025,CHE,1800,2025,225,VERIFIED,
Thailand (to 1893),THA-1800-1893,THA,1800,1893,93,VERIFIED,
Tibet (old),TIB-1800-2025,TIB,1800,2025,225,VERIFIED,
Timor-Leste,TLS-1800-2025,TLS,1800,2025,225,VERIFIED,
Tonga,TON-1800-2025,TON,1800,2025,225,VERIFIED,
Trinidad and Tobago,TTO-1800-2025,TTO,1800,2025,225,VERIFIED,
Turks and Caicos Islands,TCA-1800-2025,TCA,1800,2025,225,VERIFIED,
Tuscany,TUS-1800-1860,TUS,1800,1860,60,VERIFIED,
Tuvalu,TUV-1800-2025,TUV,1800,2025,225,VERIFIED,
Two Sicilies,TWO-1800-1860,TWO,1800,1860,60,"FIXED: merged duplicate ""Kingdom Two sicilies""",
Türkiye (to 1912),TUR-1800-1912,TUR,1800,1912,112,VERIFIED,
USSR (to 1905),F228-1800-1905,F228,1800,1905,105,REGION,
United Kingdom (to 1921),GBR-1800-1921,GBR,1800,1921,121,VERIFIED,
United States Minor Outlying Islands,UMI-1800-2025,UMI,1800,2025,225,VERIFIED,
United States Virgin Islands,VIR-1800-2025,VIR,1800,2025,225,VERIFIED,
United States miscellaneous Pacific Islands,UNI-1800-1982,UNI,1800,1982,182,VERIFIED,
United States of America (to 1959),USA-1800-1959,USA,1800,1959,159,VERIFIED,
Upper-middle-income economies,F9011-1800-2025,F9011,1800,2025,225,REGION,
Vanuatu,VUT-1800-2025,VUT,1800,2025,225,VERIFIED,
Vietnam (to 1893),VNM-1800-1893,VNM,1800,1893,93,VERIFIED,
West Berlin,GWB-1800-1982,GWB,1800,1982,182,VERIFIED,
Western Africa,F5105-1800-2025,F5105,1800,2025,225,REGION,
Western Asia,F5305-1800-2025,F5305,1800,2025,225,REGION,
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",F5828-1800-2025,F5828,1800,2025,225,REGION,
Western Asia and Northern Africa,F5308-1800-2025,F5308,1800,2025,225,REGION,
Western Europe,F5404-1800-2025,F5404,1800,2025,225,REGION,
Western Sahara,ESH-1800-2025,ESH,1800,2025,225,VERIFIED,
World,X01-1800-2025,X01,1800,2025,225,REGION,
Zanzibar,ZAN-1800-1964,ZAN,1800,1964,164,VERIFIED,
Chile (to 1899),CHL-1810-1899,CHL,1810,1899,89,VERIFIED,
Paraguay (to 1938),PRY-1811-1938,PRY,1811,1938,127,VERIFIED,
Ionian islands,ION-1815-1864,ION,1815,1864,49,FIXED: end 1862->1864,
Angola,AGO-1816-2025,AGO,1816,2025,209,VERIFIED,
Brunei (greater),BRN-1816-1888,BRN,1816,1888,72,VERIFIED,
Mozambique,MOZ-1816-2025,MOZ,1816,2025,209,VERIFIED,
Newfoundland,NFL-1816-2025,NFL,1816,2025,209,VERIFIED,
Réunion,REU-1816-2025,REU,1816,2025,209,VERIFIED,
Serbia (1816-1913),SER-1816-1913,SER,1816,1913,97,VERIFIED,
St Martin and St Barthélemy,STM-1816-1878,STM,1816,1878,62,VERIFIED,
El Salvador,SLV-1821-2025,SLV,1821,2025,204,VERIFIED,
Guatemala,GTM-1821-2025,GTM,1821,2025,204,VERIFIED,
Venezuela,VEN-1821-2025,VEN,1821,2025,204,VERIFIED,
Bolivia (to 1903),BOL-1825-1903,BOL,1825,1903,78,VERIFIED,
Peru (to 1909),PER-1825-1909,PER,1825,1909,84,VERIFIED,
Straits Settlement,STR-1826-1922,STR,1826,1922,96,VERIFIED,
South Africa,ZAF-1828-2025,ZAF,1828,2025,197,VERIFIED,
Uruguay,URY-1828-2025,URY,1828,2025,197,VERIFIED,
Van Diemen's Land (Tasmania),VAN-1828-1900,VAN,1828,1900,72,VERIFIED,
Algeria,DZA-1831-2025,DZA,1831,2025,194,VERIFIED,
Belgium,BEL-1831-2025,BEL,1831,2025,194,VERIFIED,
Falkland Islands,FLK-1833-2025,FLK,1833,2025,192,REGION,
South Australia,SOU-1838-1900,SOU,1838,1900,62,VERIFIED,
Western Australia,WES-1838-1900,WES,1838,1900,62,VERIFIED,
Aden,ADE-1839-1967,ADE,1839,1967,128,VERIFIED,
British settlement Oceania,BOC-1839-2025,BOC,1839,2025,186,VERIFIED,
Pitcairn,PCN-1839-2025,PCN,1839,2025,186,VERIFIED,
Hong Kong,HKG-1841-2025,HKG,1841,2025,184,VERIFIED,
Sarawak,SAR-1841-2025,SAR,1841,2025,184,VERIFIED,
Wallis and Futuna,WLF-1842-2025,WLF,1842,2025,183,VERIFIED,
Gold Coast,GOL-1843-2025,GOL,1843,2025,182,VERIFIED,
Mayotte and Noissi-be,MYT-1843-1914,MYT,1843,1914,71,VERIFIED,
French Settlements in Oceania,FSO-1844-2025,FSO,1844,2025,181,REGION,
Marquesas Island,MRQ-1844-1903,MRQ,1844,1903,59,VERIFIED,
Society Islands  (Tahiti),SOC-1844-1903,SOC,1844,1903,59,VERIFIED,
Bonin island,BON-1846-1873,BON,1846,1873,27,VERIFIED,
Liberia,LBR-1847-2025,LBR,1847,2025,178,VERIFIED,
Orange Free State (to 1910),ORA-1848-1910,ORA,1848,1910,62,"FIXED: merged duplicate, code ORA-1800-1910->ORA-1848-1910",
Vancouver's Island,VAN-1849-1866,VAN,1849,1866,17,VERIFIED,
New Caledonia,NCL-1853-2025,NCL,1853,2025,172,VERIFIED,
Victoria,VIC-1853-1900,VIC,1853,1900,47,VERIFIED,
Transvaal (to 1910),TRA-1856-1910,TRA,1856,1910,54,VERIFIED,
Yunnan,YUN-1856-1871,YUN,1856,1871,15,VERIFIED,
British Columbia,BCO-1858-1866,BCO,1858,1866,8,VERIFIED,
Spanish Guinea,SPA-1858-2025,SPA,1858,2025,167,VERIFIED,
Midway Islands,MID-1859-1982,MID,1859,1982,123,VERIFIED,
Queensland,QUE-1859-1900,QUE,1859,1900,41,VERIFIED,
Romania (to 1913),ROU-1859-1913,ROU,1859,1913,54,VERIFIED,
US settlement Oceania,USS-1859-2025,USS,1859,2025,166,VERIFIED,
Italy (to 1919),ITA-1861-1919,ITA,1861,1919,58,VERIFIED,
Nigeria (old),NGA-1861-2025,NGA,1861,2025,164,VERIFIED,
Canada (to 1948),CAN-1866-1948,CAN,1866,1948,82,VERIFIED,
Fiji,FJI-1874-2025,FJI,1874,2025,151,REGION,
Marshall Islands,MHL-1874-2025,MHL,1874,2025,151,VERIFIED,
Tokelau,TKL-1877-2025,TKL,1877,2025,148,VERIFIED,
Bulgaria (to 1913),BGR-1878-1913,BGR,1878,1913,35,VERIFIED,
Montenegro (to 1913),MNE-1878-1913,MNE,1878,1913,35,VERIFIED,
Cyprus,CYP-1879-2025,CYP,1879,2025,146,VERIFIED,
Guinea-Bissau,GNB-1879-2025,GNB,1879,2025,146,VERIFIED,
Gambier Island,GAM-1881-1903,GAM,1881,1903,22,VERIFIED,
Tunisia,TUN-1881-2025,TUN,1881,2025,144,VERIFIED,
Eritrea,ERI-1882-2025,ERI,1882,2025,143,VERIFIED,
Madagascar,MDG-1882-2025,MDG,1882,2025,143,VERIFIED,
Sudan (Anglo-Egyptian),SUD-1882-2025,SUD,1882,2025,143,VERIFIED,
Basutoland,BAS-1884-2025,BAS,1884,2025,141,VERIFIED,
British New Guinea,BNG-1884-2025,BNG,1884,2025,141,VERIFIED,
British Protectorate (British Somaliland),BSO-1884-2025,BSO,1884,2025,141,VERIFIED,
Cameroon (Kamerun),CMR-1884-2025,CMR,1884,2025,141,VERIFIED,
German East Africa (Tanganyika),GEA-1884-2025,GEA,1884,2025,141,VERIFIED,
German West Africa,GWA-1884-1914,GWA,1884,1914,30,VERIFIED,
German colonies Oceania,GER-1884-2025,GER,1884,2025,141,VERIFIED,
Namibia,NAM-1884-2025,NAM,1884,2025,141,VERIFIED,
New Guinea,NGN-1884-2025,NGN,1884,2025,141,VERIFIED,
Bechuanaland Protectorate,BEC-1885-2025,BEC,1885,2025,140,VERIFIED,
Belgian Congo,BEL-1885-2025,BEL,1885,2025,140,VERIFIED,
British Bechuanaland,BBE-1885-1895,BBE,1885,1895,10,VERIFIED,
Caroline Island,CAR-1885-2025,CAR,1885,2025,140,VERIFIED,
Solomon Islands,SLB-1885-2025,SLB,1885,2025,140,VERIFIED,
Fujairah,FUJ-1886-2025,FUJ,1886,2025,139,REGION,
French Indochina,FID-1887-2025,FID,1887,2025,138,REGION,
French Somaliland,FSM-1887-2025,FSM,1887,2025,138,REGION,
Brunei Darussalam,BRN-1888-2025,BRN,1888,2025,137,VERIFIED,
Nauru,NRU-1888-2025,NRU,1888,2025,137,VERIFIED,
Sabah (British Borneo),SAB-1888-2025,SAB,1888,2025,137,VERIFIED,
Ethiopia (1889-1897),ETH-1889-1897,ETH,1889,1897,8,VERIFIED,
Palmyra Island,PAL-1889-1912,PAL,1889,1912,23,VERIFIED,
Zimbabwe,ZWE-1890-2025,ZWE,1890,2025,135,VERIFIED,
Nyasaland Protectorate (Malawi),NYA-1891-2025,NYA,1891,2025,134,VERIFIED,
Gilbert and Ellice Island,GIL-1892-2025,GIL,1892,2025,133,VERIFIED,
Umm al Qawain,UMM-1892-2025,UMM,1892,2025,133,VERIFIED,
Cook Islands,COK-1893-2025,COK,1893,2025,132,VERIFIED,
Thailand (1893-1904),THA-1893-1904,THA,1893,1904,11,VERIFIED,
Eswatini,SWZ-1894-2025,SWZ,1894,2025,131,VERIFIED,
British East Africa,BEA-1895-2025,BEA,1895,2025,130,VERIFIED,
China (1895-1912),CHN-1895-1912,CHN,1895,1912,17,VERIFIED,
Federated Malay States,FED-1895-1922,FED,1895,1922,27,REGION,
French West Africa,FWA-1895-2025,FWA,1895,2025,130,REGION,
Taiwan,TWN-1896-2025,TWN,1896,2025,129,VERIFIED,
Ethiopia (1897-1902),ETH-1897-1902,ETH,1897,1902,5,VERIFIED,
Crete,CRE-1898-1913,CRE,1898,1913,15,VERIFIED,
Dutch new Guinea,DUT-1898-2025,DUT,1898,2025,127,VERIFIED,
Kiautchou,KIA-1898-1922,KIA,1898,1922,24,VERIFIED,
Kwang-Chou-Wan,KCW-1898-2025,KCW,1898,2025,127,VERIFIED,
Kwantung (Port Arthur),KWA-1898-2025,KWA,1898,2025,127,VERIFIED,
Wake Island,WAK-1898-1982,WAK,1898,1982,84,VERIFIED,
Argentina (1899-1902),ARG-1899-1902,ARG,1899,1902,3,VERIFIED,
Chile (1899-1902),CHL-1899-1902,CHL,1899,1902,3,VERIFIED,
American Samoa,ASM-1900-2025,ASM,1900,2025,125,VERIFIED,
Niue,NIU-1900-2025,NIU,1900,2025,125,VERIFIED,
Samoa,WSM-1900-2025,WSM,1900,2025,125,VERIFIED,
Australia,AUS-1901-2025,AUS,1901,2025,124,VERIFIED,
Argentina,ARG-1902-2025,ARG,1902,2025,123,VERIFIED,
Chile,CHL-1902-2025,CHL,1902,2025,123,VERIFIED,
Ethiopia (1902-1907),ETH-1902-1907,ETH,1902,1907,5,VERIFIED,
Bolivia (1903-1909),BOL-1903-1909,BOL,1903,1909,6,VERIFIED,
Brazil (1903-1909),BRA-1903-1909,BRA,1903,1909,6,VERIFIED,
Colombia (1903-1922),COL-1903-1922,COL,1903,1922,19,VERIFIED,
Panama,PAN-1903-2025,PAN,1903,2025,122,VERIFIED,
