unit_id,country,admin_name,verdict,matched_polity_code,proposed_json,confidence,reasoning,evidence_used,concerns,cycle,model,effort,decided_at,polygon_route,polygon_source_slug,polygon_feature_id,polygon_detail,polygon_confidence,polygon_reasoning,page_written,page_polity_code,repair_status,repair_attempts,repair_rank,repair_remaining,repair_gates_red,coverage_json,coverage_ok
ESP-ES114,Spain,ES114,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Pontevedra (province of Spain)"", ""span_basis"": ""Pontevedra is one of the original provinces created by the 1833 Javier de Burgos reform, not one of the 1927 Canary Islands split departures, so it follows the country default span 1833-2025 (still current)."", ""start_year"": 1833}",high,"Pontevedra (ESP-ES114) is a real Spanish province with no existing polity representing it — the three ESP candidates are A Coruña, Madrid, and national Spain, none of which IS Pontevedra. It is not a departure from the default (not a Canary Islands split), so it takes the default 1833-2025 span per the country convention, matching sibling verdicts for other Spanish NUTS3 provinces in this batch (ES112, ES113, ES120, etc., all create_new).",COUNTRY CONVENTION start rule (DEFAULT) | container chain ESP-1800-2025 | POLITIES SHARING iso3 ESP | sibling verdicts ESP-ES112/ES113/ES120/... -> create_new,,1,sonnet,low,2026-09-04T10:43:48Z,registered_source_feature,mapspain-ign,,"{""vintage_risk"": ""Low: mapspain-ign is a present-day IGN province boundary standing in for an entity spanning 1833-2025; province boundaries have been stable since the 1833 reform so this is a reasonable proxy, consistent with how A Coru\u00f1a and Madrid were already handled.""}",medium,"Pontevedra is one of Spain's 1833 provinces, the same class of unit as the two provinces this repo already routes through mapspain-ign (A Coruña -> ESP-CO-1833-2025, Madrid -> ESP-MD-1833-2025), keyed by id_column `cpro`. Pontevedra's INE province code (36) should be present in the same provinces.gpkg feature set, so this is a registered_source_feature route by pattern, not a new source. The one caveat is that sources.yaml currently lists mapspain-ign as present_locally=False even though two other ESP provinces are already using it -- either the on-disk flag is stale or those two features were extracted/cached separately -- and that should be resolved before treating this route as immediately executable.",wiki/polities/esp-po-1833-2025.md,ESP-PO-1833-2025,,,,,,"[{""basis"": ""Pontevedra province exists under the default Javier de Burgos 1833 provincial system; no departure applies, so span follows the country default, not the data's 1865-2021 extent."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES120,Spain,ES120,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Asturias (province of Spain)"", ""span_basis"": ""Created as one of the 50 provinces by the 1833 Javier de Burgos territorial reform (country default start rule); not one of the Canary Islands departure units, so no later start applies. Still current, so end_year is the open 2025 per country convention."", ""start_year"": 1833}",high,"Asturias is one of the 50 Spanish provinces created by the 1833 Javier de Burgos reform. No existing polity represents Asturias specifically (only A Coruña, Madrid, and national Spain exist as siblings so far), and it is not one of the Canary Islands departure units, so the default start rule applies: 1833. End year stays open at 2025 per country convention since the unit is still current (data through 2021).",COUNTRY CONVENTION start rule (DEFAULT) | COUNTRY CONVENTION open end_year | POLITIES SHARING iso3 ESP | VERDICTS ALREADY RECORDED FOR SIBLING UNITS OF THIS COUNTRY,,1,sonnet,low,2026-09-04T10:43:58Z,registered_source_feature,mapspain-ign,33,"{""vintage_risk"": ""mapspain-ign is a present-day (IGN current) province boundary standing in for a unit spanning 1833-2025; Spanish province boundaries have been largely stable since 1833 so risk is low, but any post-1833 municipal boundary tweaks within Asturias are not reflected.""}",medium,"Asturias is one of the 1833 Javier de Burgos provinces, the same class of unit already routed through mapspain-ign for Córdoba (ESP-CO) and Madrid (ESP-MD) — both province-level Spanish polities with the ESP-XX-1833-2025 naming pattern. mapspain-ign's id_column is cpro (INE province codes), and Asturias's INE province code is 33, giving feature_id ESP-33-1833-2025 once the source is present. GADM adm1 was checked directly and returns 0 name matches for ESP, ruling it out. The only blocker is that mapspain-ign, while registered with the correct schema, is not present_locally — the provinces.gpkg file has not been downloaded/placed on disk, so the route cannot be executed until that data is fetched.",wiki/polities/esp-as-1833-2025.md,ESP-AS-1833-2025,,,,,,"[{""basis"": ""Asturias province existed continuously from the 1833 Javier de Burgos reform through the present, covering the full 1865-2021 data span; no departure from the default start rule applies to this unit."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES130,Spain,ES130,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Cantabria (province of Spain)"", ""span_basis"": ""Default province start of 1833 per the Javier de Burgos territorial reform that created all Spanish provinces simultaneously; Cantabria is not among the enumerated departures (Canary Islands split), so the default applies. Open end_year 2025 per country convention for still-current units."", ""start_year"": 1833}",high,"Cantabria is a Spanish province (matching GADM ESP.3_1 Cantabria) with no existing polity representing it. Following the country convention, all provinces default to starting 1833 (Javier de Burgos reform); Cantabria is not one of the Canary Islands departures, so the default applies. Data starts 1865 but the polity span should follow the administrative start (1833), not the data extent. End year follows the open-end convention of 2025.",COUNTRY CONVENTION start rule (DEFAULT) | BOUNDARY FEATURES matching the name in gadm-4.1-adm1 | CANDIDATE POLITIES BY NAME (0) | open end_year convention,,1,sonnet,low,2026-09-04T10:44:09Z,registered_source_feature,mapspain-ign,,"{""vintage_risk"": ""mapspain-ign digitises present-day IGN provincial boundaries; using it for a unit starting 1833 assumes provincial boundaries have been stable since creation, consistent with how the repository already treats ESP-CO and ESP-MD \u2014 a stated approximation for the full 1833-2025 span, not a new risk specific to Cantabria.""}",medium,"Cantabria is a standard modern Spanish province, and the repository already uses mapspain-ign (IGN provinces.gpkg, id_column=cpro) for other 1833-created Spanish provinces (Córdoba, Madrid) with the same start_year=1833 convention. This strongly suggests mapspain-ign also carries a Cantabria feature (cpro code 39) and is the correct registered source for this polity. However, mapspain-ign is marked present_locally=False, so while the route is registered_source_feature in principle, it cannot be executed today — the file must be fetched first. GADM adm1 was checked and has no name match among its 18 ESP features, so it is not a usable fallback without further investigation (e.g. checking GID_1 codes rather than names). Given the file is genuinely absent, I am not asserting it can be run now.",wiki/polities/esp-ca-1833-2025.md,ESP-CA-1833-2025,,,,,,"[{""basis"": ""Cantabria province has no existing polity; per country convention it should be created with span 1833-2025 (administrative start, not data-extent start), covering all data years 1865-2021 within that span."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES211,Spain,ES211,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Araba/\u00c1lava (province of Spain)"", ""span_basis"": ""Default start rule for Spanish provinces: begins 1833 with the Javier de Burgos territorial reform that created all provinces simultaneously; no departure applies since \u00c1lava is not one of the two Canary Island provinces split in 1927. End year is open (2025, exclusive) as the province is still current."", ""start_year"": 1833}",high,"ES211 is the NUTS3 code for Araba/Álava, one of Spain's 50 provinces created by the 1833 Javier de Burgos reform. No existing polity represents this specific province (candidates by name: none; siblings ES111 matched to A Coruña, but all other Basque/Cantabrian-region siblings so far have required create_new). It is a real administrative territory, not a residual bucket or national total, so it qualifies for its own polity per the country convention's default start rule.",COUNTRY CONVENTION start rule (DEFAULT) | CANDIDATE POLITIES BY NAME (0) | POLITIES SHARING iso3 ESP (3) | VERDICTS ALREADY RECORDED FOR SIBLING UNITS,"Naming: follow the established pattern '<Name> (province of Spain)' unless the official convention differs for Basque provinces (Álava has a Basque-language co-official name Araba, per NUTS official name 'Araba/Álava'); consider whether to preserve the slash form or default to the Spanish 'Álava'.",1,sonnet,low,2026-09-04T10:44:21Z,registered_source_feature,mapspain-ign,01 (INE/IGN province code 'cpro' for Álava; verify exact code before use),"{""vintage_risk"": ""Low: mapspain-ign digitises present-day Spanish provincial boundaries, and Spain's 1833 provincial reform fixed most province borders that have remained essentially stable since, matching the precedent already used for C\u00f3rdoba and Madrid over the same 1833-2025 span. No major boundary revision for \u00c1lava is known in this period, so a modern boundary as a stand-in for the 1833-2025 span is a reasonable, low-risk approximation rather than a silent one.""}",medium,"GADM 4.1 adm1 for ESP has no matching feature for Álava, ruling out that route. mapspain-ign is the exact match: it's a registered source keyed by cpro (INE province codes) that this repo is already using for other Spanish provinces (Córdoba ESP-CO, Madrid ESP-MD) with the same 1833-2025 span pattern, meaning the same reform/no-departure logic applies uniformly to Álava. The sources.yaml present_locally flag says False, but the repo's own recent usage (two live ESP province rows already routed through mapspain-ign) is stronger evidence that the file is in fact present and working than the possibly-stale metadata flag. This should be verified directly (e.g. checking data/geodata/mapspain-ign/provinces.gpkg exists) before executing, but the routing precedent is unambiguous and I have not fabricated a licence claim.",wiki/polities/esp-vi-1833-2025.md,ESP-VI-1833-2025,,,,,,"[{""basis"": ""Araba/\u00c1lava province has existed continuously since the 1833 Javier de Burgos reform (default start rule for this country); the data span 1865-2021 falls entirely within the province's administrative existence, which continues to the present (open end_year 2025)."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES212,Spain,ES212,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Gipuzkoa (province of Spain)"", ""span_basis"": ""Gipuzkoa is one of the provinces created simultaneously by the 1833 Javier de Burgos territorial reform; it is not one of the departures (Canary Islands split in 1927) from the country's default start rule, and remains a current administrative province, so span follows the country default 1833-2025."", ""start_year"": 1833}",high,"No existing polity IS Gipuzkoa: candidates by name are empty, and the three ESP-sharing polities are A Coruña, Madrid, and national Spain — none of which is this province. Gipuzkoa is a real historical administrative territory (Basque province) rather than a residual or national-total identifier, so not_a_territory doesn't apply. It falls under the country's default start rule (1833, Javier de Burgos reform) since it is not one of the enumerated departures (only the Canary Islands split in 1927 departs). This matches the pattern of sibling NUTS units in this country's batch (ES111 matched an existing province; ES112, ES113, ES114, ES120, ES130, ES211, ES213, ES220, ES230, ES241 all got create_new), consistent with each NUTS3 Spanish province lacking an existing polity row.",COUNTRY CONVENTION start rule (DEFAULT) | COUNTRY CONVENTION container chain ESP-1800-2025 | CANDIDATE POLITIES BY NAME (0) | POLITIES SHARING iso3 ESP (3) | VERDICTS ALREADY RECORDED FOR SIBLING UNITS OF THIS COUNTRY,"Assumes Gipuzkoa follows the default 1833 Javier de Burgos start rule like sibling NUTS units, with no Canary-Islands-style departure applicable to it.",1,sonnet,low,2026-09-04T10:45:16Z,,,,,,,wiki/polities/esp-gi-1833-2025.md,ESP-GI-1833-2025,,,,,,"[{""basis"": ""Gipuzkoa is one of the 50 Spanish provinces created by the 1833 Javier de Burgos reform; no existing polity IS this province (candidates are A Coru\u00f1a, Madrid, and national Spain, none of which is Gipuzkoa), so a new polity is required, matching sibling ESP NUTS units' create_new verdicts."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES213,Spain,ES213,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Bizkaia (province of Spain)"", ""span_basis"": ""Applying the country's default start rule: all Spanish provinces, including Bizkaia, were created simultaneously by the 1833 Javier de Burgos territorial reform; no departure from the default applies to this unit, and it remains current so end_year is the open 2025."", ""start_year"": 1833}",high,"No existing polity matches or represents Bizkaia specifically — the only ESP candidates are A Coruña, Madrid, and the national Spain polity, none of which is this territory. Sibling NUTS provinces in this same batch (ES111 excepted, which matched A Coruña) have consistently been create_new, confirming Bizkaia (NUTS ES213) needs its own polity row per the standard provincial pattern. The country convention's default start rule (1833) applies since Bizkaia is not among the enumerated departures (only the Canary Islands split in 1927 is listed).",COUNTRY CONVENTION start rule (DEFAULT) | CANDIDATE POLITIES BY NAME (0) | POLITIES SHARING iso3 ESP (3) | VERDICTS ALREADY RECORDED FOR SIBLING UNITS,Verify no existing polity in the DB already represents Bizkaia/Vizcaya under a different name before finalizing create_new,1,sonnet,low,2026-09-04T10:45:27Z,,,,,,,wiki/polities/esp-bi-1833-2025.md,ESP-BI-1833-2025,,,,,,"[{""basis"": ""Bizkaia is a Spanish province created by the 1833 Javier de Burgos reform, per the country's default start rule; no departure applies to it."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES220,Spain,ES220,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Navarra (province of Spain)"", ""span_basis"": ""Per country convention, all Spanish provinces begin in 1833 with the Javier de Burgos territorial reform that created them simultaneously; Navarra is not one of the enumerated departures (Canary Islands split), so the default applies. End year 2025 (exclusive) reflects the province still being current, per the country's open-end convention."", ""start_year"": 1833}",high,"Navarra is a Spanish province with no existing polity of that identity (only A Coruña, Madrid, and Spain-national exist under ESP). It matches GADM ESP.9_1 as its own admin1 unit, confirming it is a real, distinct territory. Per the country convention, all provinces default to starting 1833 (Javier de Burgos reform); Navarra is not one of the listed departures (Canary Islands split), so the default applies. End year follows the open-end convention of 2025 exclusive. This matches sibling units (ES112-ES241) which were all create_new.",COUNTRY CONVENTION start rule (DEFAULT) | BOUNDARY FEATURES matching the name in gadm-4.1-adm1 | CANDIDATE POLITIES BY NAME (0) | VERDICTS ALREADY RECORDED FOR SIBLING UNITS OF THIS COUNTRY,,1,sonnet,low,2026-09-04T10:45:47Z,,,,,,,wiki/polities/esp-nv-1833-2025.md,ESP-NV-1833-2025,,,,,,"[{""basis"": ""Navarra province has existed continuously since the 1833 Javier de Burgos reform with no departure from the default start rule noted for it; its full data span 1865-2021 falls within the proposed polity span 1833-2025."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES230,Spain,ES230,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""La Rioja (province of Spain)"", ""span_basis"": ""La Rioja is one of the provinces created by the 1833 Javier de Burgos territorial reform; no departure from the country default applies (it is not part of the 1927 Canary Islands split), and end_year is open/current."", ""start_year"": 1833}",high,"La Rioja is one of the Spanish provinces created in the 1833 Javier de Burgos reform, matching GADM adm1 ESP.15_1, and it has no existing polity in the repository. Following the country's default start rule, it begins in 1833 like sibling provinces (ESP-ES112 etc.), no departure applies since it's not one of the two Canary Islands units.",COUNTRY CONVENTION start rule (DEFAULT) | BOUNDARY FEATURES matching the name in gadm-4.1-adm1 | CANDIDATE POLITIES BY NAME (0) | VERDICTS ALREADY RECORDED FOR SIBLING UNITS,,1,sonnet,low,2026-09-04T10:45:57Z,,,,,,,wiki/polities/esp-ri-1833-2025.md,ESP-RI-1833-2025,,,,,,"[{""basis"": ""Data span falls entirely within the proposed polity's 1833-2025 span, per default province start rule."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES241,Spain,ES241,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Huesca (province of Spain)"", ""span_basis"": ""Huesca is one of the 50 provinces created simultaneously by the 1833 Javier de Burgos territorial reform; it is not a Canary Islands departure unit, so the default start year 1833 applies, and it remains current (open end_year 2025)."", ""start_year"": 1833}",high,"Huesca is a Spanish province, one of the 50 created by the Javier de Burgos 1833 reform. No existing polity represents it (only A Coruña, Madrid, and Spain exist for ESP). It is not one of the Canary Islands departure units, so the default start rule applies: 1833. This matches the pattern of sibling units (ES112-ES230) all getting create_new.",COUNTRY CONVENTION start rule (DEFAULT) | CANDIDATE POLITIES BY NAME (0) | POLITIES SHARING iso3 ESP (3) | VERDICTS ALREADY RECORDED FOR SIBLING UNITS,,1,sonnet,low,2026-09-04T10:46:12Z,,,,,,,wiki/polities/esp-hu-1833-2025.md,ESP-HU-1833-2025,,,,,,"[{""basis"": ""Province of Huesca existed continuously since the 1833 Javier de Burgos reform through the present; data span 1865-2021 falls entirely within that continuous existence."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES242,Spain,ES242,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Teruel (province of Spain)"", ""span_basis"": ""Default start of 1833 per the Javier de Burgos reform that created all Spanish provinces simultaneously; Teruel is not among the documented departures (Canary Islands split). Open end_year 2025 (exclusive) as the province is still current."", ""start_year"": 1833}",high,"Teruel is one of Spain's 50 Javier de Burgos provinces created in 1833; no existing polity represents it (only A Coruña, Madrid, and Spain exist among ESP candidates), and this mirrors verdicts already recorded for sibling NUTS3 provinces (ES112-ES241 all create_new, only ES111->A Coruña matched because that polity already exists). Per the country convention, the default start year is 1833 and Teruel is not one of the Canary Islands departure units, so it takes the default span.",COUNTRY CONVENTION start rule (DEFAULT) | POLITIES SHARING iso3 ESP (3) | VERDICTS ALREADY RECORDED FOR SIBLING UNITS OF THIS COUNTRY | CANDIDATE POLITIES BY NAME (0),,1,sonnet,low,2026-09-04T10:46:28Z,,,,,,,wiki/polities/esp-te-1833-2025.md,ESP-TE-1833-2025,,,,,,"[{""basis"": ""Data span 1865-2021 falls entirely within the province's administrative existence (1833-present); the new polity's span (1833-2025) covers all data years per the country's default start/open-end convention, not the extract's own range."", ""disposition"": ""proposed"", ""end_year"": 2021, ""polity_code"": null, ""start_year"": 1865}]",yes
ESP-ES243,Spain,ES243,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Zaragoza (province of Spain)"", ""span_basis"": ""Zaragoza is one of the original 50 Spanish provinces established by the 1833 Javier de Burgos territorial reform; no split or later creation applies to it, so it follows the country default span."", ""start_year"": 1833}",high,"No existing polity matches or contains-as-identity Zaragoza province; no name candidates and no sibling match. This mirrors the sibling ESP-ES112..ES241 units which all resolved create_new under the same country convention. Zaragoza has no known departure from the 1833 default start rule (unlike the Canary Islands split), so it gets the default province span 1833-2025.",COUNTRY CONVENTION start rule (DEFAULT) | POLITIES SHARING iso3 ESP | CANDIDATE POLITIES BY NAME (0) | VERDICTS ALREADY RECORDED FOR SIBLING UNITS,,1,sonnet,low,2026-09-04T10:46:38Z,,,,,,,wiki/polities/esp-za-1833-2025.md,ESP-ZA-1833-2025,,,,,,"[{""basis"": ""Zaragoza is one of the 50 Spanish provinces created by the 1833 Javier de Burgos reform; no departure applies, so it follows the country default start of 1833 and open end 2025 (exclusive)."", ""disposition"": ""proposed"", ""end_year"": 2024, ""start_year"": 1833}]",yes
ESP-ES300,Spain,ES300,match_existing,ESP-MD-1833-2025,,high,"ES300 is the NUTS3 code for the province of Madrid, which is a single-province region — the province IS the reporting territory, exactly matching the existing ESP-MD-1833-2025 polity (already created from the harness per project memory). Data span 1865-2021 falls entirely within the polity's 1833-2025 span.",CANDIDATE POLITIES BY NAME (1): ESP-MD-1833-2025 Madrid (province/region of Spain) 1833-2025 | UNIT admin_unit_id ESP-ES300 OFFICIAL NAME Madrid years 1865-2021,,1,sonnet,low,2026-09-04T10:46:47Z,registered_source_feature,mapspain-ign,,"{""vintage_risk"": ""mapspain-ign reflects present-day (post-1978 autonomous community era) Spanish province boundaries. Madrid province's boundary has been essentially stable since the 1833 Javier de Burgos reform (only minor municipal boundary tweaks since), so vintage risk is low for this specific unit despite the source being modern.""}",medium,"Madrid is a NUTS2/NUTS3 Spanish province, a well-mapped modern administrative unit. gadm-4.1-adm1 (present locally) has no matching feature for ESP, so it cannot supply this. The correct fit is mapspain-ign, which is already registered specifically for Spanish provinces (id_column=cpro, i.e. INE province codes) — but the file is not present locally (present_locally=False), so this route cannot be executed today without first fetching data/geodata/mapspain-ign/provinces.gpkg. The feature_id for Madrid province under the INE 'cpro' coding is conventionally '28', but this cannot be confirmed since the source file is absent from disk. No union/difference of already-present registered features (e.g. gadm-4.1-adm1 for ESP) can substitute, since gadm-4.1-adm1 lacks Spanish province-level subdivisions entirely for this country.",wiki/polities/esp-md-1833-2025.md,ESP-MD-1833-2025,clean_for_code,1,"(0, 0, 0)",,,"[{""basis"": ""ESP-ES300 is NUTS3 Madrid, which IS the province of Madrid; ESP-MD-1833-2025 already represents that exact province and spans 1833-2025, covering the unit's full 1865-2021 data range."", ""disposition"": ""matched"", ""end_year"": 2021, ""polity_code"": ""ESP-MD-1833-2025"", ""start_year"": 1865}]",yes
ESP-ES411,Spain,ES411,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""\u00c1vila (province of Spain)"", ""span_basis"": ""Follows the country's default start rule: all Spanish provinces were created simultaneously in 1833 by the Javier de Burgos territorial reform; \u00c1vila is not one of the enumerated departures (Canary Islands split in 1927), so it takes the default 1833-2025 span, open-ended per the current convention."", ""start_year"": 1833}",high,"No existing polity matches or represents Ávila province specifically; ESP-CO and ESP-MD are different provinces, and ESP-1800-2025 is the national total, not this province. Per the rule that match_existing requires the candidate to BE the territory (not merely contain it), none qualify. This is a legitimate NUTS3-level provincial reporting unit under the Spanish provincial system, matching the pattern of sibling units (ES112, ES113, etc.) that were all verdicted create_new. Apply the country's default 1833 start rule since Ávila is not one of the enumerated departures (Canary Islands only).",COUNTRY CONVENTION start rule (DEFAULT) | UNIT OFFICIAL NAME Ávila | CANDIDATE POLITIES BY NAME (0) | VERDICTS ALREADY RECORDED FOR SIBLING UNITS OF THIS COUNTRY (siblings all create_new except ES111->A Coruña),,1,sonnet,low,2026-09-04T10:46:58Z,,,,,,,wiki/polities/esp-av-1833-2025.md,ESP-AV-1833-2025,,,,,,"[{""basis"": ""\u00c1vila province exists continuously from the 1833 Javier de Burgos reform through the present; the 1865-2021 data span sits entirely within that province's administrative existence."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES412,Spain,ES412,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Burgos (province of Spain)"", ""span_basis"": ""Created as one of the provinces in the 1833 Javier de Burgos territorial division; not among the 1927 Canary Islands split departures, so the country-wide default start year of 1833 applies, and it remains a current unit through the open end_year 2025."", ""start_year"": 1833}",high,"Burgos is a standard mainland Spanish province with no existing candidate matching it by name or territory (A Coruña and Madrid are distinct provinces). It is not a Canary Islands unit, so the default 1833 start applies per the country convention, consistent with sibling verdicts (ES112-ES241) which are all create_new following the same default rule.",COUNTRY CONVENTION start rule (DEFAULT) | UNIT OFFICIAL NAME 'Burgos' | POLITIES SHARING iso3 ESP | VERDICTS ALREADY RECORDED FOR SIBLING UNITS,,1,sonnet,low,2026-09-04T10:47:08Z,,,,,,,wiki/polities/esp-bu-1833-2025.md,ESP-BU-1833-2025,,,,,,"[{""basis"": ""Burgos is a Spanish province created in the 1833 Javier de Burgos reform, matching the country default start rule; not a Canary Islands departure case."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES413,Spain,ES413,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Le\u00f3n (province of Spain)"", ""span_basis"": ""Le\u00f3n is one of the 50 Spanish provinces created simultaneously by the 1833 Javier de Burgos territorial reform; no departure from the default applies to this province, and it remains current."", ""start_year"": 1833}",high,"León (ES413) is a genuine Spanish province, not identical to any existing candidate (Sierra Leone entries are irrelevant homonyms from a different country; A Coruña and Madrid are different provinces; Spain-national is a container, not this territory). Following the country convention and the consistent pattern of sibling ESP-ES1xx/ES2xx units, this should be create_new with the default 1833 start year, ending at the open 2025 boundary.",COUNTRY CONVENTION start rule (DEFAULT) | UNIT admin_unit_id ESP-ES413 OFFICIAL NAME León | VERDICTS ALREADY RECORDED FOR SIBLING UNITS OF THIS COUNTRY,,1,sonnet,low,2026-09-04T10:47:20Z,,,,,,,wiki/polities/esp-le-1833-2025.md,ESP-LE-1833-2025,,,,,,"[{""basis"": ""Le\u00f3n province exists under the standard 1833 Javier de Burgos convention and is not identical to any existing candidate; sibling NUTS units for Spain have consistently been routed to create_new for their own province."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES414,Spain,ES414,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Palencia (province of Spain)"", ""span_basis"": ""Created as one of the 50 provinces in the 1833 Javier de Burgos territorial reform; not a Canary Islands split case, so default 1833 start applies; still current, so open end_year 2025 per country convention."", ""start_year"": 1833}",high,"Palencia (ESP-ES414) is a Spanish province with no existing candidate polity matching its name — the only ESP polities are A Coruña, Madrid, and the national total, none of which IS Palencia. This mirrors the pattern of all sibling ESP units (ES112-ES241) which were correctly create_new since each province is its own distinct territory not covered by any existing subnational polity. Following the country convention's default start rule, Palencia begins in 1833 (Javier de Burgos reform) since it is not one of the Canary Islands departure cases, and remains current through 2025 (open end_year). This would change if evidence showed Palencia was created or reorganized later than 1833, but no such history is indicated.",COUNTRY CONVENTION start rule (DEFAULT) | container chain ESP-1800-2025 | CANDIDATE POLITIES BY NAME (0) | VERDICTS ALREADY RECORDED FOR SIBLING UNITS OF THIS COUNTRY,No boundary polygon exists for Palencia among gadm-4.1-adm1 features; will need a constructed polygon like sibling create_new units,1,sonnet,low,2026-09-04T10:47:43Z,,,,,,,wiki/polities/esp-pa-1833-2025.md,ESP-PA-1833-2025,,,,,,"[{""basis"": ""Palencia is one of the 50 Spanish provinces created by the 1833 Javier de Burgos reform; it is not a Canary Islands departure case, so the default start rule (1833) applies as the polity span start, and the country's open end_year 2025 applies per convention."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
ESP-ES415,Spain,ES415,create_new,,"{""container_code"": ""ESP-1800-2025"", ""end_year"": 2025, ""iso3"": ""ESP"", ""polity_name"": ""Salamanca (province of Spain)"", ""span_basis"": ""Created as one of the original provinces in the 1833 Javier de Burgos territorial reform; no departure (like the 1927 Canary Islands split) applies to Salamanca, so it takes the default 1833 start and remains current (open end 2025)."", ""start_year"": 1833}",high,"Salamanca is a standard mainland Spanish province with no existing polity matching it by name (0 candidates by name, and only A Coruña, Madrid, and Spain share iso3 ESP, none of which IS Salamanca). This exactly mirrors the pattern of sibling units (ES112, ES113, etc.) that all received create_new verdicts. There is no departure from the default 1833 start rule for Salamanca — it was one of the provinces created simultaneously in the Javier de Burgos reform, unlike the Canary Islands split in 1927. The span should be 1833-2025 per the country convention, not derived from the data's 1865-2021 extent.",COUNTRY CONVENTION start rule (DEFAULT) | OFFICIAL NAME 'Salamanca' | CANDIDATE POLITIES BY NAME (0) | VERDICTS ALREADY RECORDED FOR SIBLING UNITS OF THIS COUNTRY,,1,sonnet,low,2026-09-04T10:48:08Z,,,,,,,wiki/polities/esp-sa-1833-2025.md,ESP-SA-1833-2025,,,,,,"[{""basis"": ""Salamanca is a Spanish province under the Javier de Burgos 1833 reform; no departure applies to it, so it follows the default start rule of 1833 (a floor, applied here as the province's true creation date) through the open end 2025."", ""disposition"": ""proposed"", ""end_year"": 2021, ""start_year"": 1865}]",yes
