source,label,item,unit,period,volume,period_value,dated_mean,dated_n,dated_first,dated_last,ratio,verdict
iia,malawi,"coffee, green",tonnes,1909-1913,iia_1925_26,202.1,178.16,5,1909,1913,1.134374,consistent
iia,sri lanka,"coffee, green",ha,1909-1913,iia_1925_26,574.0,573.8,5,1909,1913,1.000349,consistent
iia,sri lanka,"coffee, green",tonnes,1909-1913,iia_1925_26,230.7,230.7,3,1911,1913,1.0,consistent
iia,suriname,"coffee, green",tonnes,1909-1913,iia_1925_26,247.5,247.48,5,1909,1913,1.000081,consistent
iia,tanzania,"coffee, green",ha,1909-1913,iia_1925_26,3116.0,3116.0,4,1910,1913,1.0,consistent
iia,trinidad and tobago,"coffee, green",ha,1909-1913,iia_1925_26,1700.0,1700.0,5,1909,1913,1.0,consistent
iia,united states of america,"coffee, green",ha,1909-1913,iia_1925_26,64970.0,63839.25,4,1909,1913,1.017712,consistent
iia,united states of america,"coffee, green",tonnes,1909-1913,iia_1925_26,24350.9,21587.08,5,1909,1913,1.128031,consistent
iia,algeria,cotton lint,ha,1909-1913,iia_1925_26,647.0,646.6667,3,1911,1913,1.000515,consistent
iia,algeria,cotton lint,tonnes,1909-1913,iia_1925_26,297.1,297.1,3,1909,1913,1.0,consistent
iia,antigua and barbuda,cotton lint,ha,1909-1913,iia_1925_26,305.0,303.4,5,1909,1913,1.005274,consistent
iia,antigua and barbuda,cotton lint,tonnes,1909-1913,iia_1925_26,53.3,40.26,5,1909,1913,1.323895,consistent
iia,australia,cotton lint,ha,1909-1913,iia_1925_26,150.0,140.2,5,1909,1913,1.0699,consistent
iia,australia,cotton lint,tonnes,1909-1913,iia_1925_26,16.3,19.625,4,1909,1912,0.830573,consistent
iia,barbados,cotton lint,ha,1909-1913,iia_1925_26,1658.0,1476.4,5,1909,1913,1.123002,consistent
iia,barbados,cotton lint,tonnes,1909-1913,iia_1925_26,229.8,206.6,5,1909,1913,1.112294,consistent
iia,british virgin islands,cotton lint,tonnes,1909-1913,iia_1925_26,17.6,17.58,5,1909,1913,1.001138,consistent
iia,bulgaria,cotton lint,ha,1909-1913,iia_1925_26,1028.0,778.6,5,1909,1913,1.320319,consistent
iia,cyprus,cotton lint,tonnes,1909-1913,iia_1925_26,430.1,317.0,5,1909,1913,1.356782,consistent
iia,egypt,cotton lint,ha,1909-1913,iia_1925_26,723086.0,720585.6,5,1909,1913,1.00347,consistent
iia,ghana,cotton lint,tonnes,1909-1913,iia_1925_26,501.2,22.4,5,1909,1913,22.375,unexplained_period_higher
iia,grenada,cotton lint,tonnes,1909-1913,iia_1925_26,152.3,123.08,5,1909,1913,1.237407,consistent
iia,india,cotton lint,ha,1909-1913,iia_1925_26,9102104.0,9102147.6,5,1909,1913,0.999995,consistent
iia,indonesia,cotton lint,ha,1909-1913,iia_1925_26,145.0,144.75,4,1910,1913,1.001727,consistent
iia,indonesia,cotton lint,tonnes,1909-1913,iia_1925_26,3990.2,38.9667,3,1910,1912,102.400342,disagree_x100_period_higher
iia,jamaica,cotton lint,ha,1909-1913,iia_1925_26,51.0,50.6,5,1909,1913,1.007905,consistent
iia,jamaica,cotton lint,tonnes,1909-1913,iia_1925_26,14.4,10.1,4,1909,1912,1.425743,consistent
iia,japan,cotton lint,ha,1909-1913,iia_1925_26,3071.0,3071.0,5,1909,1913,1.0,consistent
iia,japan,cotton lint,tonnes,1909-1913,iia_1925_26,1071.0,1071.0,5,1909,1913,1.0,consistent
iia,malawi,cotton lint,ha,1909-1913,iia_1925_26,12431.0,12431.25,4,1910,1913,0.99998,consistent
iia,malawi,cotton lint,tonnes,1909-1913,iia_1925_26,1093.2,1093.3,4,1910,1913,0.999909,consistent
iia,malta,cotton lint,ha,1909-1913,iia_1925_26,403.0,404.6,5,1909,1913,0.996045,consistent
iia,mexico,cotton lint,ha,1909-1913,iia_1925_26,99342.0,99342.25,4,1910,1913,0.999997,consistent
iia,montserrat,cotton lint,ha,1909-1913,iia_1925_26,859.0,859.0,5,1909,1913,1.0,consistent
iia,montserrat,cotton lint,tonnes,1909-1913,iia_1925_26,142.5,142.46,5,1909,1913,1.000281,consistent
iia,russian federation,cotton lint,ha,1909-1913,iia_1925_26,635656.0,460389.4,5,1909,1913,1.380692,consistent
iia,russian federation,cotton lint,tonnes,1909-1913,iia_1925_26,196494.6,105896.92,5,1909,1913,1.855527,consistent
iia,saint kitts and nevis,cotton lint,ha,1909-1913,iia_1925_26,1825.0,1824.2,5,1909,1913,1.000439,consistent
iia,saint kitts and nevis,cotton lint,tonnes,1909-1913,iia_1925_26,292.0,302.02,5,1909,1913,0.966823,consistent
iia,saint vincent and the grenadines,cotton lint,ha,1909-1913,iia_1925_26,1562.0,1973.4,5,1909,1913,0.791527,consistent
iia,saint vincent and the grenadines,cotton lint,tonnes,1909-1913,iia_1925_26,222.5,222.38,5,1909,1913,1.00054,consistent
iia,south africa,cotton lint,ha,1909-1913,iia_1925_26,97.0,97.4,5,1909,1913,0.995893,consistent
iia,south korea,cotton lint,ha,1909-1913,iia_1925_26,59203.0,59204.4,5,1909,1913,0.999976,consistent
iia,south korea,cotton lint,tonnes,1909-1913,iia_1925_26,4198.0,4199.56,5,1909,1913,0.999629,consistent
iia,tanzania,cotton lint,ha,1909-1913,iia_1925_26,12317.0,12091.75,4,1910,1913,1.018628,consistent
iia,thailand,cotton lint,ha,1909-1913,iia_1925_26,4790.0,4790.0,3,1911,1913,1.0,consistent
iia,algeria,flax fibre and tow,ha,1909-1913,iia_1925_26,553.0,558.8,5,1909,1913,0.989621,consistent
iia,chile,flax fibre and tow,tonnes,1909-1913,iia_1925_26,57.6,75.8333,3,1910,1913,0.75956,consistent
iia,japan,flax fibre and tow,ha,1909-1913,iia_1925_26,4912.0,4912.2,5,1909,1913,0.999959,consistent
iia,japan,flax fibre and tow,tonnes,1909-1913,iia_1925_26,2332.2,2332.2,5,1909,1913,1.0,consistent
iia,russian federation,flax fibre and tow,ha,1909-1913,iia_1925_26,1235000.0,1269902.2,5,1909,1913,0.972516,consistent
iia,russian federation,flax fibre and tow,tonnes,1909-1913,iia_1925_26,490100.0,627090.06,5,1909,1913,0.781546,consistent
iia,australia,grapes,ha,1909-1913,iia_1925_26,24398.0,20793.6,5,1909,1913,1.173342,consistent
iia,australia,grapes,tonnes,1909-1913,iia_1925_26,88521.7,88521.66,5,1909,1913,1.0,consistent
iia,cyprus,grapes,ha,1909-1913,iia_1925_26,18502.0,18844.6667,3,1911,1913,0.981816,consistent
iia,cyprus,grapes,tonnes,1909-1913,iia_1925_26,31263.0,31262.95,4,1909,1912,1.000002,consistent
iia,france,grapes,tonnes,1909-1913,iia_1925_26,64737.3,64722.3,3,1911,1913,1.000232,consistent
iia,japan,grapes,tonnes,1909-1913,iia_1925_26,13044.0,13043.98,5,1909,1913,1.000002,consistent
iia,russian federation,hempseed,tonnes,1909-1913,iia_1925_26,389000.0,408775.56,5,1909,1913,0.951622,consistent
iia,australia,hops,ha,1909-1913,iia_1925_26,507.0,421.8,5,1909,1913,1.201991,consistent
iia,australia,hops,tonnes,1909-1913,iia_1925_26,728.8,728.8,5,1909,1913,1.0,consistent
iia,new zealand,hops,ha,1909-1913,iia_1925_26,267.0,267.4,5,1909,1913,0.998504,consistent
iia,russian federation,hops,tonnes,1909-1913,iia_1925_26,4409.6,4409.62,5,1909,1913,0.999995,consistent
iia,"china, taiwan province of",jute,ha,1909-1913,iia_1925_26,2174.0,2174.4,5,1909,1913,0.999816,consistent
iia,"china, taiwan province of",jute,tonnes,1909-1913,iia_1925_26,2421.9,2421.94,5,1909,1913,0.999983,consistent
iia,india,jute,ha,1909-1913,iia_1925_26,1198946.0,1198945.6,5,1909,1913,1.0,consistent
iia,india,jute,tonnes,1909-1913,iia_1925_26,1528062.4,1528062.42,5,1909,1913,1.0,consistent
iia,algeria,linseed,tonnes,1909-1913,iia_1925_26,335.6,335.56,5,1909,1913,1.000119,consistent
iia,japan,linseed,tonnes,1909-1913,iia_1925_26,2493.5,2493.55,4,1910,1913,0.99998,consistent
iia,russian federation,linseed,tonnes,1909-1913,iia_1925_26,460600.0,594314.14,5,1909,1913,0.775011,consistent
iia,tunisia,linseed,tonnes,1909-1913,iia_1925_26,942.0,924.0,5,1909,1913,1.019481,consistent
iia,algeria,olives,tonnes,1909-1913,iia_1925_26,231701.6,257723.42,5,1909,1913,0.899032,consistent
iia,india,rapeseed,ha,1909-1913,iia_1925_26,974300.0,1611451.8,5,1909,1913,0.60461,consistent
iia,india,rapeseed,tonnes,1909-1913,iia_1925_26,530400.0,705014.7,5,1909,1913,0.752325,consistent
iia,japan,rapeseed,ha,1909-1913,iia_1925_26,135876.0,135876.0,5,1909,1913,1.0,consistent
iia,japan,rapeseed,tonnes,1909-1913,iia_1925_26,121913.8,121913.84,5,1909,1913,1.0,consistent
iia,algeria,rye,ha,1909-1913,iia_1925_26,1132.0,687.2,5,1909,1913,1.647264,consistent
iia,algeria,rye,tonnes,1909-1913,iia_1925_26,995.0,995.04,5,1909,1913,0.99996,consistent
iia,australia,rye,ha,1909-1913,iia_1925_26,3579.0,3579.4,5,1909,1913,0.999888,consistent
iia,australia,rye,tonnes,1909-1913,iia_1925_26,2886.6,2886.6,5,1909,1913,1.0,consistent
iia,new zealand,rye,ha,1909-1913,iia_1925_26,1942.0,1942.0,3,1909,1911,1.0,consistent
iia,new zealand,rye,tonnes,1909-1913,iia_1925_26,2446.6,2446.575,4,1909,1912,1.00001,consistent
iia,russian federation,rye,ha,1909-1913,iia_1925_26,24769000.0,29821579.0,5,1909,1913,0.830573,consistent
iia,russian federation,rye,tonnes,1909-1913,iia_1925_26,18716400.0,23206265.82,5,1909,1913,0.806524,consistent
iia,antigua and barbuda,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,12581.7,12581.7,5,1909,1913,1.0,consistent
iia,australia,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,922.5,142581.84,5,1909,1913,0.00647,unexplained_dated_higher
iia,austria,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,1061198.2,1061198.16,5,1909,1913,1.0,consistent
iia,belgium,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,259477.5,259477.5,5,1909,1913,1.0,consistent
iia,bulgaria,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,3305.0,3305.02,5,1909,1913,0.999994,consistent
iia,canada,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,11515.6,11515.62,5,1909,1913,0.999998,consistent
iia,"china, taiwan province of",sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,174471.8,174473.78,5,1909,1913,0.999989,consistent
iia,denmark,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,115296.0,115296.0,5,1909,1913,1.0,consistent
iia,egypt,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,60897.8,60901.8,5,1909,1913,0.999934,consistent
iia,fiji,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,76773.4,76773.6,5,1909,1913,0.999997,consistent
iia,france,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,732909.8,732908.46,5,1909,1913,1.000002,consistent
iia,germany,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,2309437.1,2309437.12,5,1909,1913,1.0,consistent
iia,hungary,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,458531.4,453531.38,5,1909,1913,1.011025,consistent
iia,india,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,2403560.0,2403560.8,5,1909,1913,1.0,consistent
iia,indonesia,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,1347397.9,1335397.86,5,1909,1913,1.008986,consistent
iia,italy,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,210343.2,189308.88,5,1909,1913,1.111111,consistent
iia,japan,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,64128.1,64128.12,5,1909,1913,1.0,consistent
iia,mauritius,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,221427.2,221427.2,5,1909,1913,1.0,consistent
iia,netherlands,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,223479.2,223479.38,5,1909,1913,0.999999,consistent
iia,paraguay,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,1236.4,1236.36,5,1909,1913,1.000032,consistent
iia,philippines,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,370442.7,198279.8,5,1909,1913,1.868283,consistent
iia,reunion,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,37791.9,37791.86,5,1909,1913,1.000001,consistent
iia,romania,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,33994.1,33994.1,5,1909,1913,1.0,consistent
iia,russian federation,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,1436672.5,1658341.5,5,1909,1913,0.866331,consistent
iia,saint kitts and nevis,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,11348.6,11348.62,5,1909,1913,0.999998,consistent
iia,saint lucia,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,4581.4,4581.4,5,1909,1913,1.0,consistent
iia,serbia,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,8810.7,8810.75,4,1909,1913,0.999994,consistent
iia,south africa,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,82736.3,82736.32,5,1909,1913,1.0,consistent
iia,spain,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,104986.6,104986.6,5,1909,1913,1.0,consistent
iia,suriname,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,12006.4,12006.36,5,1909,1913,1.000003,consistent
iia,sweden,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,139327.7,139327.72,5,1909,1913,1.0,consistent
iia,switzerland,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,2746.0,2746.02,5,1909,1913,0.999993,consistent
iia,united states of america,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,265331.7,628450.0,5,1909,1913,0.4222,unexplained_dated_higher
iia,united states virgin islands,sugar raw centrifugal,tonnes,1909-1913,iia_1925_26,8720.0,8721.4,5,1909,1913,0.999839,consistent
iia,"china, taiwan province of",tea,ha,1909-1913,iia_1925_26,33489.0,33488.6,5,1909,1913,1.000012,consistent
iia,fiji,tea,ha,1909-1913,iia_1925_26,88.0,88.0,5,1909,1913,1.0,consistent
iia,fiji,tea,tonnes,1909-1913,iia_1925_26,24.985,24.9852,5,1909,1913,0.999992,consistent
iia,india,tea,ha,1909-1913,iia_1925_26,234340.0,234404.8,5,1909,1913,0.999724,consistent
iia,india,tea,tonnes,1909-1913,iia_1925_26,253127.94,124810.234,5,1909,1913,2.028102,unexplained_period_higher
iia,japan,tea,ha,1909-1913,iia_1925_26,48690.0,48690.4,5,1909,1913,0.999992,consistent
iia,malawi,tea,ha,1909-1913,iia_1925_26,808.0,808.0,5,1909,1913,1.0,consistent
iia,malawi,tea,tonnes,1909-1913,iia_1925_26,52.224,28.1103,3,1909,1912,1.857822,consistent
iia,mauritius,tea,ha,1909-1913,iia_1925_26,147.0,147.5,4,1910,1913,0.99661,consistent
iia,mauritius,tea,tonnes,1909-1913,iia_1925_26,37.25,37.25,4,1910,1913,1.0,consistent
iia,russian federation,tea,ha,1909-1913,iia_1925_26,754.0,754.2,5,1909,1913,0.999735,consistent
iia,russian federation,tea,tonnes,1909-1913,iia_1925_26,101.416,101.5144,5,1909,1913,0.999031,consistent
iia,south africa,tea,ha,1909-1913,iia_1925_26,1811.0,1811.3333,3,1911,1913,0.999816,consistent
iia,south africa,tea,tonnes,1909-1913,iia_1925_26,787.312,787.3123,3,1911,1913,1.0,consistent
iia,sri lanka,tea,ha,1909-1913,iia_1925_26,162000.0,203486.4,5,1909,1913,0.796122,consistent
iia,algeria,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,10085.0,10170.4,5,1909,1913,0.991603,consistent
iia,australia,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,984.0,983.8,5,1909,1913,1.000203,consistent
iia,australia,"tobacco, unmanufactured",tonnes,1909-1913,iia_1925_26,968.5,968.54,5,1909,1913,0.999959,consistent
iia,"china, taiwan province of","tobacco, unmanufactured",ha,1909-1913,iia_1925_26,419.0,418.8,5,1909,1913,1.000478,consistent
iia,"china, taiwan province of","tobacco, unmanufactured",tonnes,1909-1913,iia_1925_26,508.2,508.16,5,1909,1913,1.000079,consistent
iia,cyprus,"tobacco, unmanufactured",tonnes,1909-1913,iia_1925_26,1.1,1.1333,3,1911,1913,0.970588,consistent
iia,denmark,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,125.0,67.0,3,1909,1911,1.865672,consistent
iia,fiji,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,44.0,43.6,5,1909,1913,1.009174,consistent
iia,fiji,"tobacco, unmanufactured",tonnes,1909-1913,iia_1925_26,19.1,19.1,5,1909,1913,1.0,consistent
iia,guatemala,"tobacco, unmanufactured",tonnes,1909-1913,iia_1925_26,116.2,116.2333,3,1911,1913,0.999713,consistent
iia,india,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,423815.0,423814.6,5,1909,1913,1.000001,consistent
iia,indonesia,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,115059.0,162134.6,5,1909,1913,0.709651,consistent
iia,jamaica,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,377.0,376.8,5,1909,1913,1.000531,consistent
iia,jamaica,"tobacco, unmanufactured",tonnes,1909-1913,iia_1925_26,222.2,222.2,3,1911,1913,1.0,consistent
iia,japan,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,29301.0,29301.0,5,1909,1913,1.0,consistent
iia,madagascar,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,3742.0,3742.3333,3,1911,1913,0.999911,consistent
iia,malawi,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,2851.0,2851.0,5,1909,1913,1.0,consistent
iia,philippines,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,62167.0,62167.5,4,1910,1913,0.999992,consistent
iia,russian federation,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,67000.0,70640.0,5,1909,1913,0.948471,consistent
iia,russian federation,"tobacco, unmanufactured",tonnes,1909-1913,iia_1925_26,104500.0,93085.1,5,1909,1913,1.122629,consistent
iia,south korea,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,20551.0,20551.2,5,1909,1913,0.99999,consistent
iia,south korea,"tobacco, unmanufactured",tonnes,1909-1913,iia_1925_26,11571.2,11571.22,5,1909,1913,0.999998,consistent
iia,sri lanka,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,5743.0,5742.75,4,1909,1913,1.000044,consistent
iia,tunisia,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,89.0,89.2,5,1909,1913,0.997758,consistent
iia,tunisia,"tobacco, unmanufactured",tonnes,1909-1913,iia_1925_26,120.4,118.64,5,1909,1913,1.014835,consistent
iia,zimbabwe,"tobacco, unmanufactured",ha,1909-1913,iia_1925_26,1790.0,1789.6667,3,1911,1913,1.000186,consistent
iia,austria,wine,tonnes,1909-1913,iia_1925_26,689235.731,406601.5542,5,1909,1913,1.695113,consistent
iia,bulgaria,wine,tonnes,1909-1913,iia_1925_26,31167.555,63473.9676,5,1909,1913,0.491029,unexplained_dated_higher
iia,france,wine,tonnes,1909-1913,iia_1925_26,4871924.716,4506161.966,5,1909,1913,1.081169,consistent
iia,germany,wine,tonnes,1909-1913,iia_1925_26,80006.376,170991.2896,5,1909,1913,0.467897,unexplained_dated_higher
iia,hungary,wine,tonnes,1909-1913,iia_1925_26,185039.334,414509.3046,5,1909,1913,0.446406,unexplained_dated_higher
iia,italy,wine,tonnes,1909-1913,iia_1925_26,2268577.8,2195032.4,5,1909,1913,1.033505,consistent
iia,luxembourg,wine,tonnes,1909-1913,iia_1925_26,4710.514,4710.5334,5,1909,1913,0.999996,consistent
iia,mexico,wine,tonnes,1909-1913,iia_1925_26,662.801,662.8333,3,1911,1913,0.999951,consistent
iia,portugal,wine,tonnes,1909-1913,iia_1925_26,7393.34,139149.2483,3,1911,1913,0.053132,unexplained_dated_higher
iia,romania,wine,tonnes,1909-1913,iia_1925_26,137461.319,137461.2802,5,1909,1913,1.0,consistent
iia,spain,wine,tonnes,1909-1913,iia_1925_26,1441748.733,1441748.7136,5,1909,1913,1.0,consistent
iia,switzerland,wine,tonnes,1909-1913,iia_1925_26,43482.093,43482.0736,5,1909,1913,1.0,consistent
iia,austria,yarn of true hemp,tonnes,1909-1913,iia_1925_26,422.4,13096.46,5,1909,1913,0.032253,unexplained_dated_higher
iia,bulgaria,yarn of true hemp,tonnes,1909-1913,iia_1925_26,1158.1,1109.02,5,1909,1913,1.044255,consistent
iia,chile,yarn of true hemp,tonnes,1909-1913,iia_1925_26,548.1,548.06,5,1909,1913,1.000073,consistent
iia,france,yarn of true hemp,tonnes,1909-1913,iia_1925_26,18309.2,13309.22,5,1909,1913,1.375678,consistent
iia,hungary,yarn of true hemp,tonnes,1909-1913,iia_1925_26,10988.6,52287.8,5,1909,1913,0.210156,unexplained_dated_higher
iia,italy,yarn of true hemp,tonnes,1909-1913,iia_1925_26,83500.0,83500.0,5,1909,1913,1.0,consistent
iia,japan,yarn of true hemp,tonnes,1909-1913,iia_1925_26,9380.6,7585.5,5,1909,1913,1.236649,consistent
iia,romania,yarn of true hemp,tonnes,1909-1913,iia_1925_26,1997.1,1997.1,5,1909,1913,1.0,consistent
iia,russian federation,yarn of true hemp,tonnes,1909-1913,iia_1925_26,324400.0,346097.84,5,1909,1913,0.937307,consistent
iia,serbia,yarn of true hemp,tonnes,1909-1913,iia_1925_26,7393.4,7393.4333,3,1909,1911,0.999995,consistent
iia,south korea,yarn of true hemp,tonnes,1909-1913,iia_1925_26,7510.1,7510.14,5,1909,1913,0.999995,consistent
iia,benin,"cacao, beans",ha,1928-1932,iia_1938_39,2000.0,165.0,3,1930,1932,12.121212,unexplained_period_higher
iia,benin,"cacao, beans",tonnes,1928-1932,iia_1938_39,400.0,26.6667,3,1930,1932,15.0,unexplained_period_higher
iia,brazil,"cacao, beans",tonnes,1928-1932,iia_1938_39,82800.0,89783.8667,3,1930,1932,0.922215,consistent
iia,cameroon,"cacao, beans",ha,1928-1932,iia_1938_39,35000.0,27333.3333,3,1930,1932,1.280488,consistent
iia,congo,"cacao, beans",tonnes,1928-1932,iia_1938_39,200.0,165.2333,3,1930,1932,1.21041,consistent
