source,label,whep_code,item,year,period,unit,production,area_ha,implied_yield,own_pre_era_median,ratio_to_own,verdict,convicted
iia,mozambique,MOZ-1891-1975,"tobacco, unmanufactured",1936,,tonnes,18700,1000,18.7,3.5,5342.857143,high_yield_3to20,False
iia,serbia,F248-1920-1947,hops,1934,,tonnes,143300,24000,5.970833,1550.95,92.394984,high_yield_3to20,False
iia,serbia,F248-1920-1947,hops,1935,,tonnes,189100,26000,7.273077,1550.95,121.925272,high_yield_3to20,False
iia,serbia,F248-1920-1947,hops,1936,,tonnes,196200,27000,7.266667,1550.95,126.503111,high_yield_3to20,False
iia,serbia,F248-1920-1947,hops,1937,,tonnes,213200,29000,7.351724,1550.95,137.464135,high_yield_3to20,False
iia,serbia,F248-1920-1947,hops,1938,,tonnes,160000,28000,5.714286,1550.95,103.162578,high_yield_3to20,False
iia,sri lanka,LKA-1800-2025,"tobacco, unmanufactured",,1934-1938,tonnes,95400,6000,15.9,4540,21.013216,high_yield_3to20,False
iia,syrian arab republic,SYR-1922-1946,"tobacco, unmanufactured",1942,,tonnes,60400,6000,10.066667,2835.5,21.301358,high_yield_3to20,False
iia,tanzania,TAN-1922-1964,"tobacco, unmanufactured",,1934-1938,tonnes,24800,2000,12.4,,,high_yield_3to20,False
iia,albania,ALB-1913-2025,"tobacco, unmanufactured",,1934-1938,tonnes,161200,2000,80.6,49002.55,3.289625,impossible_yield,True
iia,algeria,DZA-1919-1962,"tobacco, unmanufactured",,1934-1938,tonnes,1913900,23000,83.213043,24599.7,77.801762,impossible_yield,True
iia,algeria,DZA-1919-1962,"tobacco, unmanufactured",1945,,tonnes,680400,10000,68.04,24599.7,27.658874,impossible_yield,True
iia,angola,ANG-1905-1975,"tobacco, unmanufactured",,1934-1938,tonnes,237100,4000,59.275,1903.2,124.579655,impossible_yield,True
iia,angola,ANG-1905-1975,"tobacco, unmanufactured",1934,,tonnes,201700,3000,67.233333,1903.2,105.979403,impossible_yield,True
iia,angola,ANG-1905-1975,"tobacco, unmanufactured",1935,,tonnes,241400,4000,60.35,1903.2,126.839008,impossible_yield,True
iia,angola,ANG-1905-1975,"tobacco, unmanufactured",1936,,tonnes,249100,4000,62.275,1903.2,130.884826,impossible_yield,True
iia,angola,ANG-1905-1975,"tobacco, unmanufactured",1937,,tonnes,218300,4000,54.575,1903.2,114.701555,impossible_yield,True
iia,angola,ANG-1905-1975,"tobacco, unmanufactured",1939,,tonnes,204900,3000,68.3,1903.2,107.660782,impossible_yield,True
iia,angola,ANG-1905-1975,"tobacco, unmanufactured",1940,,tonnes,220200,4000,55.05,1903.2,115.699874,impossible_yield,True
iia,angola,ANG-1905-1975,"tobacco, unmanufactured",1941,,tonnes,273700,5000,54.74,1903.2,143.810425,impossible_yield,True
iia,angola,ANG-1905-1975,"tobacco, unmanufactured",1942,,tonnes,357800,6000,59.633333,1903.2,187.999159,impossible_yield,True
iia,argentina,ARG-1902-2025,"tobacco, unmanufactured",,1934-1938,tonnes,1552200,16000,97.0125,11599.2,133.819574,impossible_yield,True
iia,australia,AUS-1901-2025,hops,,1934-1938,tonnes,104500,400,261.25,853.9,122.37967,impossible_yield,True
iia,australia,AUS-1901-2025,hops,1934,,tonnes,93700,4000,23.425,853.9,109.731819,impossible_yield,True
iia,australia,AUS-1901-2025,hops,1935,,tonnes,109000,4000,27.25,853.9,127.649608,impossible_yield,True
iia,australia,AUS-1901-2025,hops,1936,,tonnes,107800,5000,21.56,853.9,126.244291,impossible_yield,True
iia,australia,AUS-1901-2025,hops,1937,,tonnes,103300,4000,25.825,853.9,120.974353,impossible_yield,True
iia,australia,AUS-1901-2025,hops,1939,,tonnes,90400,500,180.8,853.9,105.867198,impossible_yield,True
iia,australia,AUS-1901-2025,hops,1940,,tonnes,146400,500,292.8,853.9,171.448647,impossible_yield,True
iia,australia,AUS-1901-2025,hops,1941,,tonnes,137500,500,275,853.9,161.025881,impossible_yield,True
iia,australia,AUS-1901-2025,hops,1942,,tonnes,126000,500,252,853.9,147.558262,impossible_yield,True
iia,australia,AUS-1901-2025,hops,1943,,tonnes,133900,500,267.8,853.9,156.809931,impossible_yield,True
iia,australia,AUS-1901-2025,hops,1944,,tonnes,118500,500,237,853.9,138.775032,impossible_yield,True
iia,australia,AUS-1901-2025,"tobacco, unmanufactured",,1934-1938,tonnes,215700,4000,53.925,920.8,234.252824,impossible_yield,True
iia,australia,AUS-1901-2025,"tobacco, unmanufactured",1934,,tonnes,141200,3000,47.066667,920.8,153.344917,impossible_yield,True
iia,australia,AUS-1901-2025,"tobacco, unmanufactured",1935,,tonnes,252100,4000,63.025,920.8,273.783666,impossible_yield,True
iia,australia,AUS-1901-2025,"tobacco, unmanufactured",1936,,tonnes,235800,5000,47.16,920.8,256.081668,impossible_yield,True
iia,australia,AUS-1901-2025,"tobacco, unmanufactured",1937,,tonnes,271200,4000,67.8,920.8,294.526499,impossible_yield,True
iia,australia,AUS-1901-2025,"tobacco, unmanufactured",1939,,tonnes,224800,3000,74.933333,920.8,244.135534,impossible_yield,True
iia,australia,AUS-1901-2025,"tobacco, unmanufactured",1940,,tonnes,248400,3000,82.8,920.8,269.765421,impossible_yield,True
iia,belgium,BEL-1831-2025,hops,,1934-1938,tonnes,120600,900,134,3179,37.936458,impossible_yield,True
iia,belgium,BEL-1831-2025,"tobacco, unmanufactured",,1934-1938,tonnes,633800,3000,211.266667,9404.6,67.392553,impossible_yield,True
iia,benin,BEN-1898-1960,"tobacco, unmanufactured",1943,,tonnes,22900,1000,22.9,33.75,678.518519,impossible_yield,True
iia,benin,BEN-1898-1960,"tobacco, unmanufactured",1944,,tonnes,56600,1000,56.6,33.75,1677.037037,impossible_yield,True
iia,benin,BEN-1898-1960,"tobacco, unmanufactured",1945,,tonnes,56200,2000,28.1,33.75,1665.185185,impossible_yield,True
iia,bolivia,BOL-1909-1938,"tobacco, unmanufactured",,1934-1938,tonnes,353500,3000,117.833333,242252,1.459224,impossible_yield,True
iia,brazil,BRA-1909-2025,"tobacco, unmanufactured",,1934-1938,tonnes,9265800,99000,93.593939,90512.5,102.370391,impossible_yield,True
iia,bulgaria,BGR-1919-1940,"tobacco, unmanufactured",,1934-1938,tonnes,13056700,34000,384.020588,27478.6,475.158851,impossible_yield,True
iia,canada,CAN-1886-1949,hops,,1934-1938,tonnes,73100,400,182.75,512.8,142.550702,impossible_yield,True
iia,canada,CAN-1886-1949,"tobacco, unmanufactured",,1934-1938,tonnes,2846800,24000,118.616667,15772.5,180.491362,impossible_yield,True
iia,chile,CHL-1902-2025,"tobacco, unmanufactured",,1934-1938,tonnes,691800,3000,230.6,8579.3,80.635949,impossible_yield,True
iia,chile,CHL-1902-2025,"tobacco, unmanufactured",1939,,tonnes,956500,5000,191.3,8579.3,111.489282,impossible_yield,True
iia,"china, mainland",CHN-1932-1945,"tobacco, unmanufactured",,1934-1938,tonnes,64152300,566000,113.343286,,,impossible_yield,True
iia,"china, mainland",CHN-1932-1945,"tobacco, unmanufactured",1940,,tonnes,51345800,442000,116.166968,,,impossible_yield,True
iia,"china, taiwan province of",TWN-1895-1945,"tobacco, unmanufactured",,1934-1938,tonnes,225300,1000,225.3,940.4,239.578903,impossible_yield,True
iia,"china, taiwan province of",TWN-1895-1945,"tobacco, unmanufactured",1934,,tonnes,214000,1000,214,940.4,227.562739,impossible_yield,True
iia,"china, taiwan province of",TWN-1895-1945,"tobacco, unmanufactured",1935,,tonnes,203500,1000,203.5,940.4,216.397278,impossible_yield,True
iia,"china, taiwan province of",TWN-1895-1945,"tobacco, unmanufactured",1937,,tonnes,261100,1000,261.1,940.4,277.647809,impossible_yield,True
iia,"china, taiwan province of",TWN-1895-1945,"tobacco, unmanufactured",1940,,tonnes,471700,4000,117.925,940.4,501.595066,impossible_yield,True
iia,colombia,COL-1922-2025,"tobacco, unmanufactured",,1934-1938,tonnes,1224100,11000,111.281818,11072.2,110.556168,impossible_yield,True
iia,costa rica,CRI-1800-2025,"tobacco, unmanufactured",,1934-1938,tonnes,26500,1000,26.5,62569.55,0.423529,impossible_yield,True
iia,cuba,CUB-1800-2025,"tobacco, unmanufactured",,1934-1938,tonnes,2192100,45000,48.713333,28117,77.96351,impossible_yield,True
iia,cyprus,CYP-1879-2025,"tobacco, unmanufactured",,1934-1938,tonnes,23600,1000,23.6,41.45,569.360676,impossible_yield,True
iia,cyprus,CYP-1879-2025,"tobacco, unmanufactured",1934,,tonnes,72500,2000,36.25,41.45,1749.095296,impossible_yield,True
iia,cyprus,CYP-1879-2025,"tobacco, unmanufactured",1941,,tonnes,21300,1000,21.3,41.45,513.872135,impossible_yield,True
iia,cyprus,CYP-1879-2025,"tobacco, unmanufactured",1943,,tonnes,68100,2000,34.05,41.45,1642.943305,impossible_yield,True
iia,cyprus,CYP-1879-2025,"tobacco, unmanufactured",1944,,tonnes,56800,1000,56.8,41.45,1370.325694,impossible_yield,True
iia,cyprus,CYP-1879-2025,"tobacco, unmanufactured",1945,,tonnes,81300,2000,40.65,41.45,1961.399276,impossible_yield,True
iia,czech republic,F51-1918-1938,hops,,1934-1938,tonnes,973500,11300,86.150442,7278.15,133.756518,impossible_yield,True
iia,czech republic,F51-1938-1945,hops,1939,,tonnes,763400,10500,72.704762,7278.15,104.889292,impossible_yield,True
iia,czech republic,F51-1938-1945,hops,1940,,tonnes,457600,8900,51.41573,7278.15,62.87312,impossible_yield,True
iia,czech republic,F51-1938-1945,hops,1941,,tonnes,352700,7500,47.026667,7278.15,48.460117,impossible_yield,True
iia,czech republic,F51-1938-1945,hops,1942,,tonnes,310700,7300,42.561644,7278.15,42.68942,impossible_yield,True
iia,czech republic,F51-1938-1945,hops,1943,,tonnes,315200,6300,50.031746,7278.15,43.307709,impossible_yield,True
iia,czech republic,F51-1945-1947,hops,1945,,tonnes,372100,8300,44.831325,7278.15,51.125629,impossible_yield,True
iia,czech republic,F51-1918-1938,"tobacco, unmanufactured",,1934-1938,tonnes,41410600,10000,4141.06,7144.5,5796.150885,impossible_yield,True
iia,czech republic,F51-1918-1938,"tobacco, unmanufactured",1934,,tonnes,1368300,10000,136.83,7144.5,191.517951,impossible_yield,True
iia,czech republic,F51-1918-1938,"tobacco, unmanufactured",1935,,tonnes,1363100,10000,136.31,7144.5,190.790118,impossible_yield,True
iia,czech republic,F51-1918-1938,"tobacco, unmanufactured",1936,,tonnes,1507200,10000,150.72,7144.5,210.959479,impossible_yield,True
iia,czech republic,F51-1918-1938,"tobacco, unmanufactured",1937,,tonnes,1403600,10000,140.36,7144.5,196.458814,impossible_yield,True
iia,czech republic,F51-1938-1945,"tobacco, unmanufactured",1939,,tonnes,933000,6000,155.5,7144.5,130.589964,impossible_yield,True
iia,czech republic,F51-1938-1945,"tobacco, unmanufactured",1940,,tonnes,780000,6000,130,7144.5,109.17489,impossible_yield,True
iia,czech republic,F51-1938-1945,"tobacco, unmanufactured",1941,,tonnes,691400,5000,138.28,7144.5,96.773742,impossible_yield,True
iia,czech republic,F51-1938-1945,"tobacco, unmanufactured",1942,,tonnes,746800,5000,149.36,7144.5,104.527959,impossible_yield,True
iia,czech republic,F51-1938-1945,"tobacco, unmanufactured",1943,,tonnes,542900,2000,271.45,7144.5,75.988523,impossible_yield,True
iia,czech republic,F51-1938-1945,"tobacco, unmanufactured",1944,,tonnes,392800,3000,130.933333,7144.5,54.979355,impossible_yield,True
iia,dr congo,COD-1910-1960,"tobacco, unmanufactured",,1934-1938,tonnes,404600,5000,80.92,1141.65,354.399334,impossible_yield,True
iia,france,FRA-1919-2025,hops,,1934-1938,tonnes,223900,1800,124.388889,6211.5,36.046044,impossible_yield,True
iia,france,FRA-1919-2025,"tobacco, unmanufactured",,1934-1938,tonnes,3566700,18000,198.15,27523,129.589798,impossible_yield,True
iia,germany,DEU-1920-1938,hops,,1934-1938,tonnes,908700,9600,94.65625,8741.5,103.952411,impossible_yield,True
iia,germany,DEU-1920-1938,"tobacco, unmanufactured",,1934-1938,tonnes,3360700,13000,258.515385,25833.9,130.088759,impossible_yield,True
iia,greece,GRC-1919-1947,"tobacco, unmanufactured",,1934-1938,tonnes,5737600,89000,64.467416,63154.9,90.849641,impossible_yield,True
iia,guatemala,GTM-1821-2025,"tobacco, unmanufactured",,1934-1938,tonnes,82200,2000,41.1,187.8,437.699681,impossible_yield,True
iia,honduras,HND-1800-2025,"tobacco, unmanufactured",,1934-1938,tonnes,337300,6000,56.216667,337300,1,impossible_yield,True
iia,hungary,HUN-1920-1938,hops,,1934-1938,tonnes,6600,100,66,383.75,17.198697,impossible_yield,True
iia,hungary,HUN-1920-1938,"tobacco, unmanufactured",,1934-1938,tonnes,2047600,15000,136.506667,46078.3,44.437403,impossible_yield,True
iia,indonesia,IDN-1800-1945,"tobacco, unmanufactured",,1934-1938,tonnes,3471000,41000,84.658537,63566.6,54.604147,impossible_yield,True
iia,indonesia,IDN-1800-1945,"tobacco, unmanufactured",1940,,tonnes,2079600,19000,109.452632,63566.6,32.715294,impossible_yield,True
iia,iran,IRN-1828-2025,"tobacco, unmanufactured",,1934-1938,tonnes,1500000,12000,125,1353300,1.108402,impossible_yield,True
iia,iran,IRN-1828-2025,"tobacco, unmanufactured",1940,,tonnes,1270000,13000,97.692308,1353300,0.938447,impossible_yield,True
iia,iraq,IRQ-1932-2025,"tobacco, unmanufactured",,1934-1938,tonnes,510700,4000,127.675,206854.95,2.46888,impossible_yield,True
iia,iraq,IRQ-1932-2025,"tobacco, unmanufactured",1940,,tonnes,422000,7000,60.285714,206854.95,2.040077,impossible_yield,True
iia,israel,PAL-1920-1948,"tobacco, unmanufactured",,1934-1938,tonnes,138600,3000,46.2,583.05,237.715462,impossible_yield,True
iia,israel,PAL-1920-1948,"tobacco, unmanufactured",1934,,tonnes,101100,2000,50.55,583.05,173.398508,impossible_yield,True
iia,israel,PAL-1920-1948,"tobacco, unmanufactured",1935,,tonnes,100000,2000,50,583.05,171.511877,impossible_yield,True
iia,israel,PAL-1920-1948,"tobacco, unmanufactured",1936,,tonnes,123700,3000,41.233333,583.05,212.160192,impossible_yield,True
iia,israel,PAL-1920-1948,"tobacco, unmanufactured",1937,,tonnes,250400,6000,41.733333,583.05,429.465741,impossible_yield,True
iia,israel,PAL-1920-1948,"tobacco, unmanufactured",1939,,tonnes,52300,2000,26.15,583.05,89.700712,impossible_yield,True
iia,israel,PAL-1920-1948,"tobacco, unmanufactured",1940,,tonnes,98500,2000,49.25,583.05,168.939199,impossible_yield,True
iia,israel,PAL-1920-1948,"tobacco, unmanufactured",1941,,tonnes,58900,1000,58.9,583.05,101.020496,impossible_yield,True
iia,israel,PAL-1920-1948,"tobacco, unmanufactured",1942,,tonnes,141900,3000,47.3,583.05,243.375354,impossible_yield,True
iia,israel,PAL-1920-1948,"tobacco, unmanufactured",1943,,tonnes,128900,3000,42.966667,583.05,221.07881,impossible_yield,True
iia,israel,PAL-1920-1948,"tobacco, unmanufactured",1944,,tonnes,168300,3000,56.1,583.05,288.654489,impossible_yield,True
iia,israel,PAL-1920-1948,"tobacco, unmanufactured",1945,,tonnes,136000,3000,45.333333,583.05,233.256153,impossible_yield,True
iia,italy,ITA-1919-2025,"tobacco, unmanufactured",,1934-1938,tonnes,4375800,33000,132.6,41318.9,105.90311,impossible_yield,True
iia,japan,JPN-1895-1945,"tobacco, unmanufactured",,1934-1938,tonnes,6410500,35000,183.157143,64313.3,99.676117,impossible_yield,True
iia,japan,JPN-1895-1945,"tobacco, unmanufactured",1940,,tonnes,8705400,49000,177.661224,64313.3,135.359249,impossible_yield,True
iia,lebanon,LBN-1920-1944,"tobacco, unmanufactured",,1934-1938,tonnes,108000,2000,54,,,impossible_yield,True
iia,lebanon,LBN-1920-1944,"tobacco, unmanufactured",1939,,tonnes,62400,1000,62.4,,,impossible_yield,True
iia,lebanon,LBN-1920-1944,"tobacco, unmanufactured",1940,,tonnes,76000,1000,76,,,impossible_yield,True
iia,lebanon,LBN-1920-1944,"tobacco, unmanufactured",1941,,tonnes,49700,1000,49.7,,,impossible_yield,True
iia,lebanon,LBN-1920-1944,"tobacco, unmanufactured",1942,,tonnes,44800,1000,44.8,,,impossible_yield,True
iia,lebanon,LBN-1920-1944,"tobacco, unmanufactured",1943,,tonnes,23600,1000,23.6,,,impossible_yield,True
iia,lebanon,LBN-1944-2025,"tobacco, unmanufactured",1944,,tonnes,74900,1000,74.9,,,impossible_yield,True
iia,madagascar,MDG-1882-2025,"tobacco, unmanufactured",,1934-1938,tonnes,559200,7000,79.885714,1906.6,293.296968,impossible_yield,True
iia,madagascar,MDG-1882-2025,"tobacco, unmanufactured",1945,,tonnes,193300,3000,64.433333,1906.6,101.384664,impossible_yield,True
iia,malawi,MWI-1891-1953,"tobacco, unmanufactured",,1934-1938,tonnes,129900,3000,43.3,3314.5,39.191432,impossible_yield,True
iia,malawi,MWI-1891-1953,"tobacco, unmanufactured",1945,,tonnes,101200,2000,50.6,3314.5,30.532509,impossible_yield,True
iia,mali,MLI-1890-1960,"tobacco, unmanufactured",,1934-1938,tonnes,139000,2000,69.5,1600,86.875,impossible_yield,True
iia,mali,MLI-1890-1960,"tobacco, unmanufactured",1934,,tonnes,150000,3000,50,1600,93.75,impossible_yield,True
iia,mali,MLI-1890-1960,"tobacco, unmanufactured",1935,,tonnes,155000,3000,51.666667,1600,96.875,impossible_yield,True
iia,mali,MLI-1890-1960,"tobacco, unmanufactured",1936,,tonnes,150000,1000,150,1600,93.75,impossible_yield,True
iia,mali,MLI-1890-1960,"tobacco, unmanufactured",1937,,tonnes,120000,1000,120,1600,75,impossible_yield,True
iia,mexico,MEX-1848-2025,"tobacco, unmanufactured",,1934-1938,tonnes,1543100,18000,85.727778,12000,128.591667,impossible_yield,True
iia,morocco,MAR-1911-1958,"tobacco, unmanufactured",1939,,tonnes,41100,1000,41.1,201.35,204.122175,impossible_yield,True
iia,morocco,MAR-1911-1958,"tobacco, unmanufactured",1940,,tonnes,60100,1000,60.1,201.35,298.485225,impossible_yield,True
iia,morocco,MAR-1911-1958,"tobacco, unmanufactured",1941,,tonnes,60500,1000,60.5,201.35,300.471815,impossible_yield,True
iia,morocco,MAR-1911-1958,"tobacco, unmanufactured",1942,,tonnes,51700,1000,51.7,201.35,256.766824,impossible_yield,True
iia,morocco,MAR-1911-1958,"tobacco, unmanufactured",1943,,tonnes,103400,1000,103.4,201.35,513.533648,impossible_yield,True
iia,morocco,MAR-1911-1958,"tobacco, unmanufactured",1944,,tonnes,100500,1000,100.5,201.35,499.130867,impossible_yield,True
iia,myanmar,MMR-1885-2025,"tobacco, unmanufactured",,1934-1938,tonnes,4519600,40000,112.99,4938000,0.915269,impossible_yield,True
iia,myanmar,MMR-1885-2025,"tobacco, unmanufactured",1940,,tonnes,6247200,56000,111.557143,4938000,1.265128,impossible_yield,True
iia,new zealand,NZL-1840-2025,hops,,1934-1938,tonnes,39700,300,132.333333,365,108.767123,impossible_yield,True
iia,new zealand,NZL-1840-2025,"tobacco, unmanufactured",,1934-1938,tonnes,62000,1000,62,580.25,106.850495,impossible_yield,True
iia,new zealand,NZL-1840-2025,"tobacco, unmanufactured",1934,,tonnes,50200,1000,50.2,580.25,86.514433,impossible_yield,True
iia,new zealand,NZL-1840-2025,"tobacco, unmanufactured",1935,,tonnes,48300,1000,48.3,580.25,83.239983,impossible_yield,True
iia,new zealand,NZL-1840-2025,"tobacco, unmanufactured",1936,,tonnes,68700,1000,68.7,580.25,118.397243,impossible_yield,True
iia,new zealand,NZL-1840-2025,"tobacco, unmanufactured",1937,,tonnes,79300,1000,79.3,580.25,136.665231,impossible_yield,True
iia,new zealand,NZL-1840-2025,"tobacco, unmanufactured",1939,,tonnes,99800,1000,99.8,580.25,171.99483,impossible_yield,True
iia,new zealand,NZL-1840-2025,"tobacco, unmanufactured",1940,,tonnes,142100,1000,142.1,580.25,244.894442,impossible_yield,True
iia,new zealand,NZL-1840-2025,"tobacco, unmanufactured",1941,,tonnes,123400,1000,123.4,580.25,212.666954,impossible_yield,True
iia,new zealand,NZL-1840-2025,"tobacco, unmanufactured",1942,,tonnes,144500,1000,144.5,580.25,249.03059,impossible_yield,True
iia,new zealand,NZL-1840-2025,"tobacco, unmanufactured",1943,,tonnes,139100,1000,139.1,580.25,239.724257,impossible_yield,True
iia,new zealand,NZL-1840-2025,"tobacco, unmanufactured",1944,,tonnes,149100,1000,149.1,580.25,256.958208,impossible_yield,True
iia,new zealand,NZL-1840-2025,"tobacco, unmanufactured",1945,,tonnes,158800,1000,158.8,580.25,273.67514,impossible_yield,True
iia,nicaragua,NIC-1800-2025,"tobacco, unmanufactured",,1934-1938,tonnes,55000,1000,55,73300,0.750341,impossible_yield,True
iia,niger,NER-1922-1947,"tobacco, unmanufactured",,1934-1938,tonnes,44900,1000,44.9,170.35,263.574993,impossible_yield,True
iia,niger,NER-1922-1947,"tobacco, unmanufactured",1934,,tonnes,42400,1000,42.4,170.35,248.899325,impossible_yield,True
iia,niger,NER-1922-1947,"tobacco, unmanufactured",1935,,tonnes,50000,1000,50,170.35,293.513355,impossible_yield,True
iia,niger,NER-1922-1947,"tobacco, unmanufactured",1937,,tonnes,35000,1000,35,170.35,205.459348,impossible_yield,True
iia,niger,NER-1922-1947,"tobacco, unmanufactured",1939,,tonnes,36000,1000,36,170.35,211.329615,impossible_yield,True
iia,niger,NER-1922-1947,"tobacco, unmanufactured",1940,,tonnes,43000,1000,43,170.35,252.421485,impossible_yield,True
iia,niger,NER-1922-1947,"tobacco, unmanufactured",1941,,tonnes,50500,1000,50.5,170.35,296.448488,impossible_yield,True
iia,niger,NER-1922-1947,"tobacco, unmanufactured",1942,,tonnes,39800,1000,39.8,170.35,233.63663,impossible_yield,True
iia,niger,NER-1922-1947,"tobacco, unmanufactured",1943,,tonnes,48000,1000,48,170.35,281.772821,impossible_yield,True
iia,niger,NER-1922-1947,"tobacco, unmanufactured",1944,,tonnes,47000,1000,47,170.35,275.902554,impossible_yield,True
iia,paraguay,PRY-1932-1938,"tobacco, unmanufactured",,1934-1938,tonnes,765300,9000,85.033333,10670.3,71.722445,impossible_yield,True
iia,philippines,PHL-1800-2025,"tobacco, unmanufactured",,1934-1938,tonnes,3212700,65000,49.426154,46232.4,69.490228,impossible_yield,True
iia,philippines,PHL-1800-2025,"tobacco, unmanufactured",1940,,tonnes,3440600,72000,47.786111,46232.4,74.419671,impossible_yield,True
iia,poland,POL-1921-1945,hops,,1934-1938,tonnes,177200,3200,55.375,1971.8,89.867126,impossible_yield,True
iia,poland,POL-1921-1945,"tobacco, unmanufactured",,1934-1938,tonnes,1137200,6000,189.533333,382836,2.970463,impossible_yield,True
iia,romania,ROU-1920-1940,"tobacco, unmanufactured",,1934-1938,tonnes,1132300,16000,70.76875,19252.5,58.813141,impossible_yield,True
iia,russian federation,F228-1921-1940,hops,,1934-1938,tonnes,100000,2000,50,4416.15,22.644158,impossible_yield,True
iia,russian federation,F228-1921-1940,"tobacco, unmanufactured",,1934-1938,tonnes,22403500,199000,112.580402,100536.05,222.840464,impossible_yield,True
iia,russian federation,F228-1921-1940,"tobacco, unmanufactured",1934,,tonnes,17207000,191000,90.089005,100536.05,171.152537,impossible_yield,True
iia,russian federation,F228-1921-1940,"tobacco, unmanufactured",1936,,tonnes,27600000,203000,135.960591,100536.05,274.528391,impossible_yield,True
iia,serbia,F248-1920-1947,hops,,1934-1938,tonnes,180400,2700,66.814815,1550.95,116.315806,impossible_yield,True
iia,serbia,F248-1920-1947,hops,1939,,tonnes,181500,2800,64.821429,1550.95,117.025049,impossible_yield,True
iia,serbia,F248-1920-1947,"tobacco, unmanufactured",,1934-1938,tonnes,1348200,15000,89.88,12061.2,111.779922,impossible_yield,True
iia,serbia,F248-1920-1947,"tobacco, unmanufactured",1934,,tonnes,604900,7000,86.414286,12061.2,50.152555,impossible_yield,True
iia,serbia,F248-1920-1947,"tobacco, unmanufactured",1935,,tonnes,924900,12000,77.075,12061.2,76.683912,impossible_yield,True
iia,serbia,F248-1920-1947,"tobacco, unmanufactured",1936,,tonnes,1662400,18000,92.355556,12061.2,137.830398,impossible_yield,True
iia,serbia,F248-1920-1947,"tobacco, unmanufactured",1937,,tonnes,2078300,21000,98.966667,12061.2,172.312871,impossible_yield,True
iia,serbia,F248-1920-1947,"tobacco, unmanufactured",1938,,tonnes,1470800,16000,91.925,12061.2,121.944748,impossible_yield,True
iia,serbia,F248-1920-1947,"tobacco, unmanufactured",1939,,tonnes,1543300,18000,85.738889,12061.2,127.955759,impossible_yield,True
iia,serbia,F248-1920-1947,"tobacco, unmanufactured",1945,,tonnes,1270100,14000,90.721429,12061.2,105.304613,impossible_yield,True
iia,south africa,ZAF-1910-2025,"tobacco, unmanufactured",,1934-1938,tonnes,913100,14000,65.221429,6786.3,134.550491,impossible_yield,True
iia,south korea,KOR-1800-1945,"tobacco, unmanufactured",,1934-1938,tonnes,2252500,17000,132.5,13781.7,163.441375,impossible_yield,True
iia,south korea,KOR-1800-1945,"tobacco, unmanufactured",1934,,tonnes,1540400,15000,102.693333,13781.7,111.771407,impossible_yield,True
