label,product,variable,unit,year,kind,volume_a,value_a,volume_b,value_b,ratio
austria,flax: fibre,production,tonnes,1933,revised,iia_1933_34,2839.5,iia_1938_39,600,4.7325
austria,hemp: fibre,production,tonnes,1933,revised,iia_1933_34,598.8,iia_1938_39,100,5.9880
austria,hops,area,hectares,1933,revised,iia_1933_34,56,iia_1938_39,1000,17.8571
austria,hops,production,tonnes,1920,revised,iia_1909_21,39.3,iia_1925_26,38.9,1.0103
austria,hops,production,tonnes,1933,revised,iia_1933_34,67.2,iia_1938_39,6700,99.7024
austria,linseed,area,hectares,1933,revised,iia_1933_34,1127,iia_1938_39,1000,1.1270
austria,linseed,production,tonnes,1933,revised,iia_1933_34,437.2,iia_1938_39,400,1.0930
austria,rapeseed,area,hectares,1933,revised,iia_1933_34,1804,iia_1938_39,2000,1.1086
austria,rapeseed,production,tonnes,1920,revised,iia_1909_21,780.1,iia_1925_26,1109.5,1.4223
austria,rapeseed,production,tonnes,1933,revised,iia_1933_34,2114.1,iia_1938_39,2100,1.0067
austria,rye,area,hectares,1933,revised,iia_1933_34,387545,iia_1938_39,388000,1.0012
austria,rye,production,tonnes,1933,revised,iia_1933_34,686960.9,iia_1938_39,687000,1.0001
austria,soybean,production,tonnes,1933,revised,iia_1933_34,327.9,iia_1938_39,300,1.0930
austria,spelt,area,hectares,1933,revised,iia_1933_34,6,iia_1938_39,9000,1500.0000
austria,spelt,production,tonnes,1933,revised,iia_1933_34,13.3,iia_1938_39,11600,872.1805
austria,sugar: beet,production,tonnes,1933,revised,iia_1933_34,170459.2,iia_1938_39,150000,1.1364
austria,wine,production,tonnes,1933,revised,iia_1933_34,84623.175,iia_1938_39,84630,1.0001
belgian congo,coffee: raw,production,tonnes,1933,revised,iia_1933_34,7566,iia_1938_39,10000,1.3217
belgian congo,sugar: cane,production,tonnes,1933,revised,iia_1933_34,7850,iia_1938_39,7800,1.0064
belgian ruanda-urundi,cottonseed,area,hectares,1933,revised,iia_1933_34,3077,iia_1938_39,3000,1.0257
belgian ruanda-urundi,cottonseed,production,tonnes,1933,revised,iia_1933_34,1190,iia_1938_39,1200,1.0084
belgian ruanda-urundi,groundnut,area,hectares,1933,revised,iia_1933_34,2330,iia_1938_39,2000,1.1650
belgian ruanda-urundi,groundnut,production,tonnes,1933,revised,iia_1933_34,1599,iia_1938_39,1600,1.0006
belgian ruanda-urundi,tobacco,production,tonnes,1933,revised,iia_1933_34,525,iia_1938_39,52500,100.0000
belgium,fertilizers: copper(ii) sulfate,production,tonnes,1933,revised,iia_1933_34,38386,iia_1938_39,38400,1.0004
belgium,"fertilizers: phosphate, natural",production,tonnes,1933,revised,iia_1933_34,25130,iia_1938_39,25100,1.0012
belgium,flax: fibre,area,hectares,1933,revised,iia_1933_34,10812,iia_1938_39,11000,1.0174
belgium,flax: fibre,production,tonnes,1933,revised,iia_1933_34,16864.7,iia_1938_39,7800,2.1621
belgium,hops,area,hectares,1933,revised,iia_1933_34,597,iia_1938_39,6000,10.0503
belgium,hops,production,tonnes,1920,revised,iia_1909_21,2285.3,iia_1925_26,1516.7,1.5068
belgium,hops,production,tonnes,1933,revised,iia_1933_34,716.7,iia_1938_39,71700,100.0419
belgium,linseed,area,hectares,1933,revised,iia_1933_34,10812,iia_1938_39,11000,1.0174
belgium,linseed,production,tonnes,1933,revised,iia_1933_34,6080.7,iia_1938_39,6900,1.1347
belgium,meslin,area,hectares,1933,revised,iia_1933_34,3400,iia_1938_39,14000,4.1176
belgium,meslin,production,tonnes,1933,revised,iia_1933_34,5715.3,iia_1938_39,30700,5.3715
belgium,rapeseed,production,tonnes,1920,revised,iia_1909_21,2379.3,iia_1925_26,687.9,3.4588
belgium,rapeseed,production,tonnes,1933,revised,iia_1933_34,100.9,iia_1938_39,100,1.0090
belgium,rye,area,hectares,1933,revised,iia_1933_34,224164,iia_1938_39,224000,1.0007
belgium,rye,production,tonnes,1933,revised,iia_1933_34,566693.5,iia_1938_39,566700,1.0000
belgium,spelt,area,hectares,1933,revised,iia_1933_34,14376,iia_1938_39,3000,4.7920
belgium,spelt,production,tonnes,1933,revised,iia_1933_34,30736.9,iia_1938_39,5700,5.3924
belgium,sugar: beet,production,tonnes,1933,revised,iia_1933_34,243107.5,iia_1938_39,221000,1.1000
belgium,tobacco,area,hectares,1933,revised,iia_1933_34,2688,iia_1938_39,3000,1.1161
belgium,tobacco,production,tonnes,1933,revised,iia_1933_34,6385.1,iia_1938_39,638500,99.9984
brazil,cacao: raw,production,tonnes,1933,revised,iia_1933_34,90000,iia_1938_39,107900,1.1989
brazil,coffee: raw,production,tonnes,1933,revised,iia_1933_34,860000,iia_1938_39,1776600,2.0658
brazil,cottonseed,area,hectares,1933,revised,iia_1933_34,790000,iia_1938_39,1154000,1.4608
brazil,cottonseed,production,tonnes,1933,revised,iia_1933_34,634000,iia_1938_39,512100,1.2380
brazil,rye,production,tonnes,1933,revised,iia_1933_34,17.5,iia_1938_39,16000,914.2857
brazil,sugar: cane,production,tonnes,1933,revised,iia_1933_34,650000,iia_1938_39,1084600,1.6686
brazil,tobacco,production,tonnes,1933,revised,iia_1933_34,110000,iia_1938_39,9954000,90.4909
brazil,wine,production,tonnes,1933,revised,iia_1933_34,182000,iia_1938_39,47866,3.8023
british aden,coffee: raw,production,tonnes,1933,revised,iia_1933_34,4485.3,iia_1938_39,4500,1.0033
british antigua,sugar: cane,production,tonnes,1933,revised,iia_1933_34,2100,iia_1938_39,21000,10.0000
british barbados,sugar: cane,production,tonnes,1933,revised,iia_1933_34,18693.4,iia_1938_39,56650,3.0305
british bermuda,eggs,production,tonnes,1932,revised,iia_1933_34,81.4968,iia_1938_39,107.8,1.3228
british bermuda,eggs,production,tonnes,1933,revised,iia_1933_34,81.4968,iia_1938_39,107.8,1.3228
british borneo,tobacco,production,tonnes,1933,revised,iia_1933_34,179.2,iia_1938_39,17900,99.8884
british brunei,eggs,production,tonnes,1932,revised,iia_1933_34,64.68,iia_1938_39,53.9,1.2000
british brunei,eggs,production,tonnes,1933,revised,iia_1933_34,64.68,iia_1938_39,53.9,1.2000
british ceylon,cacao: raw,production,tonnes,1933,revised,iia_1933_34,4001,iia_1938_39,4100,1.0247
british ceylon,cottonseed,area,hectares,1933,revised,iia_1933_34,800,iia_1938_39,1000,1.2500
british ceylon,tea,production,tonnes,1933,revised,iia_1933_34,97922.118,iia_1938_39,97922,1.0000
british ceylon,tobacco,area,hectares,1933,revised,iia_1933_34,5700,iia_1938_39,6000,1.0526
british cyprus,citrus fruits: lemons,production,tonnes,1933,revised,iia_1933_34,1277,iia_1938_39,1300,1.0180
british cyprus,citrus fruits: oranges,production,tonnes,1933,revised,iia_1933_34,5275,iia_1938_39,5300,1.0047
british cyprus,cottonseed,area,hectares,1933,revised,iia_1933_34,1925,iia_1938_39,2000,1.0390
british cyprus,cottonseed,production,tonnes,1933,revised,iia_1933_34,390,iia_1938_39,400,1.0256
british cyprus,flax: fibre,area,hectares,1933,revised,iia_1933_34,816,iia_1938_39,1000,1.2255
british cyprus,flax: fibre,production,tonnes,1933,revised,iia_1933_34,234.3,iia_1938_39,200,1.1715
british cyprus,linseed,production,tonnes,1933,revised,iia_1933_34,388.7,iia_1938_39,400,1.0291
british cyprus,olive grove,production,tonnes,1933,revised,iia_1933_34,1626.6,iia_1938_39,1800,1.1066
british cyprus,olive: oil,production,tonnes,1933,revised,iia_1933_34,191.7,iia_1938_39,200,1.0433
british cyprus,sesame,area,hectares,1933,revised,iia_1933_34,562,iia_1938_39,1000,1.7794
british cyprus,tobacco,production,tonnes,1933,revised,iia_1933_34,207.6,iia_1938_39,20800,100.1927
british cyprus,wine,production,tonnes,1933,revised,iia_1933_34,11425.141,iia_1938_39,9737,1.1734
british dominica,citrus fruits: limes,production,tonnes,1933,revised,iia_1933_34,2610,iia_1938_39,2600,1.0038
british fiji islands,sugar: cane,production,tonnes,1933,revised,iia_1933_34,117000,iia_1938_39,106700,1.0965
british gambia,groundnut,production,tonnes,1933,revised,iia_1933_34,68451.1,iia_1938_39,68500,1.0007
british gold coast,cacao: raw,production,tonnes,1933,revised,iia_1933_34,210800,iia_1938_39,212600,1.0085
british grenada,cacao: raw,production,tonnes,1933,revised,iia_1933_34,4360,iia_1938_39,4400,1.0092
british guiana,cacao: raw,area,hectares,1933,revised,iia_1933_34,323,iia_1938_39,3000,9.2879
british guiana,coffee: raw,area,hectares,1933,revised,iia_1933_34,1874,iia_1938_39,2000,1.0672
british guiana,sugar: cane,production,tonnes,1933,revised,iia_1933_34,132000,iia_1938_39,134400,1.0182
british india,rapeseed,production,tonnes,1920,revised,iia_1909_21,585751.05,iia_1925_26,593350,1.0130
british iraq,cottonseed,production,tonnes,1933,revised,iia_1933_34,216,iia_1938_39,200,1.0800
british jamaica,cacao: raw,area,hectares,1933,revised,iia_1933_34,390,iia_1938_39,4000,10.2564
british jamaica,coffee: raw,area,hectares,1933,revised,iia_1933_34,2535,iia_1938_39,3000,1.1834
british jamaica,sugar: cane,production,tonnes,1933,revised,iia_1933_34,73000,iia_1938_39,73600,1.0082
british kenya,coffee: raw,area,hectares,1933,revised,iia_1933_34,41374,iia_1938_39,38500,1.0746
british kenya,coffee: raw,production,tonnes,1933,revised,iia_1933_34,13631.9,iia_1938_39,13600,1.0023
british kenya,cottonseed,production,tonnes,1933,revised,iia_1933_34,2850,iia_1938_39,2900,1.0175
british kenya,eggs,production,tonnes,1932,revised,iia_1933_34,57.3496,iia_1938_39,53.9,1.0640
british kenya,eggs,production,tonnes,1933,revised,iia_1933_34,64.7339,iia_1938_39,53.9,1.2010
british kenya,groundnut,production,tonnes,1933,revised,iia_1933_34,403.4,iia_1938_39,400,1.0085
british kenya,sesame,production,tonnes,1933,revised,iia_1933_34,3294,iia_1938_39,3300,1.0018
british kenya,sugar: cane,production,tonnes,1933,revised,iia_1933_34,5808.7,iia_1938_39,5800,1.0015
british kenya,tea,area,hectares,1933,revised,iia_1933_34,5047,iia_1938_39,5000,1.0094
british kenya,tea,production,tonnes,1933,revised,iia_1933_34,1389.658,iia_1938_39,1390,1.0002
british malaya,coffee: raw,area,hectares,1933,revised,iia_1933_34,7517,iia_1938_39,8000,1.0643
british malaya,tea,area,hectares,1933,revised,iia_1933_34,1016,iia_1938_39,1000,1.0160
british mauritius,sugar: cane,production,tonnes,1933,revised,iia_1933_34,261459,iia_1938_39,261500,1.0002
british montserrat,citrus fruits: limes,production,tonnes,1933,revised,iia_1933_34,617.9,iia_1938_39,600,1.0298
british montserrat,cottonseed,area,hectares,1933,revised,iia_1933_34,883,iia_1938_39,1000,1.1325
british nauru,"fertilizers: phosphate, natural",production,tonnes,1933,revised,iia_1933_34,97,iia_1938_39,369500,3809.2784
british newfoundland,eggs,production,tonnes,1933,revised,iia_1933_34,857.6568,iia_1938_39,862.4,1.0055
british nigeria,cacao: raw,production,tonnes,1933,revised,iia_1933_34,69481,iia_1938_39,68500,1.0143
british nigeria,cottonseed,production,tonnes,1933,revised,iia_1933_34,10990,iia_1938_39,11000,1.0009
british nigeria,groundnut,production,tonnes,1933,revised,iia_1933_34,296984.8,iia_1938_39,297000,1.0001
british nigeria,sesame,production,tonnes,1933,revised,iia_1933_34,9813,iia_1938_39,9800,1.0013
british nyasaland,coffee: raw,production,tonnes,1933,revised,iia_1933_34,57.3,iia_1938_39,100,1.7452
british nyasaland,cottonseed,area,hectares,1933,revised,iia_1933_34,6119,iia_1938_39,6000,1.0198
british nyasaland,cottonseed,production,tonnes,1933,revised,iia_1933_34,1133.5,iia_1938_39,11250,9.9250
british nyasaland,tea,area,hectares,1933,revised,iia_1933_34,5597,iia_1938_39,6000,1.0720
british nyasaland,tea,production,tonnes,1933,revised,iia_1933_34,1383.338,iia_1938_39,1383,1.0002
british nyasaland,tobacco,area,hectares,1933,revised,iia_1933_34,3182,iia_1938_39,6500,2.0427
british nyasaland,tobacco,production,tonnes,1933,revised,iia_1933_34,1582.1,iia_1938_39,286200,180.8988
british ocean island,"fertilizers: phosphate, natural",production,tonnes,1933,revised,iia_1933_34,191779,iia_1938_39,191800,1.0001
british palestine,olive grove,production,tonnes,1933,revised,iia_1933_34,3599,iia_1938_39,3600,1.0003
british palestine,sesame,production,tonnes,1933,revised,iia_1933_34,214,iia_1938_39,200,1.0700
british palestine,tobacco,area,hectares,1933,revised,iia_1933_34,933,iia_1938_39,1000,1.0718
british palestine,tobacco,production,tonnes,1933,revised,iia_1933_34,420.6,iia_1938_39,42100,100.0951
british palestine,wine,production,tonnes,1933,revised,iia_1933_34,2711.254,iia_1938_39,1456,1.8621
british saint christopher and nevis,cottonseed,production,tonnes,1933,revised,iia_1933_34,60,iia_1938_39,200,3.3333
british saint christopher and nevis,sugar: cane,production,tonnes,1933,revised,iia_1933_34,28715.5,iia_1938_39,28800,1.0029
british saint lucia,sugar: cane,production,tonnes,1933,revised,iia_1933_34,5700,iia_1938_39,5600,1.0179
british seychelles,"fertilizers: guano, natural",production,tonnes,1933,revised,iia_1933_34,12307,iia_1938_39,12300,1.0006
british southern rhodesia,eggs,production,tonnes,1932,revised,iia_1933_34,523.8541,iia_1938_39,539,1.0289
british southern rhodesia,eggs,production,tonnes,1933,revised,iia_1933_34,474.8051,iia_1938_39,485.1,1.0217
british tanganyika,coffee: raw,production,tonnes,1933,revised,iia_1933_34,12922,iia_1938_39,12900,1.0017
british tanganyika,cottonseed,production,tonnes,1933,revised,iia_1933_34,12060,iia_1938_39,13000,1.0779
british tanganyika,groundnut,production,tonnes,1933,revised,iia_1933_34,27840,iia_1938_39,27800,1.0014
british tanganyika,sesame,production,tonnes,1933,revised,iia_1933_34,4512.2,iia_1938_39,4500,1.0027
british transjordan,eggs,production,tonnes,1932,revised,iia_1933_34,1585.3068,iia_1938_39,1563.1,1.0142
british transjordan,eggs,production,tonnes,1933,revised,iia_1933_34,1619.9645,iia_1938_39,1617,1.0018
british transjordan,tobacco,production,tonnes,1933,revised,iia_1933_34,19.9,iia_1938_39,2000,100.5025
british trinidad and tobago,cacao: raw,production,tonnes,1933,revised,iia_1933_34,13180,iia_1938_39,12200,1.0803
british trinidad and tobago,coffee: raw,production,tonnes,1933,revised,iia_1933_34,153.9,iia_1938_39,200,1.2995
british trinidad and tobago,sugar: cane,production,tonnes,1933,revised,iia_1933_34,107032,iia_1938_39,107000,1.0003
british uganda,coffee: raw,area,hectares,1933,revised,iia_1933_34,17029,iia_1938_39,17000,1.0017
british uganda,coffee: raw,production,tonnes,1933,revised,iia_1933_34,5102.8,iia_1938_39,5100,1.0005
british uganda,cottonseed,area,hectares,1933,revised,iia_1933_34,441364,iia_1938_39,441000,1.0008
british uganda,cottonseed,production,tonnes,1933,revised,iia_1933_34,118370,iia_1938_39,120800,1.0205
british uganda,groundnut,area,hectares,1933,revised,iia_1933_34,5103,iia_1938_39,51000,9.9941
british uganda,sesame,area,hectares,1933,revised,iia_1933_34,81643,iia_1938_39,82000,1.0044
british uganda,tobacco,area,hectares,1933,revised,iia_1933_34,1644,iia_1938_39,2000,1.2165
british‑egyptian sudan,cottonseed,area,hectares,1933,revised,iia_1933_34,134818,iia_1938_39,135000,1.0013
british‑egyptian sudan,cottonseed,production,tonnes,1933,revised,iia_1933_34,68230,iia_1938_39,66100,1.0322
british‑egyptian sudan,groundnut,area,hectares,1933,revised,iia_1933_34,12369,iia_1938_39,12000,1.0308
british‑egyptian sudan,groundnut,production,tonnes,1933,revised,iia_1933_34,5988,iia_1938_39,6000,1.0020
british‑egyptian sudan,sesame,area,hectares,1933,revised,iia_1933_34,58169,iia_1938_39,58000,1.0029
british‑egyptian sudan,sesame,production,tonnes,1933,revised,iia_1933_34,15675,iia_1938_39,15700,1.0016
british‑french cameroon,cacao: raw,production,tonnes,1933,revised,iia_1933_34,3800,iia_1938_39,11600,3.0526
british‑french cameroon,groundnut,production,tonnes,1933,revised,iia_1933_34,24510,iia_1938_39,24500,1.0004
british‑french cameroon,sesame,area,hectares,1933,revised,iia_1933_34,10650,iia_1938_39,2000,5.3250
british‑french cameroon,sesame,production,tonnes,1933,revised,iia_1933_34,3205,iia_1938_39,700,4.5786
british‑french new hebrides,coffee: raw,production,tonnes,1933,revised,iia_1933_34,439.9,iia_1938_39,400,1.0998
bulgaria,blackberries,area,hectares,1933,revised,iia_1933_34,4402,iia_1938_39,4000,1.1005
bulgaria,blackberries,production,tonnes,1933,revised,iia_1933_34,33108.8,iia_1938_39,33100,1.0003
bulgaria,cottonseed,area,hectares,1933,revised,iia_1933_34,20533,iia_1938_39,21000,1.0227
bulgaria,cottonseed,production,tonnes,1933,revised,iia_1933_34,6350,iia_1938_39,6400,1.0079
bulgaria,flax: fibre,production,tonnes,1933,revised,iia_1933_34,106.6,iia_1938_39,100,1.0660
bulgaria,groundnut,production,tonnes,1933,revised,iia_1933_34,302.8,iia_1938_39,300,1.0093
bulgaria,hemp: fibre,area,hectares,1933,revised,iia_1933_34,5272,iia_1938_39,5000,1.0544
bulgaria,hemp: fibre,production,tonnes,1933,revised,iia_1933_34,2128.7,iia_1938_39,2100,1.0137
bulgaria,hempseed,area,hectares,1933,revised,iia_1933_34,5272,iia_1938_39,5000,1.0544
bulgaria,hempseed,production,tonnes,1933,revised,iia_1933_34,1703.9,iia_1938_39,1700,1.0023
bulgaria,linseed,production,tonnes,1933,revised,iia_1933_34,203.7,iia_1938_39,200,1.0185
bulgaria,meslin,area,hectares,1933,revised,iia_1933_34,92168,iia_1938_39,12000,7.6807
bulgaria,meslin,production,tonnes,1933,revised,iia_1933_34,115096.1,iia_1938_39,11900,9.6719
bulgaria,rapeseed,area,hectares,1933,revised,iia_1933_34,69,iia_1938_39,1000,14.4928
bulgaria,rapeseed,production,tonnes,1920,revised,iia_1909_21,1391.6,iia_1925_26,434.7,3.2013
bulgaria,rapeseed,production,tonnes,1933,revised,iia_1933_34,897.3,iia_1938_39,900,1.0030
bulgaria,rye,area,hectares,1933,revised,iia_1933_34,208627,iia_1938_39,209000,1.0018
bulgaria,rye,production,tonnes,1933,revised,iia_1933_34,245956.7,iia_1938_39,246000,1.0002
bulgaria,sesame,area,hectares,1933,revised,iia_1933_34,10393,iia_1938_39,10000,1.0393
bulgaria,sesame,production,tonnes,1933,revised,iia_1933_34,3395.5,iia_1938_39,3400,1.0013
bulgaria,spelt,area,hectares,1933,revised,iia_1933_34,11784,iia_1938_39,92000,7.8072
bulgaria,spelt,production,tonnes,1933,revised,iia_1933_34,11889.9,iia_1938_39,115100,9.6805
bulgaria,sugar: beet,production,tonnes,1933,revised,iia_1933_34,41545.7,iia_1938_39,40400,1.0284
bulgaria,tobacco,area,hectares,1933,revised,iia_1933_34,27209,iia_1938_39,27000,1.0077
bulgaria,tobacco,production,tonnes,1933,revised,iia_1933_34,24455.6,iia_1938_39,2445600,100.0016
bulgaria,wine,production,tonnes,1933,revised,iia_1933_34,217345.492,iia_1938_39,138593,1.5682
canada,eggs,production,tonnes,1929,revised,iia_1929_30,179872.8701,iia_1933_34,146658.666,1.2265
canada,eggs,production,tonnes,1932,revised,iia_1933_34,148415.3748,iia_1938_39,148440.6,1.0002
canada,eggs,production,tonnes,1933,revised,iia_1933_34,136206.378,iia_1938_39,143751.3,1.0554
canada,fertilizers: ammonium sulfate,production,tonnes,1933,revised,iia_1933_34,74874,iia_1938_39,74900,1.0003
canada,fertilizers: calcium superphosphate,production,tonnes,1933,revised,iia_1933_34,31425,iia_1938_39,31400,1.0008
canada,"fertilizers: phosphate, natural",production,tonnes,1933,revised,iia_1933_34,2008,iia_1938_39,2000,1.0040
canada,flax: fibre,area,hectares,1933,revised,iia_1933_34,2060,iia_1938_39,2000,1.0300
canada,flax: fibre,production,tonnes,1933,revised,iia_1933_34,1385.75,iia_1938_39,2800,2.0206
canada,hops,area,hectares,1933,revised,iia_1933_34,398,iia_1938_39,4000,10.0503
canada,hops,production,tonnes,1920,revised,iia_1909_21,391.3,iia_1925_26,308.8,1.2672
canada,hops,production,tonnes,1933,revised,iia_1933_34,670.1,iia_1938_39,67000,99.9851
canada,linseed,area,hectares,1933,revised,iia_1933_34,50330,iia_1938_39,50500,1.0034
canada,linseed,production,tonnes,1933,revised,iia_1933_34,16050,iia_1938_39,8450,1.8994
canada,rye,area,hectares,1933,revised,iia_1933_34,235969,iia_1938_39,236000,1.0001
canada,sugar: beet,production,tonnes,1933,revised,iia_1933_34,67730,iia_1938_39,59600,1.1364
canada,tobacco,area,hectares,1933,revised,iia_1933_34,18596,iia_1938_39,19000,1.0217
canada,tobacco,production,tonnes,1933,revised,iia_1933_34,20354,iia_1938_39,2036800,100.0688
chile,fertilizers: sodium nitrate,production,tonnes,1933,revised,iia_1933_34,443000,iia_1938_39,437700,1.0121
china,cottonseed,area,hectares,1933,revised,iia_1933_34,2485500,iia_1938_39,2485000,1.0002
china,cottonseed,production,tonnes,1933,revised,iia_1933_34,1376750,iia_1938_39,1359200,1.0129
china,groundnut,production,tonnes,1933,revised,iia_1933_34,191860,iia_1938_39,2980600,15.5353
china,rapeseed,production,tonnes,1933,revised,iia_1933_34,16540.6,iia_1938_39,2106600,127.3593
china,sesame,production,tonnes,1933,revised,iia_1933_34,33442.3,iia_1938_39,963400,28.8078
china,tea,production,tonnes,1933,revised,iia_1933_34,41939.7,iia_1938_39,40957,1.0240
colombia,coffee: raw,production,tonnes,1933,revised,iia_1933_34,203000,iia_1938_39,230400,1.1350
costa rica,coffee: raw,production,tonnes,1933,revised,iia_1933_34,18000,iia_1938_39,19100,1.0611
cuba,coffee: raw,area,hectares,1933,revised,iia_1933_34,42576,iia_1938_39,56000,1.3153
cuba,coffee: raw,production,tonnes,1933,revised,iia_1933_34,23680.8,iia_1938_39,26400,1.1148
cuba,sugar: cane,production,tonnes,1933,revised,iia_1933_34,2310798.7,iia_1938_39,2210000,1.0456
cuba,tobacco,area,hectares,1933,revised,iia_1933_34,45474,iia_1938_39,45000,1.0105
cuba,tobacco,production,tonnes,1933,revised,iia_1933_34,16488.9,iia_1938_39,1672200,101.4137
czechoslovakia,fertilizers: ammonium sulfate,production,tonnes,1933,revised,iia_1933_34,31950,iia_1938_39,32000,1.0016
czechoslovakia,fertilizers: bone superphosphate,production,tonnes,1933,revised,iia_1933_34,3067,iia_1938_39,3100,1.0108
czechoslovakia,fertilizers: calcium cyanamide,production,tonnes,1933,revised,iia_1933_34,18330,iia_1938_39,16800,1.0911
czechoslovakia,fertilizers: calcium nitrate,production,tonnes,1933,revised,iia_1933_34,16762,iia_1938_39,18300,1.0918
czechoslovakia,"fertilizers: mineral, calcium superphosphate",production,tonnes,1933,revised,iia_1933_34,102512,iia_1938_39,102500,1.0001
czechoslovakia,flax: fibre,area,hectares,1933,revised,iia_1933_34,7098,iia_1938_39,7000,1.0140
czechoslovakia,flax: fibre,production,tonnes,1933,revised,iia_1933_34,3597.3,iia_1938_39,3600,1.0008
czechoslovakia,hemp: fibre,area,hectares,1933,revised,iia_1933_34,7627,iia_1938_39,8000,1.0489
czechoslovakia,hemp: fibre,production,tonnes,1933,revised,iia_1933_34,5337.8,iia_1938_39,5300,1.0071
czechoslovakia,hempseed,area,hectares,1933,revised,iia_1933_34,7627,iia_1938_39,8000,1.0489
czechoslovakia,hempseed,production,tonnes,1933,revised,iia_1933_34,3469,iia_1938_39,3500,1.0089
czechoslovakia,hops,area,hectares,1933,revised,iia_1933_34,10267,iia_1938_39,103000,10.0321
czechoslovakia,hops,production,tonnes,1920,revised,iia_1909_21,5265.6,iia_1925_26,5642.1,1.0715
czechoslovakia,hops,production,tonnes,1933,revised,iia_1933_34,6267.7,iia_1938_39,626800,100.0048
czechoslovakia,linseed,area,hectares,1933,revised,iia_1933_34,7098,iia_1938_39,7000,1.0140
czechoslovakia,linseed,production,tonnes,1933,revised,iia_1933_34,2676.7,iia_1938_39,2700,1.0087
czechoslovakia,meslin,production,tonnes,1933,revised,iia_1933_34,12438.1,iia_1938_39,700,17.7687
czechoslovakia,rapeseed,area,hectares,1933,revised,iia_1933_34,970,iia_1938_39,1000,1.0309
czechoslovakia,rapeseed,production,tonnes,1920,revised,iia_1909_21,7203.5,iia_1925_26,4251.6,1.6943
czechoslovakia,rapeseed,production,tonnes,1933,revised,iia_1933_34,1033.5,iia_1938_39,1000,1.0335
czechoslovakia,rye,area,hectares,1933,revised,iia_1933_34,1045658,iia_1938_39,1046000,1.0003
czechoslovakia,rye,production,tonnes,1933,revised,iia_1933_34,2085537.2,iia_1938_39,2085500,1.0000
czechoslovakia,slag: basic,production,tonnes,1933,revised,iia_1933_34,71383,iia_1938_39,71400,1.0002
czechoslovakia,spelt,area,hectares,1933,revised,iia_1933_34,440,iia_1938_39,7000,15.9091
czechoslovakia,spelt,production,tonnes,1933,revised,iia_1933_34,700.2,iia_1938_39,12400,17.7092
czechoslovakia,sugar: beet,production,tonnes,1933,revised,iia_1933_34,515766,iia_1938_39,455300,1.1328
czechoslovakia,tobacco,area,hectares,1933,revised,iia_1933_34,10030,iia_1938_39,10000,1.0030
czechoslovakia,tobacco,production,tonnes,1933,revised,iia_1933_34,11777.6,iia_1938_39,1177800,100.0034
czechoslovakia,wine,production,tonnes,1933,revised,iia_1933_34,30727.242,iia_1938_39,30758,1.0010
denmark,eggs,production,tonnes,1929,revised,iia_1929_30,59424.75,iia_1933_34,62516.6157,1.0520
denmark,eggs,production,tonnes,1933,revised,iia_1933_34,73074.7094,iia_1938_39,79664.2,1.0902
denmark,rye,area,hectares,1933,revised,iia_1933_34,14302,iia_1938_39,143000,9.9986
