source,label_pattern,item_pattern,convention,evidence,verified,verified_by,flow_type,origin_iso3,corroboration,retested,retest
iia,netherlands,*,"IIA's 'Netherlands' label denotes metropolitan (European) Netherlands only, excluding the Netherlands East Indies and other Dutch colonies, which IIA reports under separate colonial labels.","AGRONOMIC and concurrent: ZERO tropical items under `netherlands` against four under `indonesia` (cacao beans, coffee green, rubber natural, tea) across 33 SHARED years, 203 vs 378 rows. The Netherlands cannot grow any of them and the East Indies was a major producer of all four, so a folded-in colony would put them under the metropolitan label. Independently, state/iia_label_provenance.csv measures `netherlands` as territory_signal=clean, 95% its own raw label, with the Dutch colonies carried as separate raw labels (dutch east indies, dutch guiana, dutch new guinea, dutch curacao).",2026-08-18,assertion-verification (netherlands|iia|1909-1945),production,,verifier_plus_measurement,2026-08-18,check_iia_netherlands in pipelines/polity-autoimprove/11_retest_conventions.py
iia,austria,*,"IIA yearbook 'Austria' entries through 1917/1918 report Cisleithania (the Austrian half of Austria-Hungary, ~300,560 km2 including Bohemia, Moravia, Galicia, etc.), not rump/modern Austria — consistent with the Mitchell ISH convention already documented for this polity.","TEMPORAL STEP at the 1918 dissolution, independent of the magnitude-plausibility argument this was learned from: median pre-1918 vs 1920+ ratios are sugar raw centrifugal 938,389 -> 128,900 t (0.14), phosphate 323,050 -> 36,327 (0.11), hemp yarn 3,336 -> 352 (0.11), wine 310,305 -> 85,075 (0.27). Steeper than the 3.6x area ratio because Bohemia and Moravia were the empire's sugar-beet heartland and both left in 1918. A label meaning rump Austria throughout would show no step. CAVEAT: the label also draws ~12% of its values from raw `austria-hungary` (the whole monarchy) concurrently, which is why austria|iia|1909-1917 is quarantined rather than banked -- this establishes what the dominant 73% means.",2026-08-18,assertion-verification (austria|iia|1909-1917),production,,verifier_plus_measurement,2026-08-18,check_iia_austria in pipelines/polity-autoimprove/11_retest_conventions.py
iia,libya,*,"In the IIA raw extract, the plain label 'libya' is the whole-Libya (Tripolitania+Cyrenaica+Fezzan) aggregate; sub-provincial data is carried under distinct sibling raw labels 'libya: tripolitania' and 'libya: cyrenaica'. Verified via pipelines/polity-autoimprove/state/iia_label_provenance.csv (kind=whole_with_sub_siblings, mixing_observed=no) plus smooth olive-oil magnitude continuity (1,900t median 1934-42 -> 2,000t median 1943-45) across the LBY-1934-1943/LBY-1943-1949 period split.","state/iia_label_provenance.csv carries `italian libya`, `italian libya: tripolitania` and `italian libya: cyrenaica` as SEPARATE raw labels, so the source does distinguish whole from part -- which is all this convention claims. IT DOES NOT LICENSE verified_equal: the layer-B label mixes them, and libya|iia|1925-1933 has no dominant source at all (best is `italian libya: tripolitania` at 25% over 44 values) while libya|iia|1922-1924 is 100% Tripolitania. A careful source does not make a careful harmonisation.",2026-08-18,assertion-verification (libya|iia|1943-1945),production,,verifier_plus_measurement,2026-08-18,check_iia_libya in pipelines/polity-autoimprove/11_retest_conventions.py
mitchell,Syrian Arab Republic,*,"Mitchell (International Historical Statistics) reports Syria's agricultural series as a standalone geographic unit continuously through the 1958-1961 United Arab Republic union period, not merged with Egypt's figures.","CONCURRENCY plus AREA, both independent of the continuity argument this was learned from. Mitchell carries `egypt` (1,187 rows) as its own label in every union year 1958-1960 alongside `syrian arab republic` (296 rows), so Egypt's figures are not inside Syria's. And Syrian wheat AREA is flat across the union's start -- 1,495k ha (1957), 1,460k (1958), 1,422k (1959), 1,550k (1960) -- where folding in Egypt's ~600k ha would step it ~1.4x. Production tonnage is unusable for this: Syrian wheat output swings 438k -> 1,051k -> 1,354k -> 562k over 1955-1958, harvest variance that would drown any territorial signal.",2026-08-18,assertion-verification (syrian arab republic|mitchell|1946-1960),production,,verifier_plus_measurement,2026-08-18,check_mitchell_syria in pipelines/polity-autoimprove/11_retest_conventions.py
iia,antigua and barbuda,*,"IIA yearbook label 'antigua and barbuda' (via harmonisation raw label 'british west indies: antigua', mapped internally as 'british antigua') denotes Antigua+Barbuda+Redonda at island level, matching ATG's own ~435.8 km2 extent -- distinct from the separately-reported 'british west indies: leeward islands' group label (~1,716 km2, 7 territories) which must route to the Leeward Islands colony polity instead.","STRUCTURAL, not magnitude-based -- island agriculture is too small for plausibility arguments. The raw extract carries `british antigua` (485 rows) AND `british leeward islands` (91 rows) as separate labels, plus `british montserrat` (628) separately, so the source distinguishes the island from its colony. And the span is single-source: iia_assertion_provenance.csv key 'antigua and barbuda|iia|1909-1945', n=92, dominant `british antigua` at 1.00, signal `redirected` not `mixed`. Consistent with the composition registry recording BLI-1833-1960 <- ATG-1800-2025 as sum_risk because fao1952 carries both.",2026-08-18,assertion-verification (antigua and barbuda|iia|1909-1945),production,,verifier_plus_measurement,2026-08-18,check_iia_antigua in pipelines/polity-autoimprove/11_retest_conventions.py
iia,*,p,"RESOLVED: iia's one-letter items `p`, `n` and `k` are the fertilizer MACRONUTRIENTS -- phosphate, nitrogen and potash -- not corrupt item labels. 890 valued rows, all in tonnes, all within 1909-1933, across ~50 countries, medians p=85,464 n=14,638 k=55,192 t. The panel SEPARATELY carries `commercial phosphoric acid`, `commercial nitrogenous fertilizers` and `commercial potash fertilizers` from fao1952 for the DISJOINT era 1949-1951 -- the same triple, explicitly named. THEY MAY NOT BE CONCATENATED INTO ONE SERIES. Whether the two are the same MEASURE is NOT established: there is zero (country, year) overlap, so the panel cannot answer it, and the cross-era continuity test refuses the licence -- normalised to tonnes, last-iia against first-fao1952 scatters from x0.01 to x6,380 (median x0.45 / x2.71 / x1.10 for p / n / k). The direction points at a basis difference rather than growth: chile nitrogen x0.02 and egypt phosphate x0.03 are both major EXPORTERS of those materials, and 440,632 t of phosphate is not Egyptian consumption in 1933, so iia's series may be production or trade of fertilizer materials where fao1952's is consumption. Treat them as two distinct series until a source page settles the basis. PARTIALLY REFUTED 2026-08-18, BY ME, AND THE REFUTATION MATTERS MORE THAN THE PART THAT STANDS. What stands: these items are about fertilizer nutrients rather than anything else a single letter might abbreviate, and they must not be concatenated with fao1952's `commercial *` series. What is WRONG is the implication that a `p` or `n` series is a NUTRIENT TOTAL. Traced cell by cell against the raw extract, these series OSCILLATE between distinct fertilizer MATERIALS year to year: sweden's `p` reads calcium superphosphate 1909-1920 (102,509 to 185,320 t), then BASIC SLAG 1930-1932 (14,520 / 10,171 / 7,730 -- a x0.08 step), then superphosphate again in 1933 (219,030, a x28 step back). japan's `n` is calcium cyanamide throughout except 1919 (ammonium sulfate, x27) and 1933 (ammonium sulfate, x5). Also affected: norway p (x17 superphosphate vs natural phosphate), austria p and n, belgium p (basic slag vs superphosphate vs natural phosphate), france p, united kingdom p, canada n, united states p and n, japan p. These are NOT interchangeable quantities -- superphosphate, basic slag, natural phosphate rock, ammonium sulfate and calcium cyanamide are different materials with different nutrient contents -- so a `p` series is a patchwork of materials, not P2O5, and its level shifts are product switches rather than changes in fertiliser use. Do not read a trend from one. The switches go BACK AND FORTH, so growth cannot explain them.","Measured 2026-08-18 against consolidated_layer_b.parquet (192,670 rows, aggregates excluded). Items `p`/`n`/`k` are the only item labels in the whole panel shorter than 3 characters (359 distinct (source, item) pairs scanned; no digits-only, vowel-less or null-ish labels exist at all), so this is not a general label-corruption problem. p: 522 rows, n: 332, k: 36. Units are exclusively `tonnes`; fao1952's commercial* siblings are in `1000 tonnes`, which is why a naive merge would also be off by 1000 before any basis question. Eras strictly disjoint (iia max 1933 < fao1952 min 1949). Cross-era ratios computed on 27 (p), 23 (n) and 5 (k) countries present in both under normalised labels -- the first attempt found ZERO shared countries because iia lowercases and fao1952 title-cases, which is itself a trap for anyone joining these two.",2026-08-18,measurement,production,,verifier_plus_measurement,2026-08-18,"2026-08-18 re-measured (11_retest_conventions.py, check_iia_npk): asserts the identification (row count, tonnes-only units, 1909-1933 span, ~50 countries, nutrient-scale medians), the disjoint fao1952 commercial* era, zero country-year overlap, AND re-derives the cross-era ratio spread, requiring it to exceed 1000x so the entry cannot silently become a licence to concatenate. 2026-08-18: the identification and the no-concatenation rule re-measured and hold; the nutrient-total implication was refuted by per-cell tracing against the raw extract (see the convention text). check_iia_npk still tests only the parts that stand."
iia,*,n,"RESOLVED: iia's one-letter items `p`, `n` and `k` are the fertilizer MACRONUTRIENTS -- phosphate, nitrogen and potash -- not corrupt item labels. 890 valued rows, all in tonnes, all within 1909-1933, across ~50 countries, medians p=85,464 n=14,638 k=55,192 t. The panel SEPARATELY carries `commercial phosphoric acid`, `commercial nitrogenous fertilizers` and `commercial potash fertilizers` from fao1952 for the DISJOINT era 1949-1951 -- the same triple, explicitly named. THEY MAY NOT BE CONCATENATED INTO ONE SERIES. Whether the two are the same MEASURE is NOT established: there is zero (country, year) overlap, so the panel cannot answer it, and the cross-era continuity test refuses the licence -- normalised to tonnes, last-iia against first-fao1952 scatters from x0.01 to x6,380 (median x0.45 / x2.71 / x1.10 for p / n / k). The direction points at a basis difference rather than growth: chile nitrogen x0.02 and egypt phosphate x0.03 are both major EXPORTERS of those materials, and 440,632 t of phosphate is not Egyptian consumption in 1933, so iia's series may be production or trade of fertilizer materials where fao1952's is consumption. Treat them as two distinct series until a source page settles the basis. PARTIALLY REFUTED 2026-08-18, BY ME, AND THE REFUTATION MATTERS MORE THAN THE PART THAT STANDS. What stands: these items are about fertilizer nutrients rather than anything else a single letter might abbreviate, and they must not be concatenated with fao1952's `commercial *` series. What is WRONG is the implication that a `p` or `n` series is a NUTRIENT TOTAL. Traced cell by cell against the raw extract, these series OSCILLATE between distinct fertilizer MATERIALS year to year: sweden's `p` reads calcium superphosphate 1909-1920 (102,509 to 185,320 t), then BASIC SLAG 1930-1932 (14,520 / 10,171 / 7,730 -- a x0.08 step), then superphosphate again in 1933 (219,030, a x28 step back). japan's `n` is calcium cyanamide throughout except 1919 (ammonium sulfate, x27) and 1933 (ammonium sulfate, x5). Also affected: norway p (x17 superphosphate vs natural phosphate), austria p and n, belgium p (basic slag vs superphosphate vs natural phosphate), france p, united kingdom p, canada n, united states p and n, japan p. These are NOT interchangeable quantities -- superphosphate, basic slag, natural phosphate rock, ammonium sulfate and calcium cyanamide are different materials with different nutrient contents -- so a `p` series is a patchwork of materials, not P2O5, and its level shifts are product switches rather than changes in fertiliser use. Do not read a trend from one. The switches go BACK AND FORTH, so growth cannot explain them.","Measured 2026-08-18 against consolidated_layer_b.parquet (192,670 rows, aggregates excluded). Items `p`/`n`/`k` are the only item labels in the whole panel shorter than 3 characters (359 distinct (source, item) pairs scanned; no digits-only, vowel-less or null-ish labels exist at all), so this is not a general label-corruption problem. p: 522 rows, n: 332, k: 36. Units are exclusively `tonnes`; fao1952's commercial* siblings are in `1000 tonnes`, which is why a naive merge would also be off by 1000 before any basis question. Eras strictly disjoint (iia max 1933 < fao1952 min 1949). Cross-era ratios computed on 27 (p), 23 (n) and 5 (k) countries present in both under normalised labels -- the first attempt found ZERO shared countries because iia lowercases and fao1952 title-cases, which is itself a trap for anyone joining these two.",2026-08-18,measurement,production,,verifier_plus_measurement,2026-08-18,"2026-08-18 re-measured (11_retest_conventions.py, check_iia_npk): asserts the identification (row count, tonnes-only units, 1909-1933 span, ~50 countries, nutrient-scale medians), the disjoint fao1952 commercial* era, zero country-year overlap, AND re-derives the cross-era ratio spread, requiring it to exceed 1000x so the entry cannot silently become a licence to concatenate. 2026-08-18: the identification and the no-concatenation rule re-measured and hold; the nutrient-total implication was refuted by per-cell tracing against the raw extract (see the convention text). check_iia_npk still tests only the parts that stand."
iia,*,k,"RESOLVED: iia's one-letter items `p`, `n` and `k` are the fertilizer MACRONUTRIENTS -- phosphate, nitrogen and potash -- not corrupt item labels. 890 valued rows, all in tonnes, all within 1909-1933, across ~50 countries, medians p=85,464 n=14,638 k=55,192 t. The panel SEPARATELY carries `commercial phosphoric acid`, `commercial nitrogenous fertilizers` and `commercial potash fertilizers` from fao1952 for the DISJOINT era 1949-1951 -- the same triple, explicitly named. THEY MAY NOT BE CONCATENATED INTO ONE SERIES. Whether the two are the same MEASURE is NOT established: there is zero (country, year) overlap, so the panel cannot answer it, and the cross-era continuity test refuses the licence -- normalised to tonnes, last-iia against first-fao1952 scatters from x0.01 to x6,380 (median x0.45 / x2.71 / x1.10 for p / n / k). The direction points at a basis difference rather than growth: chile nitrogen x0.02 and egypt phosphate x0.03 are both major EXPORTERS of those materials, and 440,632 t of phosphate is not Egyptian consumption in 1933, so iia's series may be production or trade of fertilizer materials where fao1952's is consumption. Treat them as two distinct series until a source page settles the basis. PARTIALLY REFUTED 2026-08-18, BY ME, AND THE REFUTATION MATTERS MORE THAN THE PART THAT STANDS. What stands: these items are about fertilizer nutrients rather than anything else a single letter might abbreviate, and they must not be concatenated with fao1952's `commercial *` series. What is WRONG is the implication that a `p` or `n` series is a NUTRIENT TOTAL. Traced cell by cell against the raw extract, these series OSCILLATE between distinct fertilizer MATERIALS year to year: sweden's `p` reads calcium superphosphate 1909-1920 (102,509 to 185,320 t), then BASIC SLAG 1930-1932 (14,520 / 10,171 / 7,730 -- a x0.08 step), then superphosphate again in 1933 (219,030, a x28 step back). japan's `n` is calcium cyanamide throughout except 1919 (ammonium sulfate, x27) and 1933 (ammonium sulfate, x5). Also affected: norway p (x17 superphosphate vs natural phosphate), austria p and n, belgium p (basic slag vs superphosphate vs natural phosphate), france p, united kingdom p, canada n, united states p and n, japan p. These are NOT interchangeable quantities -- superphosphate, basic slag, natural phosphate rock, ammonium sulfate and calcium cyanamide are different materials with different nutrient contents -- so a `p` series is a patchwork of materials, not P2O5, and its level shifts are product switches rather than changes in fertiliser use. Do not read a trend from one. The switches go BACK AND FORTH, so growth cannot explain them.","Measured 2026-08-18 against consolidated_layer_b.parquet (192,670 rows, aggregates excluded). Items `p`/`n`/`k` are the only item labels in the whole panel shorter than 3 characters (359 distinct (source, item) pairs scanned; no digits-only, vowel-less or null-ish labels exist at all), so this is not a general label-corruption problem. p: 522 rows, n: 332, k: 36. Units are exclusively `tonnes`; fao1952's commercial* siblings are in `1000 tonnes`, which is why a naive merge would also be off by 1000 before any basis question. Eras strictly disjoint (iia max 1933 < fao1952 min 1949). Cross-era ratios computed on 27 (p), 23 (n) and 5 (k) countries present in both under normalised labels -- the first attempt found ZERO shared countries because iia lowercases and fao1952 title-cases, which is itself a trap for anyone joining these two.",2026-08-18,measurement,production,,verifier_plus_measurement,2026-08-18,"2026-08-18 re-measured (11_retest_conventions.py, check_iia_npk): asserts the identification (row count, tonnes-only units, 1909-1933 span, ~50 countries, nutrient-scale medians), the disjoint fao1952 commercial* era, zero country-year overlap, AND re-derives the cross-era ratio spread, requiring it to exceed 1000x so the entry cannot silently become a licence to concatenate. 2026-08-18: the identification and the no-concatenation rule re-measured and hold; the nutrient-total implication was refuted by per-cell tracing against the raw extract (see the convention text). check_iia_npk still tests only the parts that stand."
iia,*,wine,"RESOLVED: iia `wine` in layer B is HECTOLITRES converted at 0.097 tonnes per hectolitre, and the raw IIA extract converted the SAME hectolitres at 0.091. That ratio, 0.097/0.091 = 1.065934066, is the unexplained factor reported in issue 358 -- every layer-B wine value is exactly 1.0659x the raw extract's because the two applied different densities to one underlying figure. It is not a must-to-wine yield, a revision or an error. The originals are whole hectolitres: germany 1909 is 2,020,620 hl, which the raw extract carries as 183,876.42 t (x0.091) and layer B as 196,000.14 t (x0.097). WHICH FACTOR IS CORRECT IS A POLICY QUESTION, NOT A MEASUREMENT. Wine density is about 0.99 kg/l, so 0.099 t/hl would be physical; layer B's 0.097 is closer to that than the extract's 0.091, so layer B is arguably the better of the two rather than the wrong one. Neither is 0.099, and the choice belongs to whoever set the pipeline's conversion table. CONSEQUENCE FOR CONSUMERS: a wine tonnage traced back to an IIA yearbook page will not match, because the page prints hectolitres and the panel prints an assumed mass. Compare hectolitres, or divide the panel figure by 0.097 to recover them exactly.","Measured 2026-08-18. 350 single-value (label, year) pairs between layer B and the raw extract give a ratio whose median, p10 and p90 are all 1.065934, on 333 of 350; the 17 exceptions are years where the raw side carries more than one row. Recovering the unit: of 1,233 raw wine production values 477 are non-integer, and dividing those by 0.091 lands on integers with a median distance from an integer of 0.000000 -- a scan of 100,000 candidate divisors between 0.05 and 0.15 found 0.091 to be the ONLY one that does. On the layer-B side, 100% of values divide by 0.097 to within 0.01 of an integer (median distance 0.00000000), against 0.7% for 0.091. Note 53.3% also divide evenly by 0.100, because many hectolitre figures are multiples of 1,000; the 100% result for 0.097 is what settles it. The first scan was degenerate and had to be redone: 756 of the raw values are ALREADY integers, so dividing them by 0.1 trivially yields integers and made 0.1 look like the answer.",2026-08-18,measurement,production,,verifier_plus_measurement,2026-08-18,"2026-08-18 re-measured (11_retest_conventions.py, check_iia_wine_hectolitres): asserts that every layer-B iia wine tonnage divides by 0.097 into a whole hectolitre figure, that the raw extract's non-integer values divide by 0.091, and that 0.097/0.091 reproduces the reported 1.0659 factor."
iia,japan,*,"RESOLVED (measurement only; the REMEDY is still open, see issue #273): the label reports METROPOLITAN JAPAN, exclusive of Korea and Formosa/Taiwan, which this source reports under their own labels straight through. It is routed to JPN-1895-1945, whose polygon is 626,507 km2 = metropolitan Japan PLUS Korea PLUS Formosa, so the polygon OVERSTATES the reporting territory and an area-weighted consumer divides metropolitan output by the empire's area. Proof is arithmetic and needs no external source: if the label included the dependencies then outer >= inner would hold in every shared (item, unit, year) cell. It does not. This entry records WHAT THE DATA IS, not what to do about it. Issue #273 sets out three defensible remedies -- create a metropolitan-Japan row and reroute; reroute to an existing narrower row; or keep the routing and document the exclusion -- and choosing between them is a historian's call. This is the third option's documentation, and it does not foreclose the first two: the exclusion is true whichever remedy is later chosen.","Measured 2026-08-18 against consolidated_layer_b.parquet, aggregates and non-positive values excluded. Inclusion test: for the outer label to contain the inner one, outer >= inner must hold in every shared (item, unit, year) cell. Result for iia `japan`: below `south korea` in 151 of 264 shared cells (57%); below `china, taiwan province of` in 79 of 219 shared cells (36%). A single violation is enough to refute inclusion, and these are systematic rather than isolated. First surfaced by 12_triage_assertions.py's nesting screen (issue #273, one of 20 pairs flagged `impossible_outer_excludes_inner`); the figures here are an independent re-measurement, which is the second corroborator.",2026-08-18,measurement,production,,verifier_plus_measurement,2026-08-18,"2026-08-18 re-measured (11_retest_conventions.py, check_exclusive_reporting): asserts the outer label falls BELOW the inner one in a material share of shared cells, which is impossible under inclusion."
mitchell,japan,*,"RESOLVED (measurement only; the REMEDY is still open, see issue #273): the label reports METROPOLITAN JAPAN, exclusive of Korea and Formosa/Taiwan, which this source reports under their own labels straight through. It is routed to JPN-1895-1945, whose polygon is 626,507 km2 = metropolitan Japan PLUS Korea PLUS Formosa, so the polygon OVERSTATES the reporting territory and an area-weighted consumer divides metropolitan output by the empire's area. Proof is arithmetic and needs no external source: if the label included the dependencies then outer >= inner would hold in every shared (item, unit, year) cell. It does not. This entry records WHAT THE DATA IS, not what to do about it. Issue #273 sets out three defensible remedies -- create a metropolitan-Japan row and reroute; reroute to an existing narrower row; or keep the routing and document the exclusion -- and choosing between them is a historian's call. This is the third option's documentation, and it does not foreclose the first two: the exclusion is true whichever remedy is later chosen.","Measured 2026-08-18 against consolidated_layer_b.parquet, aggregates and non-positive values excluded. Inclusion test: for the outer label to contain the inner one, outer >= inner must hold in every shared (item, unit, year) cell. Result for mitchell `japan`: below `korea` in 85 of 457 shared cells (19%); below `china, taiwan province of` in 179 of 462 shared cells (39%). A single violation is enough to refute inclusion, and these are systematic rather than isolated. First surfaced by 12_triage_assertions.py's nesting screen (issue #273, one of 20 pairs flagged `impossible_outer_excludes_inner`); the figures here are an independent re-measurement, which is the second corroborator.",2026-08-18,measurement,production,,verifier_plus_measurement,2026-08-18,"2026-08-18 re-measured (check_exclusive_reporting), same test as the iia entry."
juan,united kingdom,*,"RESOLVED (measurement only; the REMEDY is still open, see issue #273): the label reports GREAT BRITAIN, exclusive of Ireland, which this source reports under its own `ireland` label. It is routed to GBR-1800-1921, whose polygon is 313,550 km2 = Great Britain AND all of Ireland, so the polygon OVERSTATES the reporting territory. The clearest single cell: 1901 flax fibre and tow area reads IRELAND 22,436 ha against the UNITED KINGDOM's 259 ha. Flax was overwhelmingly an Irish crop, and 259 ha cannot contain 22,436. Starker still, `asses` (heads) reads UK 10,000 against ireland 219,000-221,000 for 1921-1923. As with the Japan entries this records the measurement, not the remedy. Issue #273's three options remain open and the exclusion holds under all of them.","Measured 2026-08-18 against consolidated_layer_b.parquet, aggregates and non-positive values excluded. Inclusion test: for the outer label to contain the inner one, outer >= inner must hold in every shared (item, unit, year) cell. Result for juan `united kingdom`: below `ireland` in 172 of 1581 shared cells (11%). A single violation is enough to refute inclusion, and these are systematic rather than isolated. First surfaced by 12_triage_assertions.py's nesting screen (issue #273, one of 20 pairs flagged `impossible_outer_excludes_inner`); the figures here are an independent re-measurement, which is the second corroborator.",2026-08-18,measurement,production,,verifier_plus_measurement,2026-08-18,"2026-08-18 re-measured (check_exclusive_reporting), plus the 1901 flax and 1921-23 asses cells."
fao1952,Japan,*,"RESOLVED (measurement only; the REMEDY is open, see issue #273): `Japan` reports METROPOLITAN JAPAN, exclusive of Korea and Formosa/Taiwan, which this source reports under their own labels. The polity it routes to includes them, so the polygon OVERSTATES the reporting territory. Same finding as the iia and mitchell entries for `japan`, now confirmed for a THIRD source, which makes it a property of how the yearbooks reported the empire rather than of one compiler. Measured: Japan falls below `Korea South` in 23 of 96 shared (item, unit, year) cells and below `China Taiwan` in 24 of 92 -- impossible if the label contained them. NOT included in this entry: `Ryukyu Islands` (3 of 45 cells) and the 6-cell `Korea` pairing, both too thin to distinguish systematic exclusion from a few bad cells. #273 flags them; this entry deliberately does not claim them.","Measured 2026-08-18 against consolidated_layer_b.parquet, aggregates and non-positive values excluded. Japan below `Korea South` in 23 of 96 shared cells (24%) and below `China Taiwan` in 24 of 92 (26%). The threshold used across these entries is at least 20 impossible cells: one violation refutes inclusion logically, but 20 rules out data noise, and it is what separates these two pairings from `Ryukyu Islands` (3 of 45) and `Korea` (2 of 6), which are left unclaimed. Surfaced by 12_triage_assertions.py (issue #273); these figures are an independent re-measurement.",2026-08-18,measurement,production,,verifier_plus_measurement,2026-08-18,"2026-08-18 re-measured (check_exclusive_reporting), which requires >=20 impossible cells per pair."
iia,india,*,"RESOLVED (measurement only; the REMEDY is open, see issue #273): iia's `india` reports BRITISH INDIA EXCLUSIVE OF BURMA, which the same source reports separately as `myanmar`. It routes to IND-1914-1937, whose polygon INCLUDES Burma -- Burma was administratively part of British India until 1 April 1937, so the polygon is right for the polity and wrong for the label. This is the strongest of the twenty pairs issue #273 flags: india falls below myanmar in 31 of 43 shared (item, unit, year) cells, 72%, where inclusion would require zero. Consequence: an area-weighted consumer divides India-without-Burma output by an area that contains Burma. Note this is NOT the same as the mitchell india case, where the reporting territory was found to CHANGE at 1929 (rice paddy drops as Burma leaves) rather than being excluded throughout.","Measured 2026-08-18: iia `india` falls below iia `myanmar` in 31 of 43 shared (item, unit, year) cells -- 72%, the highest share of any pair in issue #273's table. Burma was part of British India until 1 April 1937 and the IND-1914-1937 polygon reflects that, so the polygon and the label disagree for the whole span. Surfaced by 12_triage_assertions.py; independently re-measured here.",2026-08-18,measurement,production,,verifier_plus_measurement,2026-08-18,2026-08-18 re-measured (check_exclusive_reporting).
mitchell,south africa,*,"Mitchell's South African CATTLE series is assembled from TWO labels, and the second one's name is misleading. `cape natal` is a single-item label -- cattle in heads, 33 rows, 1918-1957, and nothing else -- and it carries the NATIONAL series, not a Cape-plus-Natal provincial one. 12 of its cells (1946-1957) coincide with Mitchell's own `south africa` cattle cells and ALL 12 are equal to the digit over 12 DISTINCT values; a province cannot equal its nation cell for cell. The other 21 cells (1918-1945) fall in years where `south africa` carries no cattle value at all, so they EXTEND the national series rather than duplicating it. NO ROW MOVES: both labels already resolve to ZAF-1910-2025, so no published number changes and this is not a reroute. The convention exists to stop a later pass 'correcting' the `cape natal` rows onto a Cape or Natal polity on the strength of the name, and to stop the 21 gap-filling rows being dropped as duplicates, which would lose 21 years of national cattle. It says nothing about Mitchell's separate `natal` label (nine items, 1852-1957), which IS a genuine provincial series and must not be folded in here.","Measured 2026-08-19 against consolidated_layer_b.parquet, found while building 25_same_polity_overlaps.py for issue 355 (it reports the pair as relation `identical`, 12 shared cells / 12 equal / 12 distinct values). Shared cells 1946-1957: 12,113,000 / 12,470,000 / 12,242,000 / 11,513,000 / 11,565,000 / 11,768,000 / 11,655,000 / 11,604,000 / 11,689,000 / 11,800,000 / 12,042,000 / 12,062,000 head, identical under both labels. Cells under `cape natal` only: 1918-1930, 1934-1939, 1943, 1945 (6,852,000 rising to 12,593,000). Mitchell's `south africa` cattle series has just 33 rows over 1852-1960 and is absent across 1918-1945. DELIBERATELY NOT ARGUED FROM MAGNITUDE: '6.85M head is too many for two provinces' is the reasoning that put three IIA routings wrong (issue 377), so the test used is exact equality against a control, with a >=6 distinct-value floor so rounding coincidence cannot produce it.",2026-08-19,issue-355 same-polity overlap census (25_same_polity_overlaps.py),production,,verifier_plus_measurement,2026-08-19,"2026-08-19 re-measured (11_retest_conventions.py, check_mitchell_cape_natal): 12 of 12 shared cattle cells equal to the digit over 12 distinct values, 1946-1957; a further 21 cells sit under `cape natal` in years `south africa` has no cattle value, extending the national series rather than duplicating it. Conclusion stands."
iia,australia,p,"IIA's `australia` / `p` series is CHRISTMAS ISLAND's mined natural phosphate, not Australian output and not agricultural nutrient use. Raw `australia` DOES carry 25 natural-phosphate production rows of its own -- so unlike the Serbia case the alternative is present, not absent -- but layer B matches the Christmas Island series in 16 of 16 dated cells and the Australian one in 0 of 16, while Australia's own output runs 20x to 1,000x smaller in the same years. Australia's own series does not appear in layer B at all (0 of its 25 raw values reproduced under the `australia` label at the same year), so the harmonisation SUBSTITUTED the dependency's series for the metropole's rather than merely mislabelling it. CONSEQUENCE FOR CONSUMERS: a per-km2 or per-capita reading of 'Australian phosphate' is reading an island 2,600 km away, and this series is an exception to the iia p/n/k nutrient convention (issue 369) -- here `p` is mined rock, not fertiliser input. NO ROW MOVES: the figures are what Australia reported, so the flag records the origin rather than rerouting. NOW PUBLISHED AS A FLOW FLAG. It was withheld at first because write_source_flow_flags.py resolved an EMPTY polity_code for it, which I diagnosed in issue 412 as `australia` having no alias row. That diagnosis was WRONG: it has two, both with a BLANK source, which is a WILDCARD meaning any source -- and resolve_polities required an exact source match, so it skipped them along with 188 of the 995 published alias rows covering 81 labels. Fixed; the flag now resolves to AUS-1800-1901;AUS-1901-2025 and 05_magnitude_screen.py splits and joins both.","Measured 2026-08-19 against the raw IIA extract (2025-10-06_iia-dataframe/outputs/processed data/harmonized_data.xlsx, 288,121 rows), production-side only, product 'fertilizers: phosphate, natural'. layer-B iia/australia/p has 16 dated values; raw `australian christmas island` production has 24 and raw `australia` production 25. Exact matches: christmas island 16/16, australia 0/16. Paired values -- 1909 layer B 107,174 vs australia 3,833 vs christmas 107,174; 1913 152,410 vs 6,045 vs 152,410; 1930 121,858 vs 26 vs 121,858; 1933 92,745 vs 100 vs 92,745. Australia's own 25 production values reproduced under layer-B `australia` at the same year: 0 (two spurious free-floating hits at 200 and 0 land under `flax fibre and tow` and `olives`, the round-number collision the distinctness filter exists to catch, which is why the test was run at matching year AND label). The sibling case iia/french polynesia/p is Makatea island's phosphate (15/16, and raw `french oceania` has ZERO phosphate production rows) but is NOT registered here: Makatea has no ISO code of its own, so origin_iso3 could only be PYF, the label's own territory, which would record nothing.",2026-08-19,"issue-372 item-level provenance, closed by the raw-extract availability leg",dependency_output,CXR,verifier_plus_measurement,2026-08-19,"2026-08-19 measured against the raw extract (11_retest_conventions.py, check_iia_australia_phosphate): 16 of 16 exact matches to raw `australian christmas island` production, 0 of 16 to raw `australia`, whose own series is present and 20x-1,000x smaller. Conclusion stands."
