source,country,item,unit,indicator,position,year,value,neighbour_value,neighbour_year,factor,series_n
juan,argentina,garlic,tonnes,,leading_collapse,1937,224.43,7800,1942,34.8,11
juan,argentina,soybeans,ha,,leading_collapse,1937,2,1315,1942,657.5,19
juan,argentina,sugar cane,ha,,leading_collapse,1872,2452,50000,1901,20.4,60
juan,argentina,tea,ha,,leading_collapse,1937,1.3,631,1946,485.4,12
juan,bulgaria,linseed,tonnes,,leading_collapse,1897,19.305,871.774,1898,45.2,47
juan,canada,goats,heads,,leading_collapse,1918,367,9364,1924,25.5,9
juan,colombia,"coffee, green",ha,,leading_collapse,1916,4620.5,200000,1925,43.3,16
juan,czechoslovakia,hemp tow waste,tonnes,,leading_collapse,1919,320,8480,1920,26.5,33
juan,czechoslovakia,maize,tonnes,,leading_collapse,1919,11380,245062,1920,21.5,42
juan,czechoslovakia,sunflower seed,ha,,leading_collapse,1919,651.13,26000,1934,39.9,10
juan,el salvador,asses,heads,,leading_collapse,1930,2196,114200,1939,52.0,14
juan,germany,mules and hinnies,heads,,leading_collapse,1912,1000,27000,1921,27.0,14
juan,haiti,maize,ha,,leading_collapse,1930,2630,120000,1948,45.6,4
juan,mexico,"oil, cottonseed",tonnes,,leading_collapse,1907,101.378,86000,1925,848.3,36
juan,peru,chick peas,tonnes,,leading_collapse,1948,1000,21000,1951,21.0,9
juan,switzerland,apples,tonnes,,leading_collapse,1850,1363,30201,1851,22.2,111
juan,switzerland,rapeseed,tonnes,,leading_collapse,1909,10,1400,1942,140.0,18
juan,united states of america,soybeans,ha,,leading_collapse,1909,1000,62320.7,1917,62.3,43
mitchell,india,asses,heads,page_43_table_1,leading_collapse,1947,3000,1.13e+06,1948,376.7,7
mitchell,india,buffalo,heads,page_43_table_1,leading_collapse,1947,3000,3.9553e+07,1948,13184.3,7
mitchell,india,camels,heads,page_43_table_1,leading_collapse,1947,3000,643000,1948,214.3,6
mitchell,india,cattle,heads,page_43_table_1,leading_collapse,1947,3000,1.33544e+08,1948,44514.7,7
mitchell,india,goats,heads,page_43_table_1,leading_collapse,1947,3000,4.4271e+07,1948,14757.0,7
mitchell,india,horses,heads,page_43_table_1,leading_collapse,1947,3000,1.397e+06,1948,465.7,7
mitchell,india,sheep,heads,page_43_table_1,leading_collapse,1947,3000,3.5816e+07,1948,11938.7,7
mitchell,natal,"tobacco, unmanufactured",tonnes,copia de page_5_table_2,leading_collapse,1861,0.3,6.2,1862,20.7,37
iia,hungary,"silk-worm cocoons, reelable",tonnes,,terminal_collapse,1945,4,236,1944,59.0,21
iia,hungary,sugar raw centrifugal,tonnes,,terminal_collapse,1945,6500,176400,1944,27.1,29
iia,iran,castor beans seed,tonnes,,terminal_collapse,1944,100,2600,1941,26.0,4
iia,israel,oranges,tonnes,,terminal_collapse,1939,1300,317000,1937,243.8,9
iia,mauritius,"coffee, green",tonnes,,terminal_collapse,1915,0.1,3.6,1914,36.0,6
iia,nauru,p,tonnes,,terminal_collapse,1933,97,424896,1932,4380.4,15
iia,norway,no3,tonnes,,terminal_collapse,1921,130,148000,1920,1138.5,13
juan,hungary,castor beans seed,tonnes,,terminal_collapse,1945,200,6000,1943,30.0,4
mitchell,"china, mainland",millet,ha,page_35_table_1,terminal_collapse,1952,4000,6.524e+06,1951,1631.0,6
mitchell,tanzania,"cassava, fresh",ha,page_11_table_1,terminal_collapse,1960,7000,487000,1953,69.6,8
