polity_code,polity_name,start_year,end_year,polygon_source,polygon_feature_year,polygon_status,overlaps_1860_1961,territory_basis,territory_assumed,priority_review,basis_reason,layerb_data_rows
BRG-1800-1897,Borgu Confederacy,1800,1897,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
BRN-1816-1888,Brunei (greater),1816,1888,cshapes-2.0,1888.0,assigned,True,assumed_constant,True,False,single 1888 polygon held across a 72y span (1816-1888); borders may have changed,0
BRN-1888-2025,Brunei Darussalam,1888,2025,cshapes-2.0,1888.0,assigned,True,assumed_constant,True,False,single 1888 polygon held across a 137y span (1888-2025); borders may have changed,77
BSS-1884-1960,British Somaliland Protectorate (1884-1960),1884,1960,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 76y span (1884-1960); borders may have changed,86
BTN-1800-2025,Bhutan,1800,2025,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 225y span (1800-2025); borders may have changed,4
BWA-1966-2025,Botswana,1966,2025,cshapes-2.0,1966.0,assigned,False,assumed_constant,True,False,single 1966 polygon held across a 59y span (1966-2025); borders may have changed,0
CAF-1906-1912,Central African Republic (1906-1912),1906,1912,cshapes-2.0,1906.0,assigned,True,measured,False,False,vintage 1906 faithful to period 1906-1912,0
CAF-1912-1919,Central African Republic (1912-1919),1912,1919,cshapes-2.0,1912.0,assigned,True,measured,False,False,vintage 1912 faithful to period 1912-1919,0
CAF-1919-1960,Central African Republic (1919-1960),1919,1960,cshapes-2.0,1919.0,assigned,True,assumed_constant,True,False,single 1919 polygon held across a 41y span (1919-1960); borders may have changed,15
CAF-1960-2025,Central African Republic,1960,2025,cshapes-2.0,1960.0,assigned,True,assumed_constant,True,False,single 1960 polygon held across a 65y span (1960-2025); borders may have changed,0
CAN-1800-1866,Canada (pre-Confederation),1800,1866,cshapes-2.0,1886.0,proxy,True,back_projected,True,True,polygon vintage 1886 is AFTER the period ends (1866) — later/modern border applied back,40
CAN-1866-1948,Canada (to 1948),1866,1948,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 82y span (1866-1948); borders may have changed,2275
CAN-1948-2025,Canada,1948,2025,cshapes-2.0,1948.0,assigned,True,assumed_constant,True,True,single 1948 polygon held across a 77y span (1948-2025); borders may have changed; footnote coverage caveat (FAO/IIA yearbook),978
CAP-1800-1910,Cape Colony (to 1910),1800,1910,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,False,single 1886 polygon held across a 110y span (1800-1910); borders may have changed,318
CAR-1920-1945,Caroline Islands (Japanese Mandate),1920,1945,gadm-4.1-adm0,,proxy,True,unassigned,True,False,no polygon (honest gap; never a false territory),31
CAY-1800-1886,Kingdom of Cayor,1800,1886,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
CHE-1800-2025,Switzerland,1800,2025,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 225y span (1800-2025); borders may have changed,3132
CHL-1810-1883,Chile (to 1883),1810,1883,none,,unassigned,True,unassigned,True,False,no polygon (honest gap; never a false territory),168
CHL-1884-1899,Chile (1884-1899),1884,1899,cshapes-2.0,1886.0,assigned,True,measured,False,False,vintage 1886 faithful to period 1884-1899,112
CHL-1899-1902,Chile (1899-1902),1899,1902,cshapes-2.0,1899.0,assigned,True,measured,False,False,vintage 1899 faithful to period 1899-1902,36
CHL-1902-2025,Chile,1902,2025,cshapes-2.0,1902.0,assigned,True,assumed_constant,True,True,single 1902 polygon held across a 123y span (1902-2025); borders may have changed,2353
CHN-1800-1895,China (to 1895),1800,1895,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,False,single 1886 polygon held across a 95y span (1800-1895); borders may have changed,5
CHN-1895-1913,China (1895-1913),1895,1913,cshapes-2.0,1899.0,assigned,True,measured,False,False,vintage 1899 faithful to period 1895-1913,5
CHN-1913-1914,China (1913-1914),1913,1914,cshapes-2.0,1913.0,assigned,True,measured,False,False,vintage 1913 faithful to period 1913-1914,12
CHN-1914-1921,China (1914-1921),1914,1921,cshapes-2.0,1914.0,assigned,True,measured,False,False,vintage 1914 faithful to period 1914-1921,17
CHN-1921-1945,China (1921-1945),1921,1945,cshapes-2.0,1921.0,assigned,True,measured,False,True,vintage 1921 faithful to period 1921-1945; footnote coverage caveat (FAO/IIA yearbook),614
CHN-1945-1947,China (1945-1947),1945,1947,cshapes-2.0,1945.0,assigned,True,measured,False,False,vintage 1945 faithful to period 1945-1947,69
CHN-1947-1949,China (1947-1949),1947,1949,cshapes-2.0,1947.0,assigned,True,measured,False,False,vintage 1947 faithful to period 1947-1949,93
CHN-1949-1950,China (1949-1950),1949,1950,cshapes-2.0,1949.0,assigned,True,measured,False,False,vintage 1949 faithful to period 1949-1950,46
CHN-1950-2025,China (PRC),1950,2025,cshapes-2.0,1949.0,assigned,True,back_projected,True,True,polygon vintage 1949 is BEFORE the period starts (1950); footnote coverage caveat (FAO/IIA yearbook),316
CIV-1889-1893,Côte d'Ivoire (1889-1893),1889,1893,cshapes-2.0,1889.0,assigned,True,measured,False,False,vintage 1889 faithful to period 1889-1893,0
CIV-1893-1900,Côte d'Ivoire (1893-1900),1893,1900,cshapes-2.0,1893.0,assigned,True,measured,False,False,vintage 1893 faithful to period 1893-1900,0
CIV-1902-1932,Côte d'Ivoire (1902-1932),1902,1932,cshapes-2.0,1902.0,assigned,True,assumed_constant,True,True,single 1902 polygon held across a 30y span (1902-1932); borders may have changed,127
CIV-1932-1947,Côte d'Ivoire (1932-1947),1932,1947,cshapes-2.0,1933.0,assigned,True,measured,False,False,vintage 1933 faithful to period 1932-1947,188
CIV-1947-1960,Côte d'Ivoire (1947-1960),1947,1960,cshapes-2.0,1947.0,assigned,True,measured,False,False,vintage 1947 faithful to period 1947-1960,164
CIV-1960-2025,Côte d'Ivoire,1960,2025,cshapes-2.0,1983.0,assigned,True,assumed_constant,True,False,single 1983 polygon held across a 65y span (1960-2025); borders may have changed,0
CMR-1960-1961,Cameroon (1960-1961),1960,1961,cshapes-2.0,1960.0,assigned,True,measured,False,False,vintage 1960 faithful to period 1960-1961,12
CMR-1961-2025,Cameroon,1961,2025,cshapes-2.0,1961.0,assigned,True,assumed_constant,True,False,single 1961 polygon held across a 64y span (1961-2025); borders may have changed,0
COD-1885-1891,Congo Free State (to 1891),1885,1891,cshapes-2.0,1886.0,assigned,True,measured,False,False,vintage 1886 faithful to period 1885-1891,0
COD-1891-1894,Democratic Republic of the Congo (1891-1894),1891,1894,cshapes-2.0,1892.0,assigned,True,measured,False,False,vintage 1892 faithful to period 1891-1894,0
COD-1894-1910,Democratic Republic of the Congo (1894-1910),1894,1910,cshapes-2.0,1894.0,assigned,True,measured,False,False,vintage 1894 faithful to period 1894-1910,13
COD-1910-1960,DR Congo (1910-1960),1910,1960,cshapes-2.0,1910.0,assigned,True,assumed_constant,True,True,single 1910 polygon held across a 50y span (1910-1960); borders may have changed; footnote coverage caveat (FAO/IIA yearbook),855
COD-1960-2025,Democratic Republic of the Congo,1960,2025,cshapes-2.0,1960.0,assigned,True,assumed_constant,True,False,single 1960 polygon held across a 65y span (1960-2025); borders may have changed,0
CODRU-1922-1960,Belgian Congo and Ruanda-Urundi,1922,1960,constructed,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
COG-1898-1900,Congo (1898-1900),1898,1900,cshapes-2.0,1886.0,assigned,True,back_projected,True,False,polygon vintage 1886 is BEFORE the period starts (1898),0
COG-1900-1906,Congo (1900-1906),1900,1906,cshapes-2.0,1898.0,assigned,True,back_projected,True,False,polygon vintage 1898 is BEFORE the period starts (1900),0
COG-1906-1912,Congo (1906-1912),1906,1912,cshapes-2.0,1900.0,assigned,True,back_projected,True,False,polygon vintage 1900 is BEFORE the period starts (1906),0
COG-1912-1919,Congo (1912-1919),1912,1919,cshapes-2.0,1906.0,assigned,True,back_projected,True,True,polygon vintage 1906 is BEFORE the period starts (1912),19
COG-1919-1960,Congo (1919-1960),1919,1960,cshapes-2.0,1919.0,assigned,True,assumed_constant,True,True,single 1919 polygon held across a 41y span (1919-1960); borders may have changed,223
COG-1960-2025,Congo,1960,2025,cshapes-2.0,1960.0,assigned,True,assumed_constant,True,False,single 1960 polygon held across a 65y span (1960-2025); borders may have changed,0
COL-1800-1830,Gran Colombia,1800,1830,cliopatria,1825.0,assigned,False,assumed_constant,True,False,single 1825 polygon held across a 30y span (1800-1830); borders may have changed,0
COL-1830-1903,Colombia (to 1903),1830,1903,cliopatria,1830.0,assigned,True,assumed_constant,True,True,single 1830 polygon held across a 73y span (1830-1903); borders may have changed,10
COL-1903-1922,Colombia (1903-1922),1903,1922,cshapes-2.0,1903.0,assigned,True,measured,False,False,vintage 1903 faithful to period 1903-1922,100
COL-1922-2025,Colombia,1922,2025,cshapes-2.0,1922.0,assigned,True,assumed_constant,True,True,single 1922 polygon held across a 103y span (1922-2025); borders may have changed,1221
COM-1946-1975,Comoros (1946-1975),1946,1975,cshapes-2.0,1946.0,assigned,True,assumed_constant,True,False,single 1946 polygon held across a 29y span (1946-1975); borders may have changed,0
COM-1975-2025,Comoros,1975,2025,cshapes-2.0,1946.0,assigned,False,back_projected,True,False,polygon vintage 1946 is BEFORE the period starts (1975),0
CPV-1886-1975,Cape Verde (Portuguese colony),1886,1975,cshapes-2.0,1886.0,assigned,True,unassigned,True,False,no polygon (honest gap; never a false territory),52
CPV-1975-2025,Cabo Verde,1975,2025,cshapes-2.0,1886.0,assigned,False,unassigned,True,False,no polygon (honest gap; never a false territory),0
CRI-1800-2025,Costa Rica,1800,2025,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 225y span (1800-2025); borders may have changed,930
CUB-1800-2025,Cuba,1800,2025,cshapes-2.0,1902.0,assigned,True,assumed_constant,True,True,single 1902 polygon held across a 225y span (1800-2025); borders may have changed,1153
CYP-1879-2025,Cyprus,1879,2025,cshapes-2.0,1960.0,assigned,True,assumed_constant,True,True,single 1960 polygon held across a 146y span (1879-2025); borders may have changed,1130
CYR-1949-1951,Emirate of Cyrenaica,1949,1951,,,unassigned,True,unassigned,True,False,no polygon (honest gap; never a false territory),78
TRP-1943-1951,British Military Administration of Tripolitania,1943,1951,,,unassigned,True,unassigned,True,False,no polygon (honest gap; never a false territory),11
CZE-1804-1918,"Czech Lands (Crownlands of Bohemia, 1804-1918)",1804,1918,constructed,1860.0,assigned,True,assumed_constant,True,False,single 1860 polygon held across a 114y span (1804-1918); borders may have changed,37
CZE-1947-1992,Czechoslovakia (1947-1992),1947,1992,cshapes-2.0,1945.0,assigned,True,back_projected,True,False,polygon vintage 1945 is BEFORE the period starts (1947),734
CZE-1993-2025,Czechia,1993,2025,cshapes-2.0,1993.0,assigned,False,assumed_constant,True,False,single 1993 polygon held across a 32y span (1993-2025); borders may have changed,0
CZN-1903-1979,Panama Canal Zone (US-administered),1903,1979,,,unassigned,True,unassigned,True,False,no polygon (honest gap; never a false territory),5
DEU-1800-1866,Prussia (to 1866),1800,1866,cshapes-europe,1851.0,assigned,True,assumed_constant,True,True,single 1851 polygon held across a 66y span (1800-1866); borders may have changed,138
DEU-1866-1871,North German Confederation (1866-1871),1866,1871,cshapes-europe,1867.0,assigned,True,measured,False,False,vintage 1867 faithful to period 1866-1871,47
DEU-1871-1919,German Empire (1871-1919),1871,1919,cshapes-europe,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 48y span (1871-1919); borders may have changed,902
DEU-1919-1920,Germany (1919-1920),1919,1920,cshapes-2.0,1919.0,assigned,True,measured,False,False,vintage 1919 faithful to period 1919-1920,29
DEU-1920-1938,Germany (1920-1938),1920,1938,cshapes-2.0,1920.0,assigned,True,measured,False,True,vintage 1920 faithful to period 1920-1938; footnote coverage caveat (FAO/IIA yearbook),864
DEU-1938-1945,Germany (1938-1945),1938,1945,cshapes-2.0,1938.0,assigned,True,measured,False,False,vintage 1938 faithful to period 1938-1945,266
DEU-1945-1949,Allied-occupied Germany,1945,1949,constructed,,assigned,True,assumed_constant,True,True,polygon present but no recorded vintage year; footnote coverage caveat (FAO/IIA yearbook),186
DEU-1949-1990,"Germany (divided, 1949-1990)",1949,1990,constructed,,assigned,True,assumed_constant,True,True,polygon present but no recorded vintage year; footnote coverage caveat (FAO/IIA yearbook),689
DEU-1990-2025,Germany,1990,2025,cshapes-2.0,1990.0,assigned,False,assumed_constant,True,False,single 1990 polygon held across a 35y span (1990-2025); borders may have changed,0
DGM-1800-1899,Kingdom of Dagbon (Dagomba),1800,1899,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
DHY-1800-1894,Kingdom of Dahomey,1800,1894,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
DJI-1886-2025,Djibouti,1886,2025,cshapes-2.0,1900.0,assigned,True,assumed_constant,True,True,single 1900 polygon held across a 139y span (1886-2025); borders may have changed,6
DMA-1800-2025,Dominica,1800,2025,gadm-4.1-adm0,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,115
DMG-1800-1899,Sultanate of Damagaram,1800,1899,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
DMO-1800-1860,Duchy Modena,1800,1860,cliopatria,1815.0,assigned,True,assumed_constant,True,False,single 1815 polygon held across a 60y span (1800-1860); borders may have changed,0
DNK-1800-1864,Denmark (with Schleswig-Holstein),1800,1864,cshapes-europe,1816.0,assigned,True,assumed_constant,True,True,single 1816 polygon held across a 64y span (1800-1864); borders may have changed,11
DNK-1864-1920,Denmark (to 1920),1864,1920,cshapes-europe,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 56y span (1864-1920); borders may have changed,804
DNK-1920-2025,Denmark,1920,2025,cshapes-2.0,1920.0,assigned,True,assumed_constant,True,True,single 1920 polygon held across a 105y span (1920-2025); borders may have changed,1290
DOM-1800-2025,Dominican Republic,1800,2025,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 225y span (1800-2025); borders may have changed,1097
DPA-1800-1860,Duchy Parma,1800,1860,cliopatria,1815.0,assigned,True,assumed_constant,True,False,single 1815 polygon held across a 60y span (1800-1860); borders may have changed,0
DRV-1954-1975,Democratic Republic of Vietnam (North Vietnam),1954,1975,cshapes-2.0,1960.0,assigned,True,measured,False,False,vintage 1960 faithful to period 1954-1975,0
DZA-1831-1886,Algeria,1831,1886,cshapes-2.0,1962.0,assigned,True,back_projected,True,True,polygon vintage 1962 is AFTER the period ends (1886) — later/modern border applied back,253
DZA-1886-1902,Algeria (1886-1902),1886,1902,cshapes-2.0,1886.0,assigned,True,measured,False,False,vintage 1886 faithful to period 1886-1902,241
DZA-1902-1919,Algeria (1902-1919),1902,1919,cshapes-2.0,1902.0,assigned,True,measured,False,False,vintage 1902 faithful to period 1902-1919,432
DZA-1919-1962,Algeria (1919-1962),1919,1962,cshapes-2.0,1919.0,assigned,True,assumed_constant,True,True,single 1919 polygon held across a 43y span (1919-1962); borders may have changed,1505
DZA-1962-2025,Algeria (1962-2025),1962,2025,cshapes-2.0,1962.0,assigned,False,assumed_constant,True,False,single 1962 polygon held across a 63y span (1962-2025); borders may have changed,0
ECU-1800-1942,Ecuador (to 1942),1800,1942,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 142y span (1800-1942); borders may have changed,398
ECU-1942-2025,Ecuador,1942,2025,cshapes-2.0,1942.0,assigned,True,assumed_constant,True,True,single 1942 polygon held across a 83y span (1942-2025); borders may have changed,732
EGB-1830-1914,Egba United Government (Abeokuta),1830,1914,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
EGY-1800-1899,Egypt (to 1899),1800,1899,cliopatria,1848.0,assigned,True,assumed_constant,True,True,single 1848 polygon held across a 99y span (1800-1899); borders may have changed,84
EGY-1899-1925,Egypt (1899-1925),1899,1925,cshapes-2.0,1899.0,assigned,True,assumed_constant,True,True,single 1899 polygon held across a 26y span (1899-1925); borders may have changed,514
