polity_code,item,unit,year,sources,labels,value_min,value_max,ratio,known_defect
F248-1920-1947,wheat,ha,1925,iia;juan,serbia;yugoslav sfr,2000,1.773e+06,886.7000,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,grapes,ha,1931,iia;juan,czech republic;czechoslovakia,23,1.88e+04,817.3913,iia-item-series-switch-raw-products;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,ha,1925,iia;juan,czech republic;czechoslovakia,1615,6.174e+05,382.2910,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1931,iia;juan,serbia;yugoslav sfr,9580,2.689e+06,280.6493,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1939,iia;juan,serbia;yugoslav sfr,1.17e+04,2.876e+06,245.7778,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,tonnes,1938,iia;juan,czech republic;czechoslovakia,9800,1.814e+06,185.1020,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1933,iia;juan,serbia;yugoslav sfr,1.442e+04,2.629e+06,182.3492,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,ha,1938,iia;juan,czech republic;czechoslovakia,5000,8.98e+05,179.6000,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1930,iia;juan,serbia;yugoslav sfr,1.248e+04,2.186e+06,175.1919,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,tonnes,1935,iia;juan,czech republic;czechoslovakia,9900,1.69e+06,170.7071,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,tonnes,1936,iia;juan,czech republic;czechoslovakia,9100,1.513e+06,166.2308,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,ha,1935,iia;juan,czech republic;czechoslovakia,6000,9.63e+05,160.5000,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,tonnes,1937,iia;juan,czech republic;czechoslovakia,8700,1.395e+06,160.3793,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,ha,1936,iia;juan,czech republic;czechoslovakia,6000,9.27e+05,154.5000,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,ha,1939,iia;juan,serbia;yugoslav sfr,1.5e+04,2.203e+06,146.8667,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1925,iia;juan,serbia;yugoslav sfr,1.482e+04,2.14e+06,144.4226,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,tonnes,1943,iia;juan,czech republic;czechoslovakia,1.09e+04,1.561e+06,143.2110,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,ha,1937,iia;juan,czech republic;czechoslovakia,6000,8.49e+05,141.5000,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,tonnes,1934,iia;juan,czech republic;czechoslovakia,9800,1.361e+06,138.8980,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,ha,1934,iia;juan,czech republic;czechoslovakia,7000,9.31e+05,133.0000,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,ha,1931,iia;juan,serbia;yugoslav sfr,1.652e+04,2.14e+06,129.5467,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1932,iia;juan,serbia;yugoslav sfr,1.138e+04,1.455e+06,127.8359,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1922,iia;juan,serbia;yugoslav sfr,9489,1.21e+06,127.5508,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,ha,1933,iia;juan,serbia;yugoslav sfr,1.672e+04,2.079e+06,124.3719,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,ha,1932,iia;juan,serbia;yugoslav sfr,1.639e+04,1.95e+06,119.0345,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,ha,1930,iia;juan,serbia;yugoslav sfr,1.843e+04,2.123e+06,115.1730,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
KOR-1800-1945,"tobacco, unmanufactured",tonnes,1934,iia;mitchell,korea;south korea,1.5e+04,1.54e+06,102.6933,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,ha,1943,iia;juan,czech republic;czechoslovakia,9000,9.1e+05,101.1111,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
KOR-1800-1945,"tobacco, unmanufactured",tonnes,1941,iia;mitchell,korea;south korea,3.5e+04,3.512e+06,100.3429,iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
KOR-1800-1945,"tobacco, unmanufactured",tonnes,1939,iia;mitchell,korea;south korea,3.1e+04,3.102e+06,100.0613,iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F248-1920-1947,hops,tonnes,1935,iia;juan,serbia;yugoslav sfr,1891,1.891e+05,100.0000,iia-1933-x10-wrong-volume-cells;iia-hops-x100;layerb-nested-reporting-levels-one-polity
F248-1920-1947,hops,tonnes,1936,iia;juan,serbia;yugoslav sfr,1962,1.962e+05,100.0000,iia-1933-x10-wrong-volume-cells;iia-hops-x100;layerb-nested-reporting-levels-one-polity
F248-1920-1947,hops,tonnes,1937,iia;juan,serbia;yugoslav sfr,2132,2.132e+05,100.0000,iia-1933-x10-wrong-volume-cells;iia-hops-x100;layerb-nested-reporting-levels-one-polity
F248-1920-1947,hops,tonnes,1938,iia;juan,serbia;yugoslav sfr,1600,1.6e+05,100.0000,iia-1933-x10-wrong-volume-cells;iia-hops-x100;layerb-nested-reporting-levels-one-polity
F248-1920-1947,hops,tonnes,1939,iia;juan,serbia;yugoslav sfr,1815,1.815e+05,100.0000,iia-hops-x100;layerb-nested-reporting-levels-one-polity
F248-1920-1947,"tobacco, unmanufactured",tonnes,1934,iia;juan,serbia;yugoslav sfr,6049,6.049e+05,100.0000,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F248-1920-1947,"tobacco, unmanufactured",tonnes,1935,iia;juan,serbia;yugoslav sfr,9249,9.249e+05,100.0000,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F248-1920-1947,"tobacco, unmanufactured",tonnes,1936,iia;juan,serbia;yugoslav sfr,1.662e+04,1.662e+06,100.0000,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F248-1920-1947,"tobacco, unmanufactured",tonnes,1937,iia;juan,serbia;yugoslav sfr,2.078e+04,2.078e+06,100.0000,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F248-1920-1947,"tobacco, unmanufactured",tonnes,1938,iia;juan,serbia;yugoslav sfr,1.471e+04,1.471e+06,100.0000,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F248-1920-1947,"tobacco, unmanufactured",tonnes,1939,iia;juan,serbia;yugoslav sfr,1.543e+04,1.543e+06,100.0000,iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F248-1920-1947,"tobacco, unmanufactured",tonnes,1945,iia;juan,serbia;yugoslav sfr,1.27e+04,1.27e+06,100.0000,iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F51-1918-1938,hops,tonnes,1934,iia;juan,czech republic;czechoslovakia,7074,7.074e+05,100.0000,iia-1933-x10-wrong-volume-cells;iia-hops-x100;layerb-nested-reporting-levels-one-polity
F51-1918-1938,hops,tonnes,1935,iia;juan,czech republic;czechoslovakia,7619,7.619e+05,100.0000,iia-1933-x10-wrong-volume-cells;iia-hops-x100;layerb-nested-reporting-levels-one-polity
F51-1918-1938,hops,tonnes,1936,iia;juan,czech republic;czechoslovakia,1.208e+04,1.208e+06,100.0000,iia-1933-x10-wrong-volume-cells;iia-hops-x100;layerb-nested-reporting-levels-one-polity
F51-1918-1938,hops,tonnes,1937,iia;juan,czech republic;czechoslovakia,1.216e+04,1.216e+06,100.0000,iia-1933-x10-wrong-volume-cells;iia-hops-x100;layerb-nested-reporting-levels-one-polity
F51-1918-1938,"tobacco, unmanufactured",tonnes,1934,iia;juan,czech republic;czechoslovakia,1.368e+04,1.368e+06,100.0000,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F51-1918-1938,"tobacco, unmanufactured",tonnes,1935,iia;juan,czech republic;czechoslovakia,1.363e+04,1.363e+06,100.0000,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F51-1918-1938,"tobacco, unmanufactured",tonnes,1936,iia;juan,czech republic;czechoslovakia,1.507e+04,1.507e+06,100.0000,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F51-1918-1938,"tobacco, unmanufactured",tonnes,1937,iia;juan,czech republic;czechoslovakia,1.404e+04,1.404e+06,100.0000,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F51-1938-1945,hops,tonnes,1940,iia;juan,czech republic;czechoslovakia,4576,4.576e+05,100.0000,iia-hops-x100;layerb-nested-reporting-levels-one-polity
F51-1938-1945,hops,tonnes,1941,iia;juan,czech republic;czechoslovakia,3527,3.527e+05,100.0000,iia-hops-x100;layerb-nested-reporting-levels-one-polity
F51-1938-1945,hops,tonnes,1942,iia;juan,czech republic;czechoslovakia,3107,3.107e+05,100.0000,iia-hops-x100;layerb-nested-reporting-levels-one-polity
F51-1938-1945,hops,tonnes,1943,iia;juan,czech republic;czechoslovakia,3152,3.152e+05,100.0000,iia-hops-x100;layerb-nested-reporting-levels-one-polity
F51-1938-1945,"tobacco, unmanufactured",tonnes,1939,iia;juan,czech republic;czechoslovakia,9330,9.33e+05,100.0000,iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F51-1938-1945,"tobacco, unmanufactured",tonnes,1941,iia;juan,czech republic;czechoslovakia,6914,6.914e+05,100.0000,iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F51-1938-1945,"tobacco, unmanufactured",tonnes,1942,iia;juan,czech republic;czechoslovakia,7468,7.468e+05,100.0000,iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F51-1938-1945,"tobacco, unmanufactured",tonnes,1943,iia;juan,czech republic;czechoslovakia,5429,5.429e+05,100.0000,iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F51-1938-1945,"tobacco, unmanufactured",tonnes,1944,iia;juan,czech republic;czechoslovakia,3928,3.928e+05,100.0000,iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F51-1945-1947,hops,tonnes,1945,iia;juan,czech republic;czechoslovakia,3721,3.721e+05,100.0000,iia-hops-x100;layerb-nested-reporting-levels-one-polity
F51-1945-1947,"tobacco, unmanufactured",tonnes,1945,iia;juan,czech republic;czechoslovakia,2500,2.5e+05,100.0000,iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F51-1938-1945,hops,tonnes,1939,iia;juan,czech republic;czechoslovakia,7635,7.634e+05,99.9869,iia-hops-x100;layerb-nested-reporting-levels-one-polity
F51-1938-1945,"tobacco, unmanufactured",tonnes,1940,iia;juan,czech republic;czechoslovakia,7803,7.8e+05,99.9616,iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
KOR-1800-1945,"tobacco, unmanufactured",tonnes,1938,iia;mitchell,korea;south korea,2.8e+04,2.798e+06,99.9429,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
KOR-1800-1945,"tobacco, unmanufactured",tonnes,1935,iia;mitchell,korea;south korea,2.2e+04,2.192e+06,99.6409,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F248-1920-1947,hops,tonnes,1934,iia;juan,serbia;yugoslav sfr,1455,1.433e+05,98.4880,iia-1933-x10-wrong-volume-cells;iia-hops-x100;layerb-nested-reporting-levels-one-polity
KOR-1800-1945,"tobacco, unmanufactured",tonnes,1936,iia;mitchell,korea;south korea,2.1e+04,2.063e+06,98.2190,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
KOR-1800-1945,"tobacco, unmanufactured",tonnes,1937,iia;mitchell,korea;south korea,2.7e+04,2.649e+06,98.1037,iia-1933-x10-wrong-volume-cells;iia-corrupted-country-labels;iia-tobacco-implausible-magnitudes;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1924,iia;juan,serbia;yugoslav sfr,1.604e+04,1.572e+06,97.9986,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,tonnes,1944,iia;juan,czech republic;czechoslovakia,1.26e+04,1.21e+06,96.0317,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1923,iia;juan,serbia;yugoslav sfr,1.828e+04,1.662e+06,90.9181,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1945-1947,wheat,tonnes,1945,iia;juan,czech republic;czechoslovakia,1.29e+04,1.122e+06,86.9380,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1945-1947,wheat,ha,1945,iia;juan,czech republic;czechoslovakia,1e+04,8.43e+05,84.3000,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,ha,1944,iia;juan,czech republic;czechoslovakia,1.1e+04,9.12e+05,82.9091,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,ha,1924,iia;juan,serbia;yugoslav sfr,2.209e+04,1.717e+06,77.7270,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,tonnes,1942,iia;juan,czech republic;czechoslovakia,1.96e+04,1.451e+06,74.0102,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,tonnes,1939,iia;juan,czech republic;czechoslovakia,2.18e+04,1.572e+06,72.1147,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,ha,1922,iia;juan,serbia;yugoslav sfr,2.108e+04,1.48e+06,70.2296,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,ha,1923,iia;juan,serbia;yugoslav sfr,2.295e+04,1.555e+06,67.7648,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,ha,1939,iia;juan,czech republic;czechoslovakia,1.4e+04,8.5e+05,60.7143,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,ha,1942,iia;juan,czech republic;czechoslovakia,1.6e+04,8.71e+05,54.4375,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1936,iia;juan,serbia;yugoslav sfr,5.48e+04,2.924e+06,53.3504,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,tonnes,1940,iia;juan,czech republic;czechoslovakia,2.17e+04,1.111e+06,51.1797,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1938,iia;juan,serbia;yugoslav sfr,6.05e+04,3.03e+06,50.0810,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,tonnes,1924,iia;juan,czech republic;czechoslovakia,1.777e+04,8.774e+05,49.3851,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,tonnes,1925,iia;juan,czech republic;czechoslovakia,2.246e+04,1.07e+06,47.6231,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,ha,1940,iia;juan,czech republic;czechoslovakia,1.7e+04,7.46e+05,43.8824,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,rye,tonnes,1943,iia;juan,czech republic;czechoslovakia,3.6e+04,1.536e+06,42.6667,iia-attributable-single-cell-errors;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1935,iia;juan,serbia;yugoslav sfr,4.67e+04,1.99e+06,42.6017,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,rye,tonnes,1942,iia;juan,czech republic;czechoslovakia,2.95e+04,1.231e+06,41.7288,iia-attributable-single-cell-errors;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,tonnes,1923,iia;juan,czech republic;czechoslovakia,2.376e+04,9.859e+05,41.4924,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1937,iia;juan,serbia;yugoslav sfr,5.77e+04,2.347e+06,40.6759,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,wheat,tonnes,1941,iia;juan,czech republic;czechoslovakia,2.96e+04,1.16e+06,39.1993,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,ha,1924,iia;juan,czech republic;czechoslovakia,1.578e+04,6.057e+05,38.3938,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,tonnes,1922,iia;juan,czech republic;czechoslovakia,2.398e+04,9.15e+05,38.1618,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,tonnes,1934,iia;juan,serbia;yugoslav sfr,4.93e+04,1.86e+06,37.7201,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,rye,tonnes,1944,iia;juan,czech republic;czechoslovakia,3.25e+04,1.214e+06,37.3538,iia-attributable-single-cell-errors;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,ha,1923,iia;juan,czech republic;czechoslovakia,1.687e+04,6.097e+05,36.1497,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,ha,1936,iia;juan,serbia;yugoslav sfr,6.2e+04,2.211e+06,35.6613,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1938-1945,rye,ha,1943,iia;juan,czech republic;czechoslovakia,2.6e+04,9.26e+05,35.6154,iia-attributable-single-cell-errors;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,ha,1935,iia;juan,serbia;yugoslav sfr,6.1e+04,2.15e+06,35.2459,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1945-1947,rye,tonnes,1945,iia;juan,czech republic;czechoslovakia,2.8e+04,9.81e+05,35.0357,iia-attributable-single-cell-errors;layerb-nested-reporting-levels-one-polity
F248-1920-1947,wheat,ha,1934,iia;juan,serbia;yugoslav sfr,5.8e+04,2.024e+06,34.8966,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,ha,1922,iia;juan,czech republic;czechoslovakia,1.8e+04,6.179e+05,34.3278,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
