layer_b_label,item,unit,n_values,n_distinct,raw_label,raw_product,product_agrees,share,status,runner_up,label_is_mixed
austria,sugar raw centrifugal,tonnes,32,32,austria,sugar: beet,yes,1.0000,attributable,us puerto rico/tobacco=0.03,yes
austria,wine,ha,18,15,austria,wine,yes,1.0000,attributable,japanese taiwan/groundnut=0.11,yes
austria,wine,tonnes,31,31,,,,,unattributable,yugoslavia/wine=0.00,yes
austria,yarn of true hemp,ha,13,9,austria,hemp: fibre,yes,1.0000,attributable,sweden/tobacco=0.38,yes
austria,yarn of true hemp,tonnes,24,21,austria,hemp: fibre,yes,1.0000,attributable,french tonkin/cotton: ginned=0.17,yes
"china, mainland",beans dry,ha,1,1,,,,,too_few_values,,yes
"china, mainland",beans dry,tonnes,2,2,,,,,too_few_values,,yes
"china, mainland",castor beans seed,tonnes,4,4,,,,,too_few_values,,yes
"china, mainland",cotton lint,ha,18,17,china,cottonseed,yes,0.8889,attributable,usa/citrus fruits: grapefruits=0.06,yes
"china, mainland",cotton seed,ha,18,17,china,cottonseed,yes,0.8889,attributable,usa/citrus fruits: grapefruits=0.06,yes
"china, mainland",cotton seed,tonnes,19,19,china,cottonseed,yes,0.8947,attributable,total south hemisphere aggregated/groundnut=0.05,yes
"china, mainland",eggs hen in shell,tonnes,8,8,japan: kwantung leased territory,eggs,yes,1.0000,attributable,yugoslavia/wine=0.00,yes
"china, mainland",flax fibre and tow,ha,1,1,,,,,too_few_values,,yes
"china, mainland",flax fibre and tow,tonnes,1,1,,,,,too_few_values,,yes
"china, mainland",groundnuts with shell,ha,13,13,,,,,unattributable,japan: kwantung leased territory/groundnut=0.54,yes
"china, mainland",groundnuts with shell,tonnes,3,3,,,,,too_few_values,,yes
"china, mainland",hemp tow waste,tonnes,1,1,,,,,too_few_values,,yes
"china, mainland",hempseed,ha,2,2,,,,,too_few_values,,yes
"china, mainland",hempseed,tonnes,2,2,,,,,too_few_values,,yes
"china, mainland",jute,tonnes,1,1,,,,,too_few_values,,yes
"china, mainland",linseed,tonnes,1,1,,,,,too_few_values,,yes
"china, mainland",n,tonnes,3,3,,,,,too_few_values,,yes
"china, mainland",rapeseed,ha,5,5,,,,,too_few_values,,yes
"china, mainland",rapeseed,tonnes,15,15,china,rapeseed,yes,1.0000,attributable,yugoslavia/wine=0.00,yes
"china, mainland",sesame seed,ha,7,7,,,,,too_few_values,,yes
"china, mainland",sesame seed,tonnes,15,15,,,,,unattributable,china/sesame=0.53,yes
"china, mainland",silk worm cocoons reelable,tonnes,12,12,china,sericulture,no,1.0000,attributable,yugoslavia/wine=0.00,yes
"china, mainland",soybeans,ha,12,12,,,,,unattributable,china/soybean=0.25,yes
"china, mainland",soybeans,tonnes,13,13,,,,,unattributable,total/cottonseed=0.08,yes
"china, mainland",tea,tonnes,15,15,china,tea,yes,1.0000,attributable,yugoslavia/wine=0.00,yes
"china, mainland",tobacco unmanufactured,ha,10,9,china,tobacco,yes,1.0000,attributable,italy/oats=0.10,yes
"china, mainland",tobacco unmanufactured,tonnes,1,1,,,,,too_few_values,,yes
indonesia,cacao beans,ha,14,8,,,,,unattributable,dutch east indies/cacao: raw=0.57,yes
indonesia,cacao beans,tonnes,28,27,,,,0.7857,split_candidate,early=dutch java and madura/cacao: raw 1909-1919 (11d); late=dutch east indies/cacao: raw 1925-1943 (10d),yes
indonesia,castor beans seed,ha,3,2,,,,,too_few_values,,yes
indonesia,castor beans seed,tonnes,2,2,,,,,too_few_values,,yes
indonesia,coffee green,ha,16,16,,,,,unattributable,dutch east indies/coffee: raw=0.19,yes
indonesia,cotton lint,ha,21,20,dutch east indies,cotton,yes,0.6667,attributable,dutch java and madura/cottonseed=0.14,yes
indonesia,cotton lint,tonnes,29,27,,,,,unattributable,dutch east indies/cotton=0.52,yes
indonesia,cotton seed,ha,11,10,dutch east indies,cottonseed,yes,0.7273,attributable,dutch java and madura/cottonseed=0.27,yes
indonesia,cotton seed,tonnes,18,17,,,,,unattributable,dutch east indies/cottonseed=0.56,yes
indonesia,fertilizer mixed,tonnes,4,4,,,,,too_few_values,,yes
indonesia,groundnuts with shell,ha,16,16,dutch java and madura,groundnut,yes,0.8750,attributable,total/hemp: fibre=0.12,yes
indonesia,p,tonnes,12,12,dutch east indies,"fertilizers: phosphate, natural",unknown,1.0000,attributable,"peru/fertilizers: guano, natural=0.08",yes
indonesia,rubber natural,ha,10,10,,,,,unattributable,dutch java and madura/rubber=0.20,yes
indonesia,sesame seed,ha,12,10,dutch east indies,sesame,yes,0.8333,attributable,japanese korea/tobacco=0.25,yes
indonesia,sesame seed,tonnes,12,9,dutch east indies,sesame,yes,1.0000,attributable,dutch guiana/coffee: raw=0.17,yes
indonesia,soybeans,ha,12,12,dutch java and madura,soybean,yes,0.8333,attributable,total general including the ussr/linseed=0.08,yes
indonesia,soybeans,tonnes,11,11,dutch java and madura,soybean,yes,0.8182,attributable,total south hemisphere aggregated/rye=0.09,yes
indonesia,sugar raw centrifugal,tonnes,33,33,dutch java and madura,sugar: cane,yes,0.8788,attributable,switzerland/sugar: beet=0.03,yes
indonesia,tea,ha,17,13,,,,,unattributable,dutch east indies/tea=0.53,yes
indonesia,tobacco unmanufactured,ha,21,19,,,,,unattributable,dutch east indies/tobacco=0.52,yes
indonesia,tobacco unmanufactured,tonnes,1,1,,,,,too_few_values,,yes
malaysia,coffee green,ha,23,19,,,,1.0000,split_candidate,early=british federated malay states/coffee: raw 1909-1920 (12d); late=british malaya/coffee: raw 1930-1944 (7d),yes
malaysia,coffee green,tonnes,14,14,british federated malay states,coffee: raw,yes,0.9286,attributable,hungary/flax: fibre=0.07,yes
malaysia,rubber natural,ha,8,5,,,,,too_few_distinct,,yes
malaysia,tea,ha,10,8,british malaya,tea,yes,1.0000,attributable,ireland/flax: fibre=0.50,yes
malaysia,tea,tonnes,6,6,,,,,too_few_values,,yes
malaysia,tobacco unmanufactured,ha,19,15,british borneo,tobacco,yes,0.8947,attributable,uruguay/rye=0.21,yes
malaysia,tobacco unmanufactured,tonnes,16,16,british borneo,tobacco,yes,1.0000,attributable,spanish fernando po/cacao: raw=0.06,yes
niger,cotton lint,ha,11,11,french west africa,cottonseed,yes,0.6364,attributable,french niger/cottonseed=0.36,yes
niger,cotton lint,tonnes,17,17,french west africa,cotton: ginned,yes,0.6471,attributable,french niger/cotton=0.24,yes
niger,cotton seed,ha,11,11,french west africa,cottonseed,yes,0.6364,attributable,french niger/cottonseed=0.36,yes
niger,cotton seed,tonnes,15,15,french west africa,cottonseed,yes,0.7333,attributable,french niger/cottonseed=0.27,yes
niger,eggs hen in shell,tonnes,9,6,french niger,eggs,yes,1.0000,attributable,yugoslavia/wine=0.00,yes
niger,groundnuts with shell,ha,15,14,french niger,groundnut,yes,1.0000,attributable,total general excluding the ussr/hops=0.13,yes
niger,groundnuts with shell,tonnes,1,1,,,,,too_few_values,,yes
niger,sesame seed,ha,7,4,,,,,too_few_values,,yes
niger,sesame seed,tonnes,1,1,,,,,too_few_values,,yes
niger,tobacco unmanufactured,ha,13,5,,,,,too_few_distinct,,yes
niger,tobacco unmanufactured,tonnes,15,14,french niger,tobacco,yes,1.0000,attributable,paraguay/cottonseed=0.13,yes
papua new guinea,cacao beans,ha,15,11,dutch new guinea,cacao: raw,yes,1.0000,attributable,union of south africa/tea=0.33,yes
papua new guinea,cacao beans,tonnes,9,8,dutch new guinea,cacao: raw,yes,1.0000,attributable,us puerto rico/cottonseed=0.22,yes
papua new guinea,coffee green,ha,5,5,,,,,too_few_values,,yes
papua new guinea,rubber natural,ha,4,2,,,,,too_few_values,,yes
papua new guinea,tobacco unmanufactured,ha,8,7,australian papua and new guinea,tobacco,yes,1.0000,attributable,british mauritius/coffee: raw=0.12,yes
papua new guinea,tobacco unmanufactured,tonnes,5,5,,,,,too_few_values,,yes
russian federation,beans dry,ha,1,1,,,,,too_few_values,,yes
russian federation,castor beans seed,tonnes,1,1,,,,,too_few_values,,yes
russian federation,cotton lint,ha,22,21,,,,,unattributable,ussr/cottonseed=0.50,yes
russian federation,cotton lint,tonnes,22,22,,,,,unattributable,ussr/cotton: ginned=0.32,yes
russian federation,cotton seed,ha,15,14,ussr,cottonseed,yes,0.7333,attributable,ussr in asia/cottonseed=0.27,yes
russian federation,cotton seed,tonnes,15,15,ussr,cottonseed,yes,0.7333,attributable,ussr in asia/cottonseed=0.27,yes
russian federation,eggs hen in shell,tonnes,7,7,,,,,too_few_values,,yes
russian federation,fertilizer mixed,tonnes,1,1,,,,,too_few_values,,yes
russian federation,flax fibre and tow,ha,26,26,,,,,unattributable,ussr/linseed=0.19,yes
russian federation,flax fibre and tow,tonnes,20,20,,,,,unattributable,ussr/flax: fibre=0.25,yes
russian federation,grapes,ha,7,7,,,,,too_few_values,,yes
russian federation,grapes,tonnes,3,3,,,,,too_few_values,,yes
russian federation,groundnuts with shell,ha,6,6,,,,,too_few_values,,yes
russian federation,groundnuts with shell,tonnes,1,1,,,,,too_few_values,,yes
russian federation,hemp tow waste,ha,12,12,,,,,unattributable,ussr/hemp: fibre=0.08,yes
russian federation,hemp tow waste,tonnes,2,2,,,,,too_few_values,,yes
russian federation,hempseed,ha,14,14,ussr,hempseed,yes,0.6429,attributable,ussr in europe/hempseed=0.29,yes
russian federation,hempseed,tonnes,19,16,,,,,unattributable,ussr/hempseed=0.37,yes
russian federation,hops,tonnes,7,7,,,,,too_few_values,,yes
russian federation,k,tonnes,2,2,,,,,too_few_values,,yes
russian federation,linseed,ha,8,8,,,,,unattributable,ussr in europe/linseed=0.50,yes
russian federation,linseed,tonnes,15,15,,,,,unattributable,ussr in europe/linseed=0.27,yes
russian federation,n,tonnes,9,9,,,,,unattributable,ussr/fertilizers: ammonium sulfate=0.33,yes
russian federation,oats,ha,1,1,,,,,too_few_values,,yes
russian federation,oranges,ha,8,5,,,,,too_few_distinct,,yes
russian federation,oranges,tonnes,7,7,,,,,too_few_values,,yes
russian federation,p,tonnes,12,11,russia,"fertilizers: phosphate, natural",unknown,0.6667,attributable,yugoslavia/wine=0.00,yes
russian federation,rapeseed,ha,12,12,,,,,unattributable,ussr/rapeseed=0.33,yes
russian federation,rapeseed,tonnes,9,9,,,,,unattributable,japan: karafuto prefecture/rapeseed=0.44,yes
russian federation,rye,ha,31,31,ussr,rye,yes,0.6452,attributable,total/rye=0.19,yes
russian federation,rye,tonnes,28,28,ussr,rye,yes,0.6429,attributable,total/rye=0.11,yes
russian federation,sesame seed,ha,9,9,ussr,sesame,yes,1.0000,attributable,"total south hemisphere aggregated/vineyards: grapes, raisins=0.11",yes
russian federation,sesame seed,tonnes,5,5,,,,,too_few_values,,yes
russian federation,silk worm cocoons reelable,tonnes,16,16,ussr,sericulture,no,0.6250,attributable,switzerland/fertilizers: calcium superphosphate=0.06,yes
russian federation,soybeans,ha,9,9,,,,,unattributable,ussr/soybean=0.56,yes
russian federation,soybeans,tonnes,5,5,,,,,too_few_values,,yes
russian federation,sugar raw centrifugal,tonnes,23,23,,,,0.7391,split_candidate,early=russia in europe/sugar: beet 1909-1916 (6d); late=ussr/sugar: beet 1930-1940 (11d),yes
russian federation,tea,ha,6,6,,,,,too_few_values,,yes
russian federation,tea,tonnes,6,6,,,,,too_few_values,,yes
russian federation,tobacco unmanufactured,ha,21,20,ussr,tobacco,yes,0.6190,attributable,usa: california/vineyards: all=0.05,yes
russian federation,tobacco unmanufactured,tonnes,17,17,,,,1.0000,split_candidate,early=russia in europe/tobacco 1909-1916 (8d); late=ussr/tobacco 1923-1936 (9d),yes
russian federation,wheat,ha,6,6,,,,,too_few_values,,yes
russian federation,wheat,tonnes,2,2,,,,,too_few_values,,yes
russian federation,wine,ha,6,5,,,,,too_few_values,,yes
russian federation,wine,tonnes,3,2,,,,,too_few_values,,yes
russian federation,yarn of true hemp,ha,13,13,ussr,hemp: fibre,yes,0.6923,attributable,ussr in europe/hempseed=0.31,yes
russian federation,yarn of true hemp,tonnes,21,20,,,,,unattributable,ussr/hemp: fibre=0.33,yes
syrian arab republic,beans dry,ha,8,3,,,,,too_few_distinct,,yes
syrian arab republic,beans dry,tonnes,9,7,french syria,beans: dried,unknown,0.7778,attributable,guatemala/oats=0.33,yes
syrian arab republic,butter cow milk,tonnes,7,3,,,,,too_few_values,,yes
syrian arab republic,cheese processed,tonnes,7,4,,,,,too_few_values,,yes
syrian arab republic,cotton lint,ha,19,19,french syria and lebanon,cottonseed,yes,0.6316,attributable,french syria/cottonseed=0.37,yes
syrian arab republic,cotton lint,tonnes,19,19,,,,0.7368,split_candidate,early=french syria and lebanon/cotton 1922-1933 (8d); late=french syria/cotton: ginned 1939-1944 (6d),yes
syrian arab republic,cotton seed,ha,19,19,french syria and lebanon,cottonseed,yes,0.6316,attributable,french syria/cottonseed=0.37,yes
syrian arab republic,cotton seed,tonnes,19,19,french syria and lebanon,cottonseed,yes,0.6316,attributable,french syria/cottonseed=0.37,yes
syrian arab republic,eggs hen in shell,tonnes,14,14,,,,,unattributable,french syria and lebanon/eggs=0.57,yes
syrian arab republic,grapes,ha,16,16,,,,,unattributable,"french syria and lebanon/vineyards: grapes, raisins=0.31",yes
syrian arab republic,grapes,tonnes,9,9,french syria and lebanon,"vineyards: grapes, raisins",yes,0.6667,attributable,turkey/cottonseed=0.11,yes
syrian arab republic,groundnuts with shell,tonnes,1,1,,,,,too_few_values,,yes
syrian arab republic,hemp tow waste,ha,7,4,,,,,too_few_values,,yes
syrian arab republic,hemp tow waste,tonnes,7,7,,,,,too_few_values,,yes
syrian arab republic,hempseed,ha,16,13,french syria,hemp: fibre,yes,0.6250,attributable,french syria and lebanon/hempseed=0.31,yes
syrian arab republic,hempseed,tonnes,18,16,,,,,unattributable,french syria/hemp=0.39,yes
syrian arab republic,milk whole fresh cow,tonnes,4,4,,,,,too_few_values,,yes
syrian arab republic,oats,ha,7,3,,,,,too_few_values,,yes
syrian arab republic,oats,tonnes,7,7,,,,,too_few_values,,yes
syrian arab republic,oil olive virgin,tonnes,4,4,,,,,too_few_values,,yes
syrian arab republic,olives,ha,17,13,,,,,unattributable,french syria and lebanon/olive grove=0.59,yes
syrian arab republic,olives,tonnes,18,18,,,,,unattributable,french syria/olive grove=0.39,yes
syrian arab republic,oranges,ha,9,6,french syria and lebanon,"citrus fruits: oranges, other",yes,1.0000,attributable,portuguese angola/tobacco=0.44,yes
syrian arab republic,oranges,tonnes,13,13,french syria and lebanon,"citrus fruits: oranges, other",yes,0.6923,attributable,yugoslavia/hemp: fibre=0.08,yes
syrian arab republic,other berries and fruits of the genus vaccinium n e c,ha,5,5,,,,,too_few_values,,yes
syrian arab republic,other berries and fruits of the genus vaccinium n e c,tonnes,5,5,,,,,too_few_values,,yes
syrian arab republic,raisins,tonnes,3,3,,,,,too_few_values,,yes
syrian arab republic,sesame seed,ha,20,12,,,,,unattributable,french syria and lebanon/sesame=0.45,yes
syrian arab republic,sesame seed,tonnes,20,17,,,,0.8000,split_candidate,early=french syria and lebanon/sesame 1930-1938 (8d); late=french syria/sesame 1939-1945 (6d),yes
syrian arab republic,silk worm cocoons reelable,tonnes,20,20,french syria and lebanon,sericulture,no,0.6500,attributable,total/hops=0.05,yes
syrian arab republic,tobacco unmanufactured,ha,16,10,french syria and lebanon,tobacco,yes,0.6875,attributable,french syria/tobacco=0.31,yes
syrian arab republic,tobacco unmanufactured,tonnes,16,16,french syria and lebanon,tobacco,yes,0.6875,attributable,french syria/tobacco=0.31,yes
syrian arab republic,wine,ha,3,2,,,,,too_few_values,,yes
syrian arab republic,wine,tonnes,13,12,,,,,unattributable,yugoslavia/wine=0.00,yes
syrian arab republic,yarn of true hemp,ha,11,10,french syria,hemp: fibre,yes,0.8182,attributable,french syria and lebanon/hempseed=0.36,yes
syrian arab republic,yarn of true hemp,tonnes,10,10,french syria,hemp: fibre,yes,0.9000,attributable,yugoslavia/linseed=0.20,yes
timor-leste,cacao beans,tonnes,8,8,portuguese timor,cacao: raw,yes,1.0000,attributable,yugoslavia/wine=0.00,yes
timor-leste,coffee green,tonnes,9,8,portuguese timor and kambing,coffee: raw,yes,1.0000,attributable,siam/sesame=0.33,yes
united states of america,cacao beans,tonnes,1,1,,,,,too_few_values,,yes
united states of america,cheese processed,tonnes,7,7,,,,,too_few_values,,yes
united states of america,coffee green,ha,28,25,,,,,unattributable,us puerto rico/coffee: raw=0.36,yes
united states of america,coffee green,tonnes,29,28,,,,,unattributable,us puerto rico/coffee: raw=0.21,yes
united states of america,cotton lint,ha,1,1,,,,,too_few_values,,yes
united states of america,cotton seed,ha,20,20,,,,,unattributable,usa/cottonseed=0.55,yes
united states of america,cotton seed,tonnes,1,1,,,,,too_few_values,,yes
united states of america,eggs hen in shell,tonnes,17,17,usa,eggs,yes,0.7059,attributable,yugoslavia/wine=0.00,yes
united states of america,fertilizer mixed,tonnes,17,17,usa,sulphur,no,1.0000,attributable,yugoslavia/wine=0.00,yes
united states of america,flax fibre and tow,ha,1,1,,,,,too_few_values,,yes
united states of america,flax fibre and tow,tonnes,6,6,,,,,too_few_values,,yes
united states of america,hemp tow waste,ha,5,5,,,,,too_few_values,,yes
united states of america,k,tonnes,4,4,,,,,too_few_values,,yes
united states of america,milk whole fresh cow,tonnes,1,1,,,,,too_few_values,,yes
united states of america,n,tonnes,17,12,usa and canada,fertilizers: calcium cyanamide,unknown,0.7647,attributable,usa/fertilizers: ammonium sulfate=0.24,yes
united states of america,p,tonnes,17,17,,,,,unattributable,"usa/fertilizers: calcium superphosphate, mixed, unmixed=0.59",yes
united states of america,raisins,ha,3,3,,,,,too_few_values,,yes
united states of america,raisins,tonnes,16,15,usa,raisins,yes,0.7500,attributable,"total/vineyards: grapes, raisins=0.06",yes
united states of america,sugar raw centrifugal,tonnes,33,33,,,,0.6061,split_candidate,early=usa/sugar: beet 1909-1921 (13d); late=usa: louisiana and florida/sugar: cane 1939-1945 (7d),yes
united states of america,wine,ha,7,6,,,,,too_few_values,,yes
united states of america,wine,tonnes,13,13,,,,,unattributable,yugoslavia/wine=0.00,yes
united states of america,yarn of true hemp,ha,1,1,,,,,too_few_values,,yes
united states of america,yarn of true hemp,tonnes,3,3,,,,,too_few_values,,yes
albania,beans dry,tonnes,1,1,,,,,too_few_values,,no
albania,eggs hen in shell,tonnes,6,3,,,,,too_few_values,,no
albania,rye,ha,1,1,,,,,too_few_values,,no
algeria,beans dry,ha,11,2,,,,,too_few_distinct,,no
algeria,beans dry,tonnes,13,4,,,,,too_few_distinct,,no
algeria,cotton lint,ha,24,20,french algeria,cottonseed,yes,0.6667,attributable,austria/hemp: fibre=0.25,no
algeria,cotton lint,tonnes,25,20,french algeria,cotton,yes,0.6400,attributable,british cyprus/hemp: fibre=0.24,no
algeria,cotton seed,ha,16,12,french algeria,cottonseed,yes,1.0000,attributable,austria/hemp: fibre=0.38,no
algeria,cotton seed,tonnes,17,12,french algeria,cottonseed,yes,1.0000,attributable,british cyprus/hemp: fibre=0.29,no
algeria,flax fibre and tow,ha,18,18,french algeria,flax,yes,0.7222,attributable,british jamaica/tobacco=0.11,no
algeria,flax fibre and tow,tonnes,5,5,,,,,too_few_values,,no
algeria,grapes,ha,24,23,,,,,unattributable,french algeria/vineyards=0.50,no
algeria,grapes,tonnes,10,10,french algeria,"vineyards: grapes, raisins",yes,0.9000,attributable,romania/flax: fibre=0.10,no
algeria,groundnuts with shell,ha,3,3,,,,,too_few_values,,no
algeria,groundnuts with shell,tonnes,3,3,,,,,too_few_values,,no
algeria,lemons and limes,ha,7,2,,,,,too_few_values,,no
algeria,lemons and limes,tonnes,11,11,french algeria,"citrus fruits: lemons, other",yes,1.0000,attributable,netherlands/flax: fibre=0.18,no
algeria,linseed,ha,5,5,,,,,too_few_values,,no
algeria,linseed,tonnes,18,18,french algeria,linseed,yes,1.0000,attributable,japanese taiwan/rapeseed=0.06,no
algeria,n,tonnes,1,1,,,,,too_few_values,,no
algeria,oats,tonnes,1,1,,,,,too_few_values,,no
algeria,oil olive virgin,tonnes,2,2,,,,,too_few_values,,no
algeria,olives,ha,15,13,french algeria,olive grove,yes,0.7333,attributable,"total/vineyards: grapes, raisins=0.13",no
algeria,olives,tonnes,28,28,french algeria,olive grove,yes,0.6071,attributable,"greece/vineyards: grapes, raisins=0.04",no
algeria,oranges,ha,14,9,french algeria,citrus fruits: oranges,yes,1.0000,attributable,french annam/groundnut=0.29,no
algeria,oranges,tonnes,14,14,french algeria,citrus fruits: oranges,yes,1.0000,attributable,yugoslavia/beans: dried=0.07,no
algeria,other berries and fruits of the genus vaccinium n e c,ha,2,1,,,,,too_few_values,,no
algeria,other sugar crops n e c,ha,3,3,,,,,too_few_values,,no
algeria,other sugar crops n e c,tonnes,3,3,,,,,too_few_values,,no
algeria,p,tonnes,17,17,french algeria,"fertilizers: phosphate, natural",unknown,1.0000,attributable,total/fertilizers: ammonium sulfate=0.06,no
algeria,rye,ha,33,20,french algeria,rye,yes,1.0000,attributable,british saint christopher and nevis/cottonseed=0.27,no
algeria,rye,tonnes,33,28,french algeria,rye,yes,1.0000,attributable,czechoslovakia/soybean=0.12,no
algeria,silk worm cocoons reelable,tonnes,14,12,french algeria,sericulture,no,1.0000,attributable,uruguay/rye=0.14,no
algeria,tangerines mandarins clementines satsumas,ha,14,5,,,,,too_few_distinct,,no
algeria,tangerines mandarins clementines satsumas,tonnes,14,13,french algeria,citrus fruits: mandarins,yes,1.0000,attributable,total/tobacco=0.21,no
algeria,tobacco unmanufactured,ha,33,31,french algeria,tobacco,yes,1.0000,attributable,italy/citrus fruits: lemons=0.12,no
algeria,tobacco unmanufactured,tonnes,1,1,,,,,too_few_values,,no
algeria,wine,ha,20,19,french algeria,wine,yes,1.0000,attributable,"total/vineyards: grapes, raisins=0.10",no
algeria,wine,tonnes,1,1,,,,,too_few_values,,no
american samoa,tobacco unmanufactured,ha,5,4,,,,,too_few_values,,no
american samoa,tobacco unmanufactured,tonnes,5,4,,,,,too_few_values,,no
angola,beans dry,ha,9,9,portuguese angola,beans: dried,unknown,1.0000,attributable,venezuela/coffee: raw=0.11,no
angola,beans dry,tonnes,12,12,portuguese angola,beans: dried,unknown,1.0000,attributable,uruguay/sunflower=0.08,no
angola,castor beans seed,tonnes,7,6,,,,,too_few_values,,no
angola,coffee green,ha,11,8,portuguese angola,coffee: raw,yes,1.0000,attributable,total north hemisphere aggregated excluding the ussr/hops=0.18,no
angola,cotton lint,ha,11,10,portuguese angola,cottonseed,yes,1.0000,attributable,us philippines/groundnut=0.18,no
angola,cotton lint,tonnes,14,11,portuguese angola,cotton: ginned,yes,0.8571,attributable,total/linseed=0.21,no
angola,cotton seed,ha,11,10,portuguese angola,cottonseed,yes,1.0000,attributable,us philippines/groundnut=0.18,no
