issue_id,polity_code,source,label,year_min,year_max,commodity,status,summary,date_logged
iia-hops-x100,,iia,(4 polities; see summary),1934,1945,hops,confirmed,"iia `hops` (tonnes) is carried 100x too large over 1934-1945, on the same evidence and in the same window as iia-tobacco-implausible-magnitudes -- and this commodity was NOT previously recorded. Measured by polity-level cross-source comparison (issue #375): iia is EXACTLY 100x `juan` on 15 cells, within 0.5%, across F248-1920-1947, F51-1918-1938, F51-1938-1945 and F51-1945-1947. Examples: F248 1935 iia 189,100 vs juan 1,891; 1937 iia 213,200 vs juan 2,132; F51 1934 iia 707,400 vs juan 7,074. World hop production in this period was on the order of 100,000 t, so 189,100 t for Yugoslavia alone is impossible on its own terms. That tobacco and hops share one factor, one window and one set of polities suggests a single extraction or unit fault affecting a group of items rather than a per-commodity error, so OTHER iia items in 1934-1945 should be checked the same way wherever a cross-source comparison exists. Two further cells sit at 13.3x and 98.5x rather than exactly 100x and are NOT explained by this. Repair for a compared cell is division by 100; for hops cells with no cross-source comparison the factor is inferred rather than measured.",2026-08-18
iia-item-series-switch-raw-products,,iia,(28 series; worst listed in summary),1909,1945,"(multiple: sugar, p, n, grapes, wheat, cotton lint, raisins)",confirmed,"A layer-B iia ITEM SERIES can be stitched from several DIFFERENT raw products, switching year to year, so its level shifts are product switches rather than changes in output. 28 series mix raw products whose levels differ by >=3x, each product supplying >=2 cells. The switches go BACK AND FORTH, which is what rules out growth as the explanation. CLEAREST CASE, australia / sugar raw centrifugal / tonnes, 33 cells: cane 131,961 t (1912) -> BEET 922 (1913, x0.01) -> beet through 1919 -> cane 165,616 (1920, x105) -> cane 297,700 (1921) -> BEET 2,829 (1922, x0.01) -> `sugar: cane, unrefined` 537,212 (1925, x175) -> cane through 1938 (783,200) -> BEET 6,400 (1939, x0.01) -> cane 611,300 (1944, x873). Australia's beet sugar industry was negligible, so 12 of the 33 cells are about 1/300 of the series they sit in. OTHERS: sweden p (superphosphate -> basic slag x0.08 -> superphosphate x28); japan n (calcium cyanamide with ammonium sulfate in 1919 x27 and 1933 x5); japan p x26; norway p x17; congo and niger cotton lint (cotton vs cotton: ginned, 8-11x); czech republic grapes (grapes: table vs vineyards: all vs grapes: wine vs vineyards: grapes+raisins -- five products in a 17-value series, 8 ha against 27,000 ha); australia/cyprus/japan/israel/turkey grapes; usa and australia raisins. WHY NOTHING CAUGHT IT: the source never changes, so 16_source_splices.py sees no seam; the values are plausible for the product they came from, so no magnitude screen fires; and the item name is constant, so nothing keyed on it notices. CONSEQUENCE: any trend, growth rate or level-shift reading of an affected series is measuring the yearbook's choice of table, not agriculture. This is the mechanism behind part of issue #360's level-shift confound. NOT REPAIRABLE by rescaling -- each cell needs re-attributing to its own item. See issue #378.",2026-08-18
iia-flax-fibre-item-is-mostly-linseed,,iia,"(12+ labels incl. argentina, australia, belgium, chile, egypt, japan)",1909,1945,flax fibre and tow / linseed,confirmed,"The layer-B iia item `flax fibre and tow` is MAJORITY LINSEED -- the seed, not the fibre -- even though a separate `linseed` item exists (377 rows). Flax gives two products from one plant and they are not interchangeable: linseed is an oilseed, flax fibre and tow is a textile fibre, and the quantities differ by orders of magnitude for the same country. Measured against the raw IIA extract with the raw label required to match the layer-B label: of 543 `flax fibre and tow` cells, 168 match raw `linseed` and 109 match raw `flax: fibre`; 58 match BOTH and are ambiguous. So 110 cells are unambiguously LINSEED against 51 unambiguously flax fibre -- the item carries more of the crop it is not named for. 19 OF THOSE CELLS ARE ALSO PRESENT UNDER THE LAYER-B `linseed` ITEM at the same label, year, value and unit, so one observation is counted twice and any oilseed or fibre aggregate summing both items double-counts them. Magnitude check that makes the direction obvious: argentina appears with 1,590,000 t (1933), 2,025,000 t (1934) and 2,059,000 ha (1935) under `flax fibre and tow`. Argentina was the world's largest LINSEED producer and grew essentially no flax fibre; world flax fibre output was on the order of 500,000 t in total, so these are linseed figures. Also affected: australia, belgium, bolivia, chile, egypt, japan, mexico, new zealand, sweden, turkey, uruguay. NOT REPAIRABLE BY RESCALING: each cell needs re-attributing to the correct item, and the 58 ambiguous cells cannot be attributed from the panel at all. HYPOTHESIS, NOT MEASURED: issue #360's worst source splice is `united states / flax fibre and tow / ha` at x1655 across a juan->mitchell boundary, and a linseed-vs-fibre switch would produce exactly that. I cannot test it, because the raw extract I have is IIA's and that splice is between two other sources. See issue #380.",2026-08-18
fao1952-hemp-germany-label-glued,,fao1952,France Germany; France Eastern; Western,1934,1938,hemp fibre,confirmed,"PROVEN BY ARITHMETIC: in fao1952's hemp-fibre table the labels `France Germany`, `France Eastern` and `Western` are GERMANY, GERMANY EASTERN and GERMANY WESTERN. The yearbook page listed France, then Germany with indented Eastern/Western sub-rows, and the extraction carried the preceding country name forward onto the sub-rows -- inconsistently, since `Western` kept no prefix. The proof is internal and needs no source page: `France Eastern` + `Western` = `France Germany` EXACTLY on both indicators for 1934-1938 -- production 2.9 + 1.2 = 4.1 (1000 t) and area 4.0 + 2.0 = 6.0 (1000 ha) -- which is the parent/child identity, and the table contains NO bare `Germany` label at all while carrying `France` separately at 3.9. A France-plus-Germany aggregate would not equal the sum of two German zones, and France's own row would not also be present. AFFECTED: 6 rows (2 per label). Small, but it is the only instance of this defect anywhere in the panel that can be settled from the numbers alone, so it is the template for the rest. WHAT THIS IS NOT: fao1952 encodes hierarchy by CONCATENATING parent and child, and that is normal and correct. `Germany Western` (254 rows), `China Taiwan` (143), `Korea South` (131), `Indochina Viet Nam` (109), `British Borneo Sarawak` (44) and `Libya Tripolitania` (37) are real parent-child labels; 46 labels share the surface pattern and 1,512 of their 1,567 rows are correctly assigned. The defect is only where the prefix is NOT a parent of the remainder -- `France Germany`, `Australia Fiji`, `Leeward Islands Trinidad and Tobago`, `Union of South Africa Zanzibar & Pemba` -- which takes geographic knowledge to tell apart and cannot be detected from the label shape. About 55 rows in total. See issue #29.",2026-08-18
iia-attributable-single-cell-errors,,iia,czech republic; serbia,1920,1945,rye; flax fibre and tow; rapeseed,confirmed,"13 INDIVIDUALLY ATTRIBUTABLE defective cells, and unlike almost everything else in this file they are REPAIRABLE, because the correct value is known. Method: two labels that route to the same polity make two sources directly comparable; where they agree to within 1% on 70%+ of at least 8 shared years, they demonstrably measure the same thing, so a cell where they diverge by more than 2x is the defect rather than a difference of scope -- and the agreeing side supplies the value. A bare ratio cannot do this: it tells you two sources disagree, not which is wrong. iia `czech republic` vs juan `czechoslovakia`: rye (ha) 19/23 years agree, diverging 1939 (iia 98,000 vs juan 984,000), 1940 (78,000 vs 708,000), 1941 (78,000 vs 784,000), 1943 (26,000 vs 926,000); rye (tonnes) 18/23 agree, diverging 1942 (29,500 vs 1,231,000), 1943 (36,000 vs 1,536,000), 1944 (32,500 vs 1,214,000), 1945 (28,000 vs 981,000); flax fibre and tow (ha) 20/23 agree, diverging 1942 only (4,000 vs 43,000). iia `serbia` vs juan `yugoslav sfr`: rye (ha) 15/17 agree, diverging 1931 (24,415 vs 244,150) and 1932 (24,296 vs 242,961) -- both EXACTLY one tenth, 244,150/10 = 24,415 and 242,961/10 = 24,296.1; rye (tonnes) 17/18 agree, diverging 1945 where iia is the LARGER side (979,900 vs 92,000); rapeseed (tonnes) 15/16 agree, diverging 1920 (1,929 vs 3,900, x2.0). SHAPE: most divergences are near-exact powers of ten in one direction or the other, i.e. dropped or added digits in single cells, not a systematic rescaling -- the surrounding years match to the digit (czech rye 1930: iia 1,046,335 vs juan 1,046,335 exactly). The czech rye TONNES block 1942-1945 is the exception at x35-43 and is not a clean digit shift. NOT ESTABLISHED: which side is wrong in each case. The agreeing years prove the two measure one thing; they do not prove the majority is right. For czech rye the juan values are plausible for Czechoslovak rye (~700k-1M ha) and iia's 26,000-98,000 ha are not, so iia is the defective side there. serbia rye 1945 runs the other way and iia is the implausible one at 979,900 t. Each cell needs that check before it is repaired. CORRECTED 2026-08-18, SAME DAY: the 'dropped or added digits' reading above is WRONG for the czech cells, and so is the scope-flipping reading queued for the F51-1938-1945 wiki page. Inspecting the raw IIA extract directly, the `czechoslovakia` 1938-1945 block is internally corrupt: for RYE, either the area or the production value is implausible in 7 of the 8 years, and a yield check says which. 1938 reads 1,016,000 ha / 1,906,100 t = 1.88 t/ha, consistent. 1939 reads 98,000 ha / 1,729,400 t = 17.6 t/ha, so the AREA is the wrong cell. 1942 reads 861,000 ha / 29,500 t = 0.03 t/ha, so the PRODUCTION is the wrong cell; likewise 1944 (915,000 / 32,500) and 1945 (802,000 / 28,000). 1943 reads 26,000 ha / 36,000 t, internally consistent at 1.38 t/ha but both figures far too small for Czechoslovak rye. So the defective values are not digit-shifted versions of the truth -- they are numbers attached to the wrong (item, variable) slot in the extraction, which is why the two sides of the same year disagree with each other and not just with juan. The scope-flipping explanation is separately REFUTED: raw `german bohemia and moravia` exists but carries only butter, cheese and milk (21 rows, 1939-1945) and NO rye, so there is no sub-component rye series for the label to alternate with. Same block, same shape, other items: `tobacco` 1939 reads 6,000 ha with 933,000 t, and `hops` 1939 reads 10,500 ha with 763,400 t -- both the x100 defect already logged as iia-tobacco-implausible-magnitudes and iia-hops-x100. And the czech `flax fibre and tow` 1942 cell (4,000 vs juan's 43,000) is NOT a digit drop either: raw carries `flax: fibre` area 43,000 and `linseed` area 4,000 for 1942, so layer B took the LINSEED figure -- the conflation already logged as iia-flax-fibre-item-is-mostly-linseed. WHAT SURVIVES UNCHANGED: the serbia cells. 1931 (24,415 vs 244,150) and 1932 (24,296 vs 242,961) are still exact tenths, and no area/production misalignment is involved. The method also survives -- cross-source agreement on the surrounding years is what made these cells attributable at all -- but attributing them to a digit shift was reading a mechanism off a ratio.",2026-08-18
constant-runs-two-proven-placeholders,,iia,india; new zealand,1934,1945,"sesame seed; tobacco, unmanufactured",confirmed,"Two of the 21 long constant runs in state/constant_runs.csv are PROVEN placeholders, because the repeated value is orders of magnitude away from the scale of the series it sits in. These are the only two of the 21 that can be settled that way. iia india sesame seed (ha): 1,000 repeated for 1934-1945, against a median of 2,208,440 for the same series' other 8 values -- a ratio of 0.00045, i.e. the constant is ~2,200x too small. India's sesame area really was ~2.5M ha, so 1,000 ha is not a rounding of anything. iia new zealand tobacco unmanufactured (ha): 1,000 repeated for 1934-1945 against a median of 83 for the series' other 9 values -- 12x too large, and New Zealand's interwar tobacco acreage was in the tens of hectares. NOT REPAIRABLE by rescaling: the correct values are unknown, and for india the surrounding years give 2.0-2.5M ha, so the run should read NA rather than any number. WHY THE OTHER 19 ARE NOT LISTED HERE. 12 of them repeat a value within 2x of their own series' median, so the figure is plausible in magnitude and only its flatness is wrong -- repetition and placeholder are indistinguishable from the panel. Two are demonstrably CARRIED FORWARD (the constant equals the last observed value before the run: argentina soybeans 1,000 against 992, denmark potatoes 54,000 against 54,100) and four are consistent with INTERPOLATION (the constant lies between the flanking values). Those six are defects of method rather than of magnitude. See issue #366 for the full classification.",2026-08-18
mitchell-flax-fibre-area-is-linseed,,mitchell,united states of america; canada; argentina,1900,1955,flax fibre and tow / linseed,confirmed,"RESOLVES issue #360's two largest recorded source seams, and NOT by the mechanism that issue proposed. `united states / flax fibre and tow / ha` jumps x1655 at a juan->mitchell boundary and Canada x1231; #360 offered a unit or thousands-multiplier mismatch as the leading candidate. It is neither: MITCHELL'S VALUES UNDER `flax fibre and tow` ARE LINSEED AREA. Proof is exact equality with juan's own separately-labelled linseed series for the same country: united states 1950 mitchell flax-fibre 1,655,000 ha == juan linseed 1,655,000; 1952 mitchell 1,337,000 == juan 1,337,000; 1900 and 1901 likewise. canada 1952 mitchell 469,000 == juan linseed 469,000 (at 1951, the crop-year offset). Across the whole panel, 55 of the 204 mitchell `flax fibre and tow` (ha) values exactly equal a juan LINSEED (ha) value for the same country, against just 1 of 204 that equals a juan FLAX FIBRE AND TOW value -- a 55:1 ratio against the control, which rules out coincidence as the account of the bulk. Some of the 55 sit at a +/-1 year offset, which is the southern-hemisphere crop-year convention (argentina mitchell 1911 == juan 1912, and so on through 1922). THE YIELD IDENTITY CORROBORATES INDEPENDENTLY. juan's US flax-fibre series runs 3,000 ha and 1,900 t (1945) down to 1,000 ha and 400 t (1949), i.e. 0.30-0.63 t/ha, which is fibre flax. Mitchell's 1,655,000 ha against juan's 1950 fibre production of 100 t would imply 0.00006 t/ha. US linseed yields 0.46-0.70 t/ha across the same years, which is what these areas belong to. SCOPE: this is the same conflation already logged as iia-flax-fibre-item-is-mostly-linseed, now shown to affect MITCHELL as well as IIA -- so it is a property of how the item was harmonised rather than of one source. Not repairable by rescaling: the affected cells need re-attributing to `linseed`, and 27% is a floor on the share affected rather than an estimate, because it counts only cells whose value survives to be matched exactly.",2026-08-19
nru-1933-phosphate-transposed-with-australia,NRU-1888-2025,iia,nauru,1933,1933,p (natural phosphate),confirmed,"CONFIRMED TRANSPOSITION in the iia_1933_34 volume: the 1933 natural-phosphate production values for `british nauru` and `australia` are swapped. iia_1933_34 gives nauru=97 t and australia=369,516 t; iia_1938_39 gives nauru=369,500 t and australia=100 t. Layer B carries the WRONG one: iia/nauru/p 1933 = 97 t, immediately after 275,720 / 245,040 / 424,896 in 1930-1932, a 4,380x collapse in the series' final year. PROVED BY EACH LABEL'S OWN CONTINUITY ACROSS OTHER VOLUMES, not by magnitude. Nauru runs 197,922-350,000 (iia_1909_21), 367,001-481,243 (iia_1925_26), 397,986-585,843 (iia_1929_30), 275,720-424,896 (iia_1933_34) and 425,700-854,500 (iia_1938_39) -- 97 fits nowhere. Australia runs 3,833-12,109, then 3,950/1,016/626, then 1,275/893/138, then 26/619/883, then 200/200/200/0 -- 369,516 fits nowhere and 100 fits exactly. The swap is mutual and near-exact (369,516 vs 369,500; 97 vs 100), which is the signature of a transposed pair rather than two independent errors. REMEDY: iia/nauru/p 1933 should be 369,500 t. Australia's 369,516 never entered layer B, because layer-B iia/australia/p is Christmas Island's series throughout (see the iia/australia/p convention and issue 372). WHY NO DETECTOR SAW IT: 18_isolated_spikes.py looks for a year many times ABOVE both neighbours and explicitly skips endpoints, and this is a collapse in the series' LAST year, so it has one neighbour and the wrong sign. Found instead by 26_edition_conflicts.py, where the pair sits at 3,809x and 3,695x -- the two largest inter-volume revisions in the extract. Issues 414/415.",2026-08-19
ltu-1933-sugar-wrong-volume,LTU-1918-1940,iia,lithuania,1933,1933,sugar raw centrifugal,confirmed,"Layer B carries 8.1 t for Lithuania's 1933 raw centrifugal sugar, between 18,218 t (1932) and 13,700 t (1934) -- a 1,691x collapse for one year. The value comes from the iia_1933_34 volume; iia_1938_39 gives 7,300 t for the same cell, which fits the series (7,436 / 18,218 / [7,300] / 13,700 / 19,900 / 24,400). REMEDY: iia/lithuania/sugar raw centrifugal 1933 should be 7,300 t. Same shape as the Nauru 1933 phosphate transposition: layer B took the wrong volume for a 1933 cell, and 1933 is the only year two volumes cover. Found by cross-referencing state/series_collapses.csv against state/edition_conflicts.csv -- of 117 collapses, only two have a same-cell same-unit inter-volume conflict, and both are confirmed defects with a known correct value. NOT argued from magnitude: the correct value is printed by the source itself.",2026-08-19
nga-1941-1945-cotton-area-zero,NGA-1914-1960,iia,nigeria,1941,1945,cotton lint (area),confirmed,"iia/nigeria/cotton lint/ha reads 0.0 for every year 1941-1945 -- the whole tail of the series -- while the SAME label reports cotton seed production of 15,100 / 13,600 / 10,300 / 6,600 t in 1941-1944. No tonnage comes off zero hectares, so the zeros are false and self-refuting without any external reference. They are 5 of the 177 cells in state/impossible_pairs.csv, a class that was invisible until 2026-08-19 because 07_yield_consistency.py filtered `area_ha > 0` before computing any yield. Consistent with issue 414: blanks read as 0. Two sibling series end the same way -- latvia and lithuania sugar: beet production, both 0 for 1940-1945, both annexed by the USSR in 1940, where 0 most likely means 'not separately reported' rather than 'none produced'.",2026-08-19
rus-1918-is-karafuto-prefecture,RSFSR-1917-1991,iia,russian federation,1918,1918,"rye, flax fibre and tow, hemp tow waste, yarn of true hemp, rapeseed",confirmed,"CONFIRMED MISASSIGNMENT: all eight layer-B iia/russian federation rows at 1918 are `japan: karafuto prefecture` -- the Japanese administration of southern Sakhalin, 1905-1945. Every value matches the raw Karafuto row exactly: rye 7.0 ha / 12.6 t; flax 20.0 ha / 10.6 t; hemp 5.0 ha / 5.6 t; rapeseed 33.0 ha / 33.1 t. Layer B has exactly eight russian rows in 1918 and all eight are Karafuto's. WHY 1918: the raw Russian labels have NO 1918 rows -- `russia in europe` and `russia in asia` cover 1909-1917 and then 1920 -- so nothing competed for the slot. Every other year is correct: layer B sums europe+asia (1909 rye area 28,161,536 + 918,720 + 318,737 = 29,398,993, its exact figure). SCOPE BEYOND 1918: matching all 73 of Karafuto's dated production/area (year,value) pairs against every layer-B label, `russian federation` takes 21 and the next-highest label takes 2 (small round numbers colliding). So the misrouting is general; 1918 is where it becomes visible because there is nothing else there. HARM: rye area reads 7 ha against 9,993,626 in 1917 -- the largest interior collapse in state/series_collapses.csv at 1,427,661x. Any Russian 1918 figure is wrong by six orders of magnitude. REMEDY NOT PROPOSED: Karafuto belongs on a Japanese polity, but whether that is JPN-1895-1945 or a Karafuto row of its own is issue 400's open question. Issue 422 carries the full case.",2026-08-19
ind-1947-livestock-broadcast-3000,IND-1947-1949,mitchell,india,1947,1947,"asses, buffalo, camels, cattle, goats, horses, sheep, swine (heads)",confirmed,"CONFIRMED BROADCAST CELL: all EIGHT mitchell india livestock items read exactly 3,000 head in 1947 -- asses, buffalo, camels, cattle, goats, horses, sheep and swine. Cattle reads 160,220,000 in 1936 and 155,295,000 in 1951, so 3,000 is 6,965x below the same items' median in other years. EIGHT INDEPENDENT ERRORS LANDING ON ONE NUMBER IS NOT A HYPOTHESIS ANYONE NEEDS TO WEIGH; one cell broadcast over a row is. The cross-item agreement IS the diagnosis and it is invisible to a per-series test: 27_series_collapses.py flags only the swine cell (3,000 between 3,653,000 and 4,420,000) and cannot see that seven siblings share the value. Found by 28_item_blocks.py. THE VALUE ITSELF PROVES NOTHING -- 3,000 occurs 148 times across 48 mitchell labels legitimately, since plenty of small producers really do report 3,000 head. Only the coincidence within the label-year carries the signal. A NINTH INSTANCE sits at mitchell india / asses / 1908 = 3,000, against 1,341,000 in 1912. REMEDY: the eight 1947 cells should be missing, not zero and not 3,000. No external source is needed to convict them; supplying the true values would need the underlying Mitchell table.",2026-08-19
som-1959-livestock-broadcast-15000,ITS-1908-1960,mitchell,somalia,1959,1959,"camels, cattle, goats, sheep (heads)",confirmed,"CONFIRMED BROADCAST CELL: all FOUR mitchell somalia livestock items read exactly 15,000 head in 1959 -- camels, cattle, goats and sheep -- between 1952 (1,300,000 / 842,000 / 2,917,000) and 1960 (2,667,000 / 1,272,000 / 4,510,000 / 3,790,000). That is 86x below the same items' median in other years, and four unrelated species do not agree to the digit by accident. Same shape as the mitchell india 1947 block, in a different label and decade, which is what makes it a class rather than an incident. Found by 28_item_blocks.py. REMEDY: the four cells should be missing. Note the routing is to ITS-1908-1960 (Italian Somaliland), whose span ends in 1960 -- the 1959 and 1960 rows are the tail of that polity and the 1960 values are sound, so only 1959 is affected.",2026-08-19
cze-1910-rye-area-orphan-3ha,CZE-1804-1918,iia,czech republic,1910,1910,rye (area),confirmed,"CONFIRMED ORPHAN CELL: iia/czech republic/rye/ha reads 3.0 at 1910, while the series' next observation is 732,970 ha in 1919 -- a factor of 244,323, the largest leading_collapse in state/series_collapses.csv. Present in the raw extract as `czechoslovakia / rye / area / 1910 = 3.0 hectares` (iia_1909_21), so it is a source-side cell and not introduced downstream. TWO INDEPENDENT REASONS TO REJECT IT, neither needing a magnitude argument. (1) Raw `czechoslovakia` carries exactly THREE rows dated before 1919, and the state was founded in October 1918: this 1910 rye area, a 1918 sugar-beet production of 640,816.1 t and a 1918 potato export of 0.1 t. The 1918 sugar beet is defensible -- the 1918 harvest reported under the successor state -- but a 1910 row predates the polity by eight years. (2) 3 ha is not a plausible rye area for any reporting unit that reports rye at all; the label's own body runs 732,970-899,842 ha. REMEDY: the cell should be missing. It routes to CZE-1804-1918 (Czech Lands), which is the right polity for 1910 -- the defect is the value and the row's existence, not the routing. A NEGATIVE RESULT FROM THE SAME SEARCH, recorded so it is not repeated: scanning all raw labels for an earliest year separated from the body by >=5 years with <=5 rows in the head returns FIVE candidates and only this one is a defect. `china` [1914], `china: manchuria` [1915-17], `french guiana` [1909-13] and `french west africa` [1918-19] all carry plausible values for territories that existed in those years -- so time-isolation is NECESSARY BUT NOT SUFFICIENT, and convicting a case needs the label's founding date, which is curation rather than measurement. Not gateable.",2026-08-19
iia-1933-x10-wrong-volume-cells,(14 polities; see summary),iia,(14 labels; see summary),1929,1938,cacao; eggs; hops; tobacco; tea; cottonseed; sesame; sugar: cane; soybean,confirmed,"14 CONFIRMED cells where layer B took a 1933-era value ten times too small, and the correct figure is printed by another yearbook volume, so these are REPAIRABLE without a source consultation. Issue 424. THE TEST IS PROVENANCE-LINKED, not value-plus-year: matching a small round value against the raw extract by value and year alone left 9 of 16 uncertain, because 30, 300 and 2,100 appear all over the panel. The stronger condition adds a third requirement -- the layer-B label carrying the value must be the one state/item_provenance.csv attributes to that raw label. A coincidence has no reason to land on the provenance-linked label. Applying it: 14 confirmed, 2 coincidences discarded (the original 16 becomes 14). THE CELLS, as raw label / product / layer-B value / other volume's value / layer-B label: french dahomey/cacao: raw/30/300/benin; french dahomey/eggs 1932/129/1,294/benin; new zealand/hops/206/2,000/new zealand; french ivory coast/tobacco/334/3,300/ivory coast; british jamaica/cacao: raw/390/4,000/jamaica; french tonkin/tea/406/4,000/viet nam; french syria and lebanon/cottonseed/780/8,000/syrian arab republic; dutch east indies/sesame/1,580/16,000/indonesia; yugoslavia/hops/1,694/17,000/serbia; british antigua/sugar: cane/2,100/21,000/antigua and barbuda; czechoslovakia/hops/10,267/103,000/czech republic; peru/cottonseed/13,048/130,000/peru; japan/soybean/32,367/324,000/japan; australia/sugar: cane/65,129/636,200/australia. EVERY ONE lands on the colonial-to-modern label the provenance table already links to that raw label (french dahomey -> benin, french tonkin -> viet nam, czechoslovakia -> czech republic), which is not a pattern round-number collision produces. WHY NO DETECTOR CATCHES THEM: a x10 shift in a single cell clears no magnitude bound, opens no year gap and sits at a plausible number. The class is visible only by comparing volumes, which is what state/edition_conflicts.csv made possible -- 99 revisions differ by a clean power of ten and 98 hold the smaller value in iia_1933_34, against a 55% base rate across all 1,032 inter-volume revisions. Both figures are pinned bidirectionally in validate_edition_conflicts.py. SAME SHAPE AS ltu-1933-sugar-wrong-volume AND nru-1933-phosphate-transposed-with-australia: layer B took the wrong volume for a cell in 1933, the only year two volumes cover. Those two are single cells; this is the class they belong to. NOT ESTABLISHED: whether a repair should write the other volume's figure or mark the cell missing. The correct value is known, but 4 of the 14 fall pre-1934 where iia_1933_34 is itself the second opinion (issue 433's two-boundary correction), so the direction of the fix is not uniform.",2026-08-19
