territory,colonial_power,independence_date,independence_year,successor_state,iso3,continent,area_km2,notes
Burundi,Belgium,1962-07-01,1962,Kingdom of Burundi,BDI,Africa,27834,
Algeria,France,1962-07-05,1962,People's Democratic Republic of Algeria,DZA,Africa,2381741,
Uganda,Britain,1962-10-09,1962,Republic of Uganda,UGA,Africa,241038,
Kenya,Britain,1963-12-12,1963,Republic of Kenya,KEN,Africa,580367,
Malawi,Britain,1964-07-06,1964,Republic of Malawi,MWI,Africa,118484,
Zambia,Britain,1964-10-24,1964,Republic of Zambia,ZMB,Africa,752618,
Gambia,Britain,1965-02-18,1965,Republic of The Gambia,GMB,Africa,11295,
Botswana,Britain,1966-09-30,1966,Republic of Botswana,BWA,Africa,581730,
Lesotho,Britain,1966-10-04,1966,Kingdom of Lesotho,LSO,Africa,30355,
Mauritius,Britain,1968-03-12,1968,Republic of Mauritius,MUS,Africa,2040,
Eswatini,Britain,1968-09-06,1968,Kingdom of Eswatini,SWZ,Africa,17364,
Equatorial Guinea,Spain,1968-10-12,1968,Republic of Equatorial Guinea,GNQ,Africa,28051,
Guinea-Bissau,Portugal,1974-09-10,1974,Republic of Guinea-Bissau,GNB,Africa,36125,
Mozambique,Portugal,1975-06-25,1975,Mozambique,MOZ,Africa,801590,
Cape Verde,Portugal,1975-07-05,1975,Republic of Cape Verde,CPV,Africa,4033,
Comoros,France,1975-07-06,1975,Comoros,COM,Africa,2235,
São Tomé and Príncipe,Portugal,1975-07-12,1975,Republic of São Tomé and Príncipe,STP,Africa,964,
Angola,Portugal,1975-11-11,1975,People's Republic of Angola,AGO,Africa,1246700,
Seychelles,Britain,1976-06-29,1976,Republic of Seychelles,SYC,Africa,455,
Djibouti,France,1977-06-27,1977,Republic of Djibouti,DJI,Africa,23200,
Zimbabwe,Britain,1980-04-18,1980,Republic of Zimbabwe,ZWE,Africa,390757,UDI 1965
Namibia,South Africa,1990-03-21,1990,Republic of Namibia,NAM,Africa,825615,
Eritrea,Ethiopia,1993-05-24,1993,State of Eritrea,ERI,Africa,117600,Referendum 1993
South Sudan,Sudan,2011-07-09,2011,Republic of South Sudan,SSD,Africa,644329,Referendum 2011
Jamaica,Britain,1962-08-06,1962,Jamaica,JAM,North America,10991,
Trinidad and Tobago,Britain,1962-08-31,1962,Republic of Trinidad and Tobago,TTO,North America,5131,
Guyana,Britain,1966-05-26,1966,Republic of Guyana,GUY,South America,214969,
Barbados,Britain,1966-11-30,1966,Barbados,BRB,North America,430,
Bahamas,Britain,1973-07-10,1973,Commonwealth of The Bahamas,BHS,North America,13878,
Grenada,Britain,1974-02-07,1974,Grenada,GRD,North America,344,
Suriname,Netherlands,1975-11-25,1975,Republic of Suriname,SUR,South America,163820,
Dominica,Britain,1978-11-03,1978,Commonwealth of Dominica,DMA,North America,751,
Saint Lucia,Britain,1979-02-22,1979,Saint Lucia,LCA,North America,616,
Saint Vincent and the Grenadines,Britain,1979-10-27,1979,Saint Vincent and the Grenadines,VCT,North America,389,
Samoa,New Zealand,1962-01-01,1962,Independent State of Samoa,WSM,Oceania,2842,
Nauru,Australia,1968-01-31,1968,Republic of Nauru,NRU,Oceania,21,
Fiji,Britain,1970-10-10,1970,Republic of Fiji,FJI,Oceania,18274,
Tonga,Britain,1970-06-04,1970,Kingdom of Tonga,TON,Oceania,747,
Papua New Guinea,Australia,1975-09-16,1975,Independent State of Papua New Guinea,PNG,Oceania,462840,
Solomon Islands,Britain,1978-07-07,1978,Solomon Islands,SLB,Oceania,28896,
Tuvalu,Britain,1978-10-01,1978,Tuvalu,TUV,Oceania,26,
Kiribati,Britain,1979-07-12,1979,Republic of Kiribati,KIR,Oceania,811,
Vanuatu,Britain/France,1980-07-30,1980,Republic of Vanuatu,VUT,Oceania,12189,
Antigua and Barbuda,Britain,1981-11-01,1981,Antigua and Barbuda,ATG,North America,442,
Saint Kitts and Nevis,Britain,1983-09-19,1983,Saint Kitts and Nevis,KNA,North America,261,
Belize,Britain,1981-09-21,1981,Belize,BLZ,North America,22966,Formerly British Honduras
Marshall Islands,USA,1986-10-21,1986,Republic of the Marshall Islands,MHL,Oceania,181,Compact of Free Association
Micronesia,USA,1986-11-03,1986,Federated States of Micronesia,FSM,Oceania,702,Compact of Free Association
Palau,USA,1994-10-01,1994,Republic of Palau,PLW,Oceania,459,Compact of Free Association
Saint Kitts-Nevis-Anguilla,Britain,1967-02-27,1967,Associated State,KNA,North America,261,Anguilla separated 1969
Antigua and Barbuda (associated),Britain,1967-02-27,1967,Associated State,ATG,North America,442,Full independence 1981
Maldives,Britain,1965-07-26,1965,Republic of Maldives,MDV,Asia,298,
Bahrain,Britain,1971-08-15,1971,State of Bahrain,BHR,Asia,778,
Qatar,Britain,1971-09-03,1971,State of Qatar,QAT,Asia,11586,
United Arab Emirates,Britain,1971-12-02,1971,United Arab Emirates,ARE,Asia,83600,Federation of 7 emirates
Oman,Britain,1971-01-01,1971,Sultanate of Oman,OMN,Asia,309500,Treaty of Friendship replaced protectorate
Kuwait,Britain,1961-06-19,1961,State of Kuwait,KWT,Asia,17818,
Timor-Leste,Indonesia,2002-05-20,2002,Democratic Republic of Timor-Leste,TLS,Asia,14874,Referendum 1999
